naneVyu naneV(N4)+yu_#_NOM
naneVyiMxale naneV(N4)+yiMxa_#_ABL+le_#_IMPH
naneVyiMxale naneV(N4)+yiMxa_#_ABL+le_#_DECL
naneVyiMxale naneV(N4)+yiMxa_#_ABL+le_#_RIS
naneVyalliyA naneV(N4)+yalli_#_LOC+yA_#_INTR
naneVyalliyU naneV(N4)+yalli_#_LOC+yU_#_INCL
naneVyalliyo naneV(N4)+yalli_#_LOC+yo_#_DUB
naneVyalliyo naneV(N4)+yalli_#_LOC+yo_#_INDF
naneVyalliyo naneV(N4)+yalli_#_LOC+yo_#_PRES
naneVyalliye naneV(N4)+yalli_#_LOC+ye_#_IMPH
naneVyalliye naneV(N4)+yalli_#_LOC+ye_#_DECL
naneVyalliye naneV(N4)+yalli_#_LOC+ye_#_RIS
naneVgalYA naneV(N4)+galYu_#_NOM+lYA_lYu_INTR
naneVgalYU naneV(N4)+galYu_#_NOM+lYU_lYu_INCL
naneVgalYo naneV(N4)+galYu_#_NOM+lYo_lYu_DUB
naneVgalYo naneV(N4)+galYu_#_NOM+lYo_lYu_INDF
naneVgalYo naneV(N4)+galYu_#_NOM+lYo_lYu_PRES
naneVgalYe naneV(N4)+galYu_#_NOM+lYe_lYu_IMPH
naneVgalYe naneV(N4)+galYu_#_NOM+lYe_lYu_DECL
naneVgalYe naneV(N4)+galYu_#_NOM+lYe_lYu_RIS
naneVgalYannA naneV(N4)+galYu_#_ACC+lYannA_lYu_INTR
naneVgalYannU naneV(N4)+galYu_#_ACC+lYannU_lYu_INCL
naneVgalYanno naneV(N4)+galYu_#_ACC+lYanno_lYu_DUB
naneVgalYanno naneV(N4)+galYu_#_ACC+lYanno_lYu_INDF
naneVgalYanno naneV(N4)+galYu_#_ACC+lYanno_lYu_PRES
naneVgalYanne naneV(N4)+galYu_#_ACC+lYanne_lYu_IMPH
naneVgalYanne naneV(N4)+galYu_#_ACC+lYanne_lYu_DECL
naneVgalYanne naneV(N4)+galYu_#_ACC+lYanne_lYu_RIS
naneVgalYiMxalA naneV(N4)+galYu_#_INS+lYiMxalA_lYu_INTR
naneVgalYiMxalU naneV(N4)+galYu_#_INS+lYiMxalU_lYu_INCL
naneVgalYiMxalo naneV(N4)+galYu_#_INS+lYiMxalo_lYu_DUB
naneVgalYiMxalo naneV(N4)+galYu_#_INS+lYiMxalo_lYu_INDF
naneVgalYiMxalo naneV(N4)+galYu_#_INS+lYiMxalo_lYu_PRES
naneVgalYiMxale naneV(N4)+galYu_#_INS+lYiMxale_lYu_IMPH
naneVgalYiMxale naneV(N4)+galYu_#_INS+lYiMxale_lYu_DECL
naneVgalYiMxale naneV(N4)+galYu_#_INS+lYiMxale_lYu_RIS
naneVgalYigA naneV(N4)+galYu_#_DAT+lYigA_lYu_INTR
naneVgalYigU naneV(N4)+galYu_#_DAT+lYigU_lYu_INCL
naneVgalYigo naneV(N4)+galYu_#_DAT+lYigo_lYu_DUB
naneVgalYigo naneV(N4)+galYu_#_DAT+lYigo_lYu_INDF
naneVgalYigo naneV(N4)+galYu_#_DAT+lYigo_lYu_PRES
naneVgalYige naneV(N4)+galYu_#_DAT+lYige_lYu_IMPH
naneVgalYige naneV(N4)+galYu_#_DAT+lYige_lYu_DECL
naneVgalYige naneV(N4)+galYu_#_DAT+lYige_lYu_RIS
naneVgalYiMxalA naneV(N4)+galYu_#_ABL+lYiMxalA_lYu_INTR
naneVgalYiMxalU naneV(N4)+galYu_#_ABL+lYiMxalU_lYu_INCL
naneVgalYiMxalo naneV(N4)+galYu_#_ABL+lYiMxalo_lYu_DUB
naneVgalYiMxalo naneV(N4)+galYu_#_ABL+lYiMxalo_lYu_INDF
naneVgalYiMxalo naneV(N4)+galYu_#_ABL+lYiMxalo_lYu_PRES
naneVgalYiMxale naneV(N4)+galYu_#_ABL+lYiMxale_lYu_IMPH
naneVgalYiMxale naneV(N4)+galYu_#_ABL+lYiMxale_lYu_DECL
naneVgalYiMxale naneV(N4)+galYu_#_ABL+lYiMxale_lYu_RIS
naneVgalYallA naneV(N4)+galYu_#_LOC+lYallA_lYu_INTR
naneVgalYallU naneV(N4)+galYu_#_LOC+lYallU_lYu_INCL
naneVgalYallo naneV(N4)+galYu_#_LOC+lYallo_lYu_DUB
naneVgalYallo naneV(N4)+galYu_#_LOC+lYallo_lYu_INDF
naneVgalYallo naneV(N4)+galYu_#_LOC+lYallo_lYu_PRES
naneVgalYalle naneV(N4)+galYu_#_LOC+lYalle_lYu_IMPH
naneVgalYalle naneV(N4)+galYu_#_LOC+lYalle_lYu_DECL
naneVgalYalle naneV(N4)+galYu_#_LOC+lYalle_lYu_RIS
naneVgoskaravA naneV(N4)+goskara_#_BEN+vA_#_INTR
naneVgoskaravU naneV(N4)+goskara_#_BEN+vU_#_INCL
naneVgoskaravo naneV(N4)+goskara_#_BEN+vo_#_DUB
naneVgoskaravo naneV(N4)+goskara_#_BEN+vo_#_INDF
naneVgoskaravo naneV(N4)+goskara_#_BEN+vo_#_PRES
naneVgoskarave naneV(N4)+goskara_#_BEN+ve_#_IMPH
naneVgoskarave naneV(N4)+goskara_#_BEN+ve_#_DECL
naneVgoskarave naneV(N4)+goskara_#_BEN+ve_#_RIS
naneVgoskaravA naneV(N4)+goskara_#_PUR+vA_#_INTR
naneVgoskaravU naneV(N4)+goskara_#_PUR+vU_#_INCL
naneVgoskaravo naneV(N4)+goskara_#_PUR+vo_#_DUB
naneVgoskaravo naneV(N4)+goskara_#_PUR+vo_#_INDF
naneVgoskaravo naneV(N4)+goskara_#_PUR+vo_#_PRES
naneVgoskarave naneV(N4)+goskara_#_PUR+ve_#_IMPH
naneVgoskarave naneV(N4)+goskara_#_PUR+ve_#_DECL
naneVgoskarave naneV(N4)+goskara_#_PUR+ve_#_RIS
naneVgAgiyA naneV(N4)+gAgi_#_BEN+yA_#_INTR
naneVgAgiyU naneV(N4)+gAgi_#_BEN+yU_#_INCL
naneVgAgiyo naneV(N4)+gAgi_#_BEN+yo_#_DUB
naneVgAgiyo naneV(N4)+gAgi_#_BEN+yo_#_INDF
naneVgAgiyo naneV(N4)+gAgi_#_BEN+yo_#_PRES
naneVgAgiye naneV(N4)+gAgi_#_BEN+ye_#_IMPH
naneVgAgiye naneV(N4)+gAgi_#_BEN+ye_#_DECL
naneVgAgiye naneV(N4)+gAgi_#_BEN+ye_#_RIS
naneVgAgiyA naneV(N4)+gAgi_#_PUR+yA_#_INTR
naneVgAgiyU naneV(N4)+gAgi_#_PUR+yU_#_INCL
naneVgAgiyo naneV(N4)+gAgi_#_PUR+yo_#_DUB
naneVgAgiyo naneV(N4)+gAgi_#_PUR+yo_#_INDF
naneVgAgiyo naneV(N4)+gAgi_#_PUR+yo_#_PRES
naneVgAgiye naneV(N4)+gAgi_#_PUR+ye_#_IMPH
naneVgAgiye naneV(N4)+gAgi_#_PUR+ye_#_DECL
naneVgAgiye naneV(N4)+gAgi_#_PUR+ye_#_RIS
naneVgosugavA naneV(N4)+gosuga_#_BEN+vA_#_INTR
naneVgosugavU naneV(N4)+gosuga_#_BEN+vU_#_INCL
naneVgosugavo naneV(N4)+gosuga_#_BEN+vo_#_DUB
naneVgosugavo naneV(N4)+gosuga_#_BEN+vo_#_INDF
naneVgosugavo naneV(N4)+gosuga_#_BEN+vo_#_PRES
naneVgosugave naneV(N4)+gosuga_#_BEN+ve_#_IMPH
naneVgosugave naneV(N4)+gosuga_#_BEN+ve_#_DECL
naneVgosugave naneV(N4)+gosuga_#_BEN+ve_#_RIS
naneVgosugavA naneV(N4)+gosuga_#_PUR+vA_#_INTR
naneVgosugavU naneV(N4)+gosuga_#_PUR+vU_#_INCL
naneVgosugavo naneV(N4)+gosuga_#_PUR+vo_#_DUB
naneVgosugavo naneV(N4)+gosuga_#_PUR+vo_#_INDF
naneVgosugavo naneV(N4)+gosuga_#_PUR+vo_#_PRES
naneVgosugave naneV(N4)+gosuga_#_PUR+ve_#_IMPH
naneVgosugave naneV(N4)+gosuga_#_PUR+ve_#_DECL
naneVgosugave naneV(N4)+gosuga_#_PUR+ve_#_RIS
naneVgiMwalA naneV(N4)+giMwa_#_COMP+lA_#_INTR
naneVgiMwalU naneV(N4)+giMwa_#_COMP+lU_#_INCL
naneVgiMwalo naneV(N4)+giMwa_#_COMP+lo_#_DUB
naneVgiMwalo naneV(N4)+giMwa_#_COMP+lo_#_INDF
naneVgiMwalo naneV(N4)+giMwa_#_COMP+lo_#_PRES
naneVgiMwale naneV(N4)+giMwa_#_COMP+le_#_IMPH
naneVgiMwale naneV(N4)+giMwa_#_COMP+le_#_DECL
naneVgiMwale naneV(N4)+giMwa_#_COMP+le_#_RIS
naneVyaMweVyA naneV(N4)+yaMweV_#_SIM+yA_#_INTR
naneVyaMweVyU naneV(N4)+yaMweV_#_SIM+yU_#_INCL
naneVyaMweVyo naneV(N4)+yaMweV_#_SIM+yo_#_DUB
naneVyaMweVyo naneV(N4)+yaMweV_#_SIM+yo_#_INDF
naneVyaMweVyo naneV(N4)+yaMweV_#_SIM+yo_#_PRES
naneVyaMweVye naneV(N4)+yaMweV_#_SIM+ye_#_IMPH
naneVyaMweVye naneV(N4)+yaMweV_#_SIM+ye_#_DECL
naneVyaMweVye naneV(N4)+yaMweV_#_SIM+ye_#_RIS
naneVvoVdaneVyA naneV(N4)+voVdaneV_#_SOC+yA_#_INTR
naneVvoVdaneVyU naneV(N4)+voVdaneV_#_SOC+yU_#_INCL
naneVvoVdaneVyo naneV(N4)+voVdaneV_#_SOC+yo_#_DUB
naneVvoVdaneVyo naneV(N4)+voVdaneV_#_SOC+yo_#_INDF
naneVvoVdaneVyo naneV(N4)+voVdaneV_#_SOC+yo_#_PRES
naneVvoVdaneVye naneV(N4)+voVdaneV_#_SOC+ye_#_IMPH
naneVvoVdaneVye naneV(N4)+voVdaneV_#_SOC+ye_#_DECL
naneVvoVdaneVye naneV(N4)+voVdaneV_#_SOC+ye_#_RIS
naneVyoVMxigeVyA naneV(N4)+yoVMxigeV_#_SOC+yA_#_INTR
naneVyoVMxigeVyU naneV(N4)+yoVMxigeV_#_SOC+yU_#_INCL
naneVyoVMxigeVyo naneV(N4)+yoVMxigeV_#_SOC+yo_#_DUB
naneVyoVMxigeVyo naneV(N4)+yoVMxigeV_#_SOC+yo_#_INDF
naneVyoVMxigeVyo naneV(N4)+yoVMxigeV_#_SOC+yo_#_PRES
naneVyoVMxigeVye naneV(N4)+yoVMxigeV_#_SOC+ye_#_IMPH
naneVyoVMxigeVye naneV(N4)+yoVMxigeV_#_SOC+ye_#_DECL
naneVyoVMxigeVye naneV(N4)+yoVMxigeV_#_SOC+ye_#_RIS
naneVgalYigoskaravA naneV(N4)+galYu_#_BEN+lYigoskaravA_lYu_INTR
naneVgalYigoskaravU naneV(N4)+galYu_#_BEN+lYigoskaravU_lYu_INCL
naneVgalYigoskaravo naneV(N4)+galYu_#_BEN+lYigoskaravo_lYu_DUB
naneVgalYigoskaravo naneV(N4)+galYu_#_BEN+lYigoskaravo_lYu_INDF
naneVgalYigoskaravo naneV(N4)+galYu_#_BEN+lYigoskaravo_lYu_PRES
naneVgalYigoskarave naneV(N4)+galYu_#_BEN+lYigoskarave_lYu_IMPH
naneVgalYigoskarave naneV(N4)+galYu_#_BEN+lYigoskarave_lYu_DECL
naneVgalYigoskarave naneV(N4)+galYu_#_BEN+lYigoskarave_lYu_RIS
naneVgalYigoskaravA naneV(N4)+galYu_#_PUR+lYigoskaravA_lYu_INTR
naneVgalYigoskaravU naneV(N4)+galYu_#_PUR+lYigoskaravU_lYu_INCL
naneVgalYigoskaravo naneV(N4)+galYu_#_PUR+lYigoskaravo_lYu_DUB
naneVgalYigoskaravo naneV(N4)+galYu_#_PUR+lYigoskaravo_lYu_INDF
naneVgalYigoskaravo naneV(N4)+galYu_#_PUR+lYigoskaravo_lYu_PRES
naneVgalYigoskarave naneV(N4)+galYu_#_PUR+lYigoskarave_lYu_IMPH
naneVgalYigoskarave naneV(N4)+galYu_#_PUR+lYigoskarave_lYu_DECL
naneVgalYigoskarave naneV(N4)+galYu_#_PUR+lYigoskarave_lYu_RIS
naneVgalYigAgiyA naneV(N4)+galYu_#_BEN+lYigAgiyA_lYu_INTR
naneVgalYigAgiyU naneV(N4)+galYu_#_BEN+lYigAgiyU_lYu_INCL
naneVgalYigAgiyo naneV(N4)+galYu_#_BEN+lYigAgiyo_lYu_DUB
naneVgalYigAgiyo naneV(N4)+galYu_#_BEN+lYigAgiyo_lYu_INDF
naneVgalYigAgiyo naneV(N4)+galYu_#_BEN+lYigAgiyo_lYu_PRES
naneVgalYigAgiye naneV(N4)+galYu_#_BEN+lYigAgiye_lYu_IMPH
naneVgalYigAgiye naneV(N4)+galYu_#_BEN+lYigAgiye_lYu_DECL
naneVgalYigAgiye naneV(N4)+galYu_#_BEN+lYigAgiye_lYu_RIS
naneVgalYigAgiyA naneV(N4)+galYu_#_PUR+lYigAgiyA_lYu_INTR
naneVgalYigAgiyU naneV(N4)+galYu_#_PUR+lYigAgiyU_lYu_INCL
naneVgalYigAgiyo naneV(N4)+galYu_#_PUR+lYigAgiyo_lYu_DUB
naneVgalYigAgiyo naneV(N4)+galYu_#_PUR+lYigAgiyo_lYu_INDF
naneVgalYigAgiyo naneV(N4)+galYu_#_PUR+lYigAgiyo_lYu_PRES
naneVgalYigAgiye naneV(N4)+galYu_#_PUR+lYigAgiye_lYu_IMPH
naneVgalYigAgiye naneV(N4)+galYu_#_PUR+lYigAgiye_lYu_DECL
naneVgalYigAgiye naneV(N4)+galYu_#_PUR+lYigAgiye_lYu_RIS
naneVgalYigosugavA naneV(N4)+galYu_#_BEN+lYigosugavA_lYu_INTR
naneVgalYigosugavU naneV(N4)+galYu_#_BEN+lYigosugavU_lYu_INCL
naneVgalYigosugavo naneV(N4)+galYu_#_BEN+lYigosugavo_lYu_DUB
naneVgalYigosugavo naneV(N4)+galYu_#_BEN+lYigosugavo_lYu_INDF
naneVgalYigosugavo naneV(N4)+galYu_#_BEN+lYigosugavo_lYu_PRES
naneVgalYigosugave naneV(N4)+galYu_#_BEN+lYigosugave_lYu_IMPH
naneVgalYigosugave naneV(N4)+galYu_#_BEN+lYigosugave_lYu_DECL
naneVgalYigosugave naneV(N4)+galYu_#_BEN+lYigosugave_lYu_RIS
naneVgalYigosugavA naneV(N4)+galYu_#_PUR+lYigosugavA_lYu_INTR
naneVgalYigosugavU naneV(N4)+galYu_#_PUR+lYigosugavU_lYu_INCL
naneVgalYigosugavo naneV(N4)+galYu_#_PUR+lYigosugavo_lYu_DUB
naneVgalYigosugavo naneV(N4)+galYu_#_PUR+lYigosugavo_lYu_INDF
naneVgalYigosugavo naneV(N4)+galYu_#_PUR+lYigosugavo_lYu_PRES
naneVgalYigosugave naneV(N4)+galYu_#_PUR+lYigosugave_lYu_IMPH
naneVgalYigosugave naneV(N4)+galYu_#_PUR+lYigosugave_lYu_DECL
naneVgalYigosugave naneV(N4)+galYu_#_PUR+lYigosugave_lYu_RIS
naneVgalYigiMwalA naneV(N4)+galYu_#_COMP+lYigiMwalA_lYu_INTR
naneVgalYigiMwalU naneV(N4)+galYu_#_COMP+lYigiMwalU_lYu_INCL
naneVgalYigiMwalo naneV(N4)+galYu_#_COMP+lYigiMwalo_lYu_DUB
naneVgalYigiMwalo naneV(N4)+galYu_#_COMP+lYigiMwalo_lYu_INDF
naneVgalYigiMwalo naneV(N4)+galYu_#_COMP+lYigiMwalo_lYu_PRES
naneVgalYigiMwale naneV(N4)+galYu_#_COMP+lYigiMwale_lYu_IMPH
naneVgalYigiMwale naneV(N4)+galYu_#_COMP+lYigiMwale_lYu_DECL
naneVgalYigiMwale naneV(N4)+galYu_#_COMP+lYigiMwale_lYu_RIS
naneVgalYaMweVyA naneV(N4)+galYu_#_SIM+lYaMweVyA_lYu_INTR
naneVgalYaMweVyU naneV(N4)+galYu_#_SIM+lYaMweVyU_lYu_INCL
naneVgalYaMweVyo naneV(N4)+galYu_#_SIM+lYaMweVyo_lYu_DUB
naneVgalYaMweVyo naneV(N4)+galYu_#_SIM+lYaMweVyo_lYu_INDF
naneVgalYaMweVyo naneV(N4)+galYu_#_SIM+lYaMweVyo_lYu_PRES
naneVgalYaMweVye naneV(N4)+galYu_#_SIM+lYaMweVye_lYu_IMPH
naneVgalYaMweVye naneV(N4)+galYu_#_SIM+lYaMweVye_lYu_DECL
naneVgalYaMweVye naneV(N4)+galYu_#_SIM+lYaMweVye_lYu_RIS
naneVgalYoVdaneVyA naneV(N4)+galYu_#_SOC+lYoVdaneVyA_lYu_INTR
naneVgalYoVdaneVyU naneV(N4)+galYu_#_SOC+lYoVdaneVyU_lYu_INCL
naneVgalYoVdaneVyo naneV(N4)+galYu_#_SOC+lYoVdaneVyo_lYu_DUB
naneVgalYoVdaneVyo naneV(N4)+galYu_#_SOC+lYoVdaneVyo_lYu_INDF
naneVgalYoVdaneVyo naneV(N4)+galYu_#_SOC+lYoVdaneVyo_lYu_PRES
naneVgalYoVdaneVye naneV(N4)+galYu_#_SOC+lYoVdaneVye_lYu_IMPH
naneVgalYoVdaneVye naneV(N4)+galYu_#_SOC+lYoVdaneVye_lYu_DECL
naneVgalYoVdaneVye naneV(N4)+galYu_#_SOC+lYoVdaneVye_lYu_RIS
naneVgalYoVMxigeVyA naneV(N4)+galYu_#_SOC+lYoVMxigeVyA_lYu_INTR
naneVgalYoVMxigeVyU naneV(N4)+galYu_#_SOC+lYoVMxigeVyU_lYu_INCL
naneVgalYoVMxigeVyo naneV(N4)+galYu_#_SOC+lYoVMxigeVyo_lYu_DUB
naneVgalYoVMxigeVyo naneV(N4)+galYu_#_SOC+lYoVMxigeVyo_lYu_INDF
naneVgalYoVMxigeVyo naneV(N4)+galYu_#_SOC+lYoVMxigeVyo_lYu_PRES
naneVgalYoVMxigeVye naneV(N4)+galYu_#_SOC+lYoVMxigeVye_lYu_IMPH
naneVgalYoVMxigeVye naneV(N4)+galYu_#_SOC+lYoVMxigeVye_lYu_DECL
naneVgalYoVMxigeVye naneV(N4)+galYu_#_SOC+lYoVMxigeVye_lYu_RIS


