mAwqvu mAwq(N13)+vu_#_NOM
mAwqgalYaMwaha mAwq(N13)+galYu_#_PL+lYaMwaha_lYu_SIM
mAwqvinoVdaneV mAwq(N13)+vinoVdaneV_#_SOC
mAwqgalYoVdaneV mAwq(N13)+galYu_#_PL+lYoVdaneV_lYu_SOC
mAwqvinoVMxigeV mAwq(N13)+vinoVMxigeV_#_SOC
mAwqgalYoVMxigeV mAwq(N13)+galYu_#_PL+lYoVMxigeV_lYu_SOC
mAwqvA mAwq(N13)+vu_#_NOM+vA_vu_INTR
mAwqvU mAwq(N13)+vu_#_NOM+vU_vu_INCL
mAwqvo mAwq(N13)+vu_#_NOM+vo_vu_DUB
mAwqvo mAwq(N13)+vu_#_NOM+vo_vu_INDF
mAwqvo mAwq(N13)+vu_#_NOM+vo_vu_PRES
mAwqve mAwq(N13)+vu_#_NOM+ve_vu_IMPH
mAwqve mAwq(N13)+vu_#_NOM+ve_vu_DECL
mAwqve mAwq(N13)+vu_#_NOM+ve_vu_RIS
mAwqvannA mAwq(N13)+vannu_#_ACC+nnA_nnu_INTR
mAwqvannU mAwq(N13)+vannu_#_ACC+nnU_nnu_INCL
mAwqvanno mAwq(N13)+vannu_#_ACC+nno_nnu_DUB
mAwqvanno mAwq(N13)+vannu_#_ACC+nno_nnu_INDF
mAwqvanno mAwq(N13)+vannu_#_ACC+nno_nnu_PRES
mAwqvanne mAwq(N13)+vannu_#_ACC+nne_nnu_IMPH
mAwqvanne mAwq(N13)+vannu_#_ACC+nne_nnu_DECL
mAwqvanne mAwq(N13)+vannu_#_ACC+nne_nnu_RIS
mAwqviniMxalA mAwq(N13)+viniMxa_#_INS+lA_#_INTR
mAwqviniMxalU mAwq(N13)+viniMxa_#_INS+lU_#_INCL
mAwqviniMxalo mAwq(N13)+viniMxa_#_INS+lo_#_DUB
mAwqviniMxalo mAwq(N13)+viniMxa_#_INS+lo_#_INDF
mAwqviniMxalo mAwq(N13)+viniMxa_#_INS+lo_#_PRES
mAwqviniMxale mAwq(N13)+viniMxa_#_INS+le_#_IMPH
mAwqviniMxale mAwq(N13)+viniMxa_#_INS+le_#_DECL
mAwqviniMxale mAwq(N13)+viniMxa_#_INS+le_#_RIS
mAwqvigA mAwq(N13)+vigeV_#_DAT+gA_geV_INTR
mAwqvigU mAwq(N13)+vigeV_#_DAT+gU_geV_INCL
mAwqvigo mAwq(N13)+vigeV_#_DAT+go_geV_DUB
mAwqvigo mAwq(N13)+vigeV_#_DAT+go_geV_INDF
mAwqvigo mAwq(N13)+vigeV_#_DAT+go_geV_PRES
mAwqvige mAwq(N13)+vigeV_#_DAT+ge_geV_IMPH
mAwqvige mAwq(N13)+vigeV_#_DAT+ge_geV_DECL
mAwqvige mAwq(N13)+vigeV_#_DAT+ge_geV_RIS
mAwqviniMxalA mAwq(N13)+viniMxa_#_ABL+lA_#_INTR
mAwqviniMxalU mAwq(N13)+viniMxa_#_ABL+lU_#_INCL
mAwqviniMxalo mAwq(N13)+viniMxa_#_ABL+lo_#_DUB
mAwqviniMxalo mAwq(N13)+viniMxa_#_ABL+lo_#_INDF
mAwqviniMxalo mAwq(N13)+viniMxa_#_ABL+lo_#_PRES
mAwqviniMxale mAwq(N13)+viniMxa_#_ABL+le_#_IMPH
mAwqviniMxale mAwq(N13)+viniMxa_#_ABL+le_#_DECL
mAwqviniMxale mAwq(N13)+viniMxa_#_ABL+le_#_RIS
mAwqvinalliyA mAwq(N13)+vinalli_#_LOC+yA_#_INTR
mAwqvinalliyU mAwq(N13)+vinalli_#_LOC+yU_#_INCL
mAwqvinalliyo mAwq(N13)+vinalli_#_LOC+yo_#_DUB
mAwqvinalliyo mAwq(N13)+vinalli_#_LOC+yo_#_INDF
mAwqvinalliyo mAwq(N13)+vinalli_#_LOC+yo_#_PRES
mAwqvinalliye mAwq(N13)+vinalli_#_LOC+ye_#_IMPH
mAwqvinalliye mAwq(N13)+vinalli_#_LOC+ye_#_DECL
mAwqvinalliye mAwq(N13)+vinalli_#_LOC+ye_#_RIS
mAwqgalYA mAwq(N13)+galYu_#_NOM+lYA_lYu_INTR
mAwqgalYU mAwq(N13)+galYu_#_NOM+lYU_lYu_INCL
mAwqgalYo mAwq(N13)+galYu_#_NOM+lYo_lYu_DUB
mAwqgalYo mAwq(N13)+galYu_#_NOM+lYo_lYu_INDF
mAwqgalYo mAwq(N13)+galYu_#_NOM+lYo_lYu_PRES
mAwqgalYe mAwq(N13)+galYu_#_NOM+lYe_lYu_IMPH
mAwqgalYe mAwq(N13)+galYu_#_NOM+lYe_lYu_DECL
mAwqgalYe mAwq(N13)+galYu_#_NOM+lYe_lYu_RIS
mAwqgalYannA mAwq(N13)+galYu_#_ACC+lYannA_lYu_INTR
mAwqgalYannU mAwq(N13)+galYu_#_ACC+lYannU_lYu_INCL
mAwqgalYanno mAwq(N13)+galYu_#_ACC+lYanno_lYu_DUB
mAwqgalYanno mAwq(N13)+galYu_#_ACC+lYanno_lYu_INDF
mAwqgalYanno mAwq(N13)+galYu_#_ACC+lYanno_lYu_PRES
mAwqgalYanne mAwq(N13)+galYu_#_ACC+lYanne_lYu_IMPH
mAwqgalYanne mAwq(N13)+galYu_#_ACC+lYanne_lYu_DECL
mAwqgalYanne mAwq(N13)+galYu_#_ACC+lYanne_lYu_RIS
mAwqgalYiMxalA mAwq(N13)+galYu_#_INS+lYiMxalA_lYu_INTR
mAwqgalYiMxalU mAwq(N13)+galYu_#_INS+lYiMxalU_lYu_INCL
mAwqgalYiMxalo mAwq(N13)+galYu_#_INS+lYiMxalo_lYu_DUB
mAwqgalYiMxalo mAwq(N13)+galYu_#_INS+lYiMxalo_lYu_INDF
mAwqgalYiMxalo mAwq(N13)+galYu_#_INS+lYiMxalo_lYu_PRES
mAwqgalYiMxale mAwq(N13)+galYu_#_INS+lYiMxale_lYu_IMPH
mAwqgalYiMxale mAwq(N13)+galYu_#_INS+lYiMxale_lYu_DECL
mAwqgalYiMxale mAwq(N13)+galYu_#_INS+lYiMxale_lYu_RIS
mAwqgalYigA mAwq(N13)+galYu_#_DAT+lYigA_lYu_INTR
mAwqgalYigU mAwq(N13)+galYu_#_DAT+lYigU_lYu_INCL
mAwqgalYigo mAwq(N13)+galYu_#_DAT+lYigo_lYu_DUB
mAwqgalYigo mAwq(N13)+galYu_#_DAT+lYigo_lYu_INDF
mAwqgalYigo mAwq(N13)+galYu_#_DAT+lYigo_lYu_PRES
mAwqgalYige mAwq(N13)+galYu_#_DAT+lYige_lYu_IMPH
mAwqgalYige mAwq(N13)+galYu_#_DAT+lYige_lYu_DECL
mAwqgalYige mAwq(N13)+galYu_#_DAT+lYige_lYu_RIS
mAwqgalYiMxalA mAwq(N13)+galYu_#_ABL+lYiMxalA_lYu_INTR
mAwqgalYiMxalU mAwq(N13)+galYu_#_ABL+lYiMxalU_lYu_INCL
mAwqgalYiMxalo mAwq(N13)+galYu_#_ABL+lYiMxalo_lYu_DUB
mAwqgalYiMxalo mAwq(N13)+galYu_#_ABL+lYiMxalo_lYu_INDF
mAwqgalYiMxalo mAwq(N13)+galYu_#_ABL+lYiMxalo_lYu_PRES
mAwqgalYiMxale mAwq(N13)+galYu_#_ABL+lYiMxale_lYu_IMPH
mAwqgalYiMxale mAwq(N13)+galYu_#_ABL+lYiMxale_lYu_DECL
mAwqgalYiMxale mAwq(N13)+galYu_#_ABL+lYiMxale_lYu_RIS
mAwqgalYallA mAwq(N13)+galYu_#_LOC+lYallA_lYu_INTR
mAwqgalYallU mAwq(N13)+galYu_#_LOC+lYallU_lYu_INCL
mAwqgalYallo mAwq(N13)+galYu_#_LOC+lYallo_lYu_DUB
mAwqgalYallo mAwq(N13)+galYu_#_LOC+lYallo_lYu_INDF
mAwqgalYallo mAwq(N13)+galYu_#_LOC+lYallo_lYu_PRES
mAwqgalYalle mAwq(N13)+galYu_#_LOC+lYalle_lYu_IMPH
mAwqgalYalle mAwq(N13)+galYu_#_LOC+lYalle_lYu_DECL
mAwqgalYalle mAwq(N13)+galYu_#_LOC+lYalle_lYu_RIS
mAwqvigoskaravA mAwq(N13)+vigoskara_#_BEN+vA_#_INTR
mAwqvigoskaravU mAwq(N13)+vigoskara_#_BEN+vU_#_INCL
mAwqvigoskaravo mAwq(N13)+vigoskara_#_BEN+vo_#_DUB
mAwqvigoskaravo mAwq(N13)+vigoskara_#_BEN+vo_#_INDF
mAwqvigoskaravo mAwq(N13)+vigoskara_#_BEN+vo_#_PRES
mAwqvigoskarave mAwq(N13)+vigoskara_#_BEN+ve_#_IMPH
mAwqvigoskarave mAwq(N13)+vigoskara_#_BEN+ve_#_DECL
mAwqvigoskarave mAwq(N13)+vigoskara_#_BEN+ve_#_RIS
mAwqvigoskaravA mAwq(N13)+vigoskara_#_PUR+vA_#_INTR
mAwqvigoskaravU mAwq(N13)+vigoskara_#_PUR+vU_#_INCL
mAwqvigoskaravo mAwq(N13)+vigoskara_#_PUR+vo_#_DUB
mAwqvigoskaravo mAwq(N13)+vigoskara_#_PUR+vo_#_INDF
mAwqvigoskaravo mAwq(N13)+vigoskara_#_PUR+vo_#_PRES
mAwqvigoskarave mAwq(N13)+vigoskara_#_PUR+ve_#_IMPH
mAwqvigoskarave mAwq(N13)+vigoskara_#_PUR+ve_#_DECL
mAwqvigoskarave mAwq(N13)+vigoskara_#_PUR+ve_#_RIS
mAwqvigAgiyA mAwq(N13)+vigAgi_#_BEN+yA_#_INTR
mAwqvigAgiyU mAwq(N13)+vigAgi_#_BEN+yU_#_INCL
mAwqvigAgiyo mAwq(N13)+vigAgi_#_BEN+yo_#_DUB
mAwqvigAgiyo mAwq(N13)+vigAgi_#_BEN+yo_#_INDF
mAwqvigAgiyo mAwq(N13)+vigAgi_#_BEN+yo_#_PRES
mAwqvigAgiye mAwq(N13)+vigAgi_#_BEN+ye_#_IMPH
mAwqvigAgiye mAwq(N13)+vigAgi_#_BEN+ye_#_DECL
mAwqvigAgiye mAwq(N13)+vigAgi_#_BEN+ye_#_RIS
mAwqvigAgiyA mAwq(N13)+vigAgi_#_PUR+yA_#_INTR
mAwqvigAgiyU mAwq(N13)+vigAgi_#_PUR+yU_#_INCL
mAwqvigAgiyo mAwq(N13)+vigAgi_#_PUR+yo_#_DUB
mAwqvigAgiyo mAwq(N13)+vigAgi_#_PUR+yo_#_INDF
mAwqvigAgiyo mAwq(N13)+vigAgi_#_PUR+yo_#_PRES
mAwqvigAgiye mAwq(N13)+vigAgi_#_PUR+ye_#_IMPH
mAwqvigAgiye mAwq(N13)+vigAgi_#_PUR+ye_#_DECL
mAwqvigAgiye mAwq(N13)+vigAgi_#_PUR+ye_#_RIS
mAwqvigosugavA mAwq(N13)+vigosuga_#_BEN+vA_#_INTR
mAwqvigosugavU mAwq(N13)+vigosuga_#_BEN+vU_#_INCL
mAwqvigosugavo mAwq(N13)+vigosuga_#_BEN+vo_#_DUB
mAwqvigosugavo mAwq(N13)+vigosuga_#_BEN+vo_#_INDF
mAwqvigosugavo mAwq(N13)+vigosuga_#_BEN+vo_#_PRES
mAwqvigosugave mAwq(N13)+vigosuga_#_BEN+ve_#_IMPH
mAwqvigosugave mAwq(N13)+vigosuga_#_BEN+ve_#_DECL
mAwqvigosugave mAwq(N13)+vigosuga_#_BEN+ve_#_RIS
mAwqvigosugavA mAwq(N13)+vigosuga_#_PUR+vA_#_INTR
mAwqvigosugavU mAwq(N13)+vigosuga_#_PUR+vU_#_INCL
mAwqvigosugavo mAwq(N13)+vigosuga_#_PUR+vo_#_DUB
mAwqvigosugavo mAwq(N13)+vigosuga_#_PUR+vo_#_INDF
mAwqvigosugavo mAwq(N13)+vigosuga_#_PUR+vo_#_PRES
mAwqvigosugave mAwq(N13)+vigosuga_#_PUR+ve_#_IMPH
mAwqvigosugave mAwq(N13)+vigosuga_#_PUR+ve_#_DECL
mAwqvigosugave mAwq(N13)+vigosuga_#_PUR+ve_#_RIS
mAwqvigiMwalA mAwq(N13)+vigiMwa_#_COMP+lA_#_INTR
mAwqvigiMwalU mAwq(N13)+vigiMwa_#_COMP+lU_#_INCL
mAwqvigiMwalo mAwq(N13)+vigiMwa_#_COMP+lo_#_DUB
mAwqvigiMwalo mAwq(N13)+vigiMwa_#_COMP+lo_#_INDF
mAwqvigiMwalo mAwq(N13)+vigiMwa_#_COMP+lo_#_PRES
mAwqvigiMwale mAwq(N13)+vigiMwa_#_COMP+le_#_IMPH
mAwqvigiMwale mAwq(N13)+vigiMwa_#_COMP+le_#_DECL
mAwqvigiMwale mAwq(N13)+vigiMwa_#_COMP+le_#_RIS
mAwqvinaMweVyA mAwq(N13)+vinaMweV_#_SIM+yA_#_INTR
mAwqvinaMweVyU mAwq(N13)+vinaMweV_#_SIM+yU_#_INCL
mAwqvinaMweVyo mAwq(N13)+vinaMweV_#_SIM+yo_#_DUB
mAwqvinaMweVyo mAwq(N13)+vinaMweV_#_SIM+yo_#_DUB
mAwqvinaMweVyo mAwq(N13)+vinaMweV_#_SIM+yo_#_PRES
mAwqvinaMweVye mAwq(N13)+vinaMweV_#_SIM+ye_#_IMPH
mAwqvinaMweVye mAwq(N13)+vinaMweV_#_SIM+ye_#_DECL
mAwqvinaMweVye mAwq(N13)+vinaMweV_#_SIM+ye_#_RIS
mAwqvoVdaneVyA mAwq(N13)+voVdaneV_#_SOC+yA_#_INTR
mAwqvoVdaneVyU mAwq(N13)+voVdaneV_#_SOC+yU_#_INCL
mAwqvoVdaneVyo mAwq(N13)+voVdaneV_#_SOC+yo_#_DUB
mAwqvoVdaneVyo mAwq(N13)+voVdaneV_#_SOC+yo_#_INDF
mAwqvoVdaneVyo mAwq(N13)+voVdaneV_#_SOC+yo_#_PRES
mAwqvoVdaneVye mAwq(N13)+voVdaneV_#_SOC+ye_#_IMPH
mAwqvoVdaneVye mAwq(N13)+voVdaneV_#_SOC+ye_#_DECL
mAwqvoVdaneVye mAwq(N13)+voVdaneV_#_SOC+ye_#_RIS
mAwqvinoVMxigeVyA mAwq(N13)+vinoVMxigeV_#_SOC+yA_#_INTR
mAwqvinoVMxigeVyU mAwq(N13)+vinoVMxigeV_#_SOC+yU_#_INCL
mAwqvinoVMxigeVyo mAwq(N13)+vinoVMxigeV_#_SOC+yo_#_DUB
mAwqvinoVMxigeVyo mAwq(N13)+vinoVMxigeV_#_SOC+yo_#_INDF
mAwqvinoVMxigeVyo mAwq(N13)+vinoVMxigeV_#_SOC+yo_#_PRES
mAwqvinoVMxigeVye mAwq(N13)+vinoVMxigeV_#_SOC+ye_#_IMPH
mAwqvinoVMxigeVye mAwq(N13)+vinoVMxigeV_#_SOC+ye_#_DECL
mAwqvinoVMxigeVye mAwq(N13)+vinoVMxigeV_#_SOC+ye_#_RIS
mAwqgalYigoskaravA mAwq(N13)+galYu_#_BEN+lYigoskaravA_lYu_INTR
mAwqgalYigoskaravU mAwq(N13)+galYu_#_BEN+lYigoskaravU_lYu_INCL
mAwqgalYigoskaravo mAwq(N13)+galYu_#_BEN+lYigoskaravo_lYu_DUB
mAwqgalYigoskaravo mAwq(N13)+galYu_#_BEN+lYigoskaravo_lYu_INDF
mAwqgalYigoskaravo mAwq(N13)+galYu_#_BEN+lYigoskaravo_lYu_PRES
mAwqgalYigoskarave mAwq(N13)+galYu_#_BEN+lYigoskarave_lYu_IMPH
mAwqgalYigoskarave mAwq(N13)+galYu_#_BEN+lYigoskarave_lYu_DECL
mAwqgalYigoskarave mAwq(N13)+galYu_#_BEN+lYigoskarave_lYu_RIS
mAwqgalYigoskaravA mAwq(N13)+galYu_#_PUR+lYigoskaravA_lYu_INTR
mAwqgalYigoskaravU mAwq(N13)+galYu_#_PUR+lYigoskaravU_lYu_INCL
mAwqgalYigoskaravo mAwq(N13)+galYu_#_PUR+lYigoskaravo_lYu_DUB
mAwqgalYigoskaravo mAwq(N13)+galYu_#_PUR+lYigoskaravo_lYu_INDF
mAwqgalYigoskaravo mAwq(N13)+galYu_#_PUR+lYigoskaravo_lYu_PRES
mAwqgalYigoskarave mAwq(N13)+galYu_#_PUR+lYigoskarave_lYu_IMPH
mAwqgalYigoskarave mAwq(N13)+galYu_#_PUR+lYigoskarave_lYu_DECL
mAwqgalYigoskarave mAwq(N13)+galYu_#_PUR+lYigoskarave_lYu_RIS
mAwqgalYigAgiyA mAwq(N13)+galYu_#_BEN+lYigAgiyA_lYu_INTR
mAwqgalYigAgiyU mAwq(N13)+galYu_#_BEN+lYigAgiyU_lYu_INCL
mAwqgalYigAgiyo mAwq(N13)+galYu_#_BEN+lYigAgiyo_lYu_DUB
mAwqgalYigAgiyo mAwq(N13)+galYu_#_BEN+lYigAgiyo_lYu_INDF
mAwqgalYigAgiyo mAwq(N13)+galYu_#_BEN+lYigAgiyo_lYu_PRES
mAwqgalYigAgiye mAwq(N13)+galYu_#_BEN+lYigAgiye_lYu_IMPH
mAwqgalYigAgiye mAwq(N13)+galYu_#_BEN+lYigAgiye_lYu_DECL
mAwqgalYigAgiye mAwq(N13)+galYu_#_BEN+lYigAgiye_lYu_RIS
mAwqgalYigAgiyA mAwq(N13)+galYu_#_PUR+lYigAgiyA_lYu_INTR
mAwqgalYigAgiyU mAwq(N13)+galYu_#_PUR+lYigAgiyU_lYu_INCL
mAwqgalYigAgiyo mAwq(N13)+galYu_#_PUR+lYigAgiyo_lYu_DUB
mAwqgalYigAgiyo mAwq(N13)+galYu_#_PUR+lYigAgiyo_lYu_INDF
mAwqgalYigAgiyo mAwq(N13)+galYu_#_PUR+lYigAgiyo_lYu_PRES
mAwqgalYigAgiye mAwq(N13)+galYu_#_PUR+lYigAgiye_lYu_IMPH
mAwqgalYigAgiye mAwq(N13)+galYu_#_PUR+lYigAgiye_lYu_DECL
mAwqgalYigAgiye mAwq(N13)+galYu_#_PUR+lYigAgiye_lYu_RIS
mAwqgalYigosugavA mAwq(N13)+galYu_#_BEN+lYigosugavA_lYu_INTR
mAwqgalYigosugavU mAwq(N13)+galYu_#_BEN+lYigosugavU_lYu_INCL
mAwqgalYigosugavo mAwq(N13)+galYu_#_BEN+lYigosugavo_lYu_DUB
mAwqgalYigosugavo mAwq(N13)+galYu_#_BEN+lYigosugavo_lYu_INDF
mAwqgalYigosugavo mAwq(N13)+galYu_#_BEN+lYigosugavo_lYu_PRES
mAwqgalYigosugave mAwq(N13)+galYu_#_BEN+lYigosugave_lYu_IMPH
mAwqgalYigosugave mAwq(N13)+galYu_#_BEN+lYigosugave_lYu_DECL
mAwqgalYigosugave mAwq(N13)+galYu_#_BEN+lYigosugave_lYu_RIS
mAwqgalYigosugavA mAwq(N13)+galYu_#_PUR+lYigosugavA_lYu_INTR
mAwqgalYigosugavU mAwq(N13)+galYu_#_PUR+lYigosugavU_lYu_INCL
mAwqgalYigosugavo mAwq(N13)+galYu_#_PUR+lYigosugavo_lYu_DUB
mAwqgalYigosugavo mAwq(N13)+galYu_#_PUR+lYigosugavo_lYu_INDF
mAwqgalYigosugavo mAwq(N13)+galYu_#_PUR+lYigosugavo_lYu_PRES
mAwqgalYigosugave mAwq(N13)+galYu_#_PUR+lYigosugave_lYu_IMPH
mAwqgalYigosugave mAwq(N13)+galYu_#_PUR+lYigosugave_lYu_DECL
mAwqgalYigosugave mAwq(N13)+galYu_#_PUR+lYigosugave_lYu_RIS
mAwqgalYigiMwalA mAwq(N13)+galYu_#_COMP+lYigiMwalA_lYu_INTR
mAwqgalYigiMwalU mAwq(N13)+galYu_#_COMP+lYigiMwalU_lYu_INCL
mAwqgalYigiMwalo mAwq(N13)+galYu_#_COMP+lYigiMwalo_lYu_DUB
mAwqgalYigiMwalo mAwq(N13)+galYu_#_COMP+lYigiMwalo_lYu_INDF
mAwqgalYigiMwalo mAwq(N13)+galYu_#_COMP+lYigiMwalo_lYu_PRES
mAwqgalYigiMwale mAwq(N13)+galYu_#_COMP+lYigiMwale_lYu_IMPH
mAwqgalYigiMwale mAwq(N13)+galYu_#_COMP+lYigiMwale_lYu_DECL
mAwqgalYigiMwale mAwq(N13)+galYu_#_COMP+lYigiMwale_lYu_RIS
mAwqgalYaMweVyA mAwq(N13)+galYu_#_SIM+lYaMweVyA_lYu_INTR
mAwqgalYaMweVyU mAwq(N13)+galYu_#_SIM+lYaMweVyU_lYu_INCL
mAwqgalYaMweVyo mAwq(N13)+galYu_#_SIM+lYaMweVyo_lYu_DUB
mAwqgalYaMweVyo mAwq(N13)+galYu_#_SIM+lYaMweVyo_lYu_INDF
mAwqgalYaMweVyo mAwq(N13)+galYu_#_SIM+lYaMweVyo_lYu_PRES
mAwqgalYaMweVye mAwq(N13)+galYu_#_SIM+lYaMweVye_lYu_IMPH
mAwqgalYaMweVye mAwq(N13)+galYu_#_SIM+lYaMweVye_lYu_DECL
mAwqgalYaMweVye mAwq(N13)+galYu_#_SIM+lYaMweVye_lYu_RIS
mAwqgalYoVdaneVyA mAwq(N13)+galYu_#_SOC+lYoVdaneVyA_lYu_INTR
mAwqgalYoVdaneVyU mAwq(N13)+galYu_#_SOC+lYoVdaneVyU_lYu_INCL
mAwqgalYoVdaneVyo mAwq(N13)+galYu_#_SOC+lYoVdaneVyo_lYu_DUB
mAwqgalYoVdaneVyo mAwq(N13)+galYu_#_SOC+lYoVdaneVyo_lYu_INDF
mAwqgalYoVdaneVyo mAwq(N13)+galYu_#_SOC+lYoVdaneVyo_lYu_PRES
mAwqgalYoVdaneVye mAwq(N13)+galYu_#_SOC+lYoVdaneVye_lYu_IMPH
mAwqgalYoVdaneVye mAwq(N13)+galYu_#_SOC+lYoVdaneVye_lYu_DECL
mAwqgalYoVdaneVye mAwq(N13)+galYu_#_SOC+lYoVdaneVye_lYu_RIS
mAwqgalYoVMxigeVyA mAwq(N13)+galYu_#_SOC+lYoVMxigeVyA_lYu_INTR
mAwqgalYoVMxigeVyU mAwq(N13)+galYu_#_SOC+lYoVMxigeVyU_lYu_INCL
mAwqgalYoVMxigeVyo mAwq(N13)+galYu_#_SOC+lYoVMxigeVyo_lYu_DUB
mAwqgalYoVMxigeVyo mAwq(N13)+galYu_#_SOC+lYoVMxigeVyo_lYu_INDF
mAwqgalYoVMxigeVyo mAwq(N13)+galYu_#_SOC+lYoVMxigeVyo_lYu_PRES
mAwqgalYoVMxigeVye mAwq(N13)+galYu_#_SOC+lYoVMxigeVye_lYu_IMPH
mAwqgalYoVMxigeVye mAwq(N13)+galYu_#_SOC+lYoVMxigeVye_lYu_DECL
mAwqgalYoVMxigeVye mAwq(N13)+galYu_#_SOC+lYoVMxigeVye_lYu_RIS



