awweVyu awweV(N14)+yu_#_NOM
awweVyaraMweVye awweV(N14)+yaru_#_PL+raMweVye_ru_DECL
awweVyaraMweVye awweV(N14)+yaru_#_PL+raMweVye_ru_RIS
awweVyaroVdaneVyA awweV(N14)+yaru_#_PL+roVdaneVyA_ru_INTR
awweVyaroVdaneVyU awweV(N14)+yaru_#_PL+roVdaneVyU_ru_INCL
awweVyaroVdaneVyo awweV(N14)+yaru_#_PL+roVdaneVyo_ru_DUB
awweVyaroVdaneVyo awweV(N14)+yaru_#_PL+roVdaneVyo_ru_INDF
awweVyaroVdaneVyo awweV(N14)+yaru_#_PL+roVdaneVyo_ru_PRES
awweVyaroVdaneVye awweV(N14)+yaru_#_PL+roVdaneVye_ru_IMPH
awweVyaroVdaneVye awweV(N14)+yaru_#_PL+roVdaneVye_ru_DECL
awweVyaroVdaneVye awweV(N14)+yaru_#_PL+roVdaneVye_ru_RIS
awweVyaroVMxigeVyA awweV(N14)+yaru_#_PL+roVMxigeVyA_ru_INTR
awweVyaroVMxigeVyU awweV(N14)+yaru_#_PL+roVMxigeVyU_ru_INCL
awweVyaroVMxigeVyo awweV(N14)+yaru_#_PL+roVMxigeVyo_ru_DUB
awweVyaroVMxigeVyo awweV(N14)+yaru_#_PL+roVMxigeVyo_ru_INDF
awweVyaroVMxigeVyo awweV(N14)+yaru_#_PL+roVMxigeVyo_ru_PRES
awweVyaroVMxigeVye awweV(N14)+yaru_#_PL+roVMxigeVye_ru_IMPH
awweVyaroVMxigeVye awweV(N14)+yaru_#_PL+roVMxigeVye_ru_DECL
awweVyaroVMxigeVye awweV(N14)+yaru_#_PL+roVMxigeVye_ru_RIS


