huduganu huduga(N16)+nu_#_NOM
hudugarigA huduga(N16)+aru_#_DAT+rigA_aru_INTR
hudugarigU huduga(N16)+aru_#_DAT+rigU_aru_INCL
hudugarigo huduga(N16)+aru_#_DAT+rigo_aru_DUB
hudugarigo huduga(N16)+aru_#_DAT+rigo_aru_INDF
hudugarigo huduga(N16)+aru_#_DAT+rigo_aru_PRES
hudugarige huduga(N16)+aru_#_DAT+rige_aru_IMPH
hudugarige huduga(N16)+aru_#_DAT+rige_aru_DECL
hudugarige huduga(N16)+aru_#_DAT+rige_aru_RIS
hudugariMxalA huduga(N16)+aru_#_ABL+riMxalA_aru_INTR
hudugariMxalU huduga(N16)+aru_#_ABL+riMxalU_aru_INCL
hudugariMxalo huduga(N16)+aru_#_ABL+riMxalo_aru_DUB
hudugariMxalo huduga(N16)+aru_#_ABL+riMxalo_aru_INDF
hudugariMxalo huduga(N16)+aru_#_ABL+riMxalo_aru_PRES
hudugariMxale huduga(N16)+aru_#_ABL+riMxale_aru_IMPH
hudugariMxale huduga(N16)+aru_#_ABL+riMxale_aru_DECL
hudugariMxale huduga(N16)+aru_#_ABL+riMxale_aru_RIS
hudugarallA huduga(N16)+aru_#_LOC+rallA_aru_INTR
hudugarallU huduga(N16)+aru_#_LOC+rallU_aru_INCL
hudugarallo huduga(N16)+aru_#_LOC+rallo_aru_DUB
hudugarallo huduga(N16)+aru_#_LOC+rallo_aru_INDF
hudugarallo huduga(N16)+aru_#_LOC+rallo_aru_PRES
hudugaralle huduga(N16)+aru_#_LOC+ralle_aru_IMPH
hudugaralle huduga(N16)+aru_#_LOC+ralle_aru_DECL
hudugaralle huduga(N16)+aru_#_LOC+ralle_aru_RIS
huduganigoskaravA huduga(N16)+nigoskara_#_BEN+vA_#_INTR
huduganigoskaravU huduga(N16)+nigoskara_#_BEN+vU_#_INCL
huduganigoskaravo huduga(N16)+nigoskara_#_BEN+vo_#_DUB
huduganigoskaravo huduga(N16)+nigoskara_#_BEN+vo_#_INDF
huduganigoskaravo huduga(N16)+nigoskara_#_BEN+vo_#_PRES
huduganigoskarave huduga(N16)+nigoskara_#_BEN+ve_#_IMPH
huduganigoskarave huduga(N16)+nigoskara_#_BEN+ve_#_DECL
huduganigoskarave huduga(N16)+nigoskara_#_BEN+ve_#_RIS
huduganigAgiyA huduga(N16)+nigAgi_#_BEN+yA_#_INTR
huduganigAgiyU huduga(N16)+nigAgi_#_BEN+yU_#_INCL
huduganigAgiyo huduga(N16)+nigAgi_#_BEN+yo_#_DUB
huduganigAgiyo huduga(N16)+nigAgi_#_BEN+yo_#_INDF
huduganigAgiyo huduga(N16)+nigAgi_#_BEN+yo_#_PRES
huduganigAgiye huduga(N16)+nigAgi_#_BEN+ye_#_IMPH
huduganigAgiye huduga(N16)+nigAgi_#_BEN+ye_#_DECL
huduganigAgiye huduga(N16)+nigAgi_#_BEN+ye_#_RIS
huduganigosugavA huduga(N16)+nigosuga_#_BEN+vA_#_INTR
huduganigosugavU huduga(N16)+nigosuga_#_BEN+vU_#_INCL
huduganigosugavo huduga(N16)+nigosuga_#_BEN+vo_#_DUB
huduganigosugavo huduga(N16)+nigosuga_#_BEN+vo_#_INDF
huduganigosugavo huduga(N16)+nigosuga_#_BEN+vo_#_PRES
huduganigosugave huduga(N16)+nigosuga_#_BEN+ve_#_IMPH
huduganigosugave huduga(N16)+nigosuga_#_BEN+ve_#_DECL
huduganigosugave huduga(N16)+nigosuga_#_BEN+ve_#_RIS
huduganigoskaravA huduga(N16)+nigoskara_#_PUR+vA_#_INTR
huduganigoskaravU huduga(N16)+nigoskara_#_PUR+vU_#_INCL
huduganigoskaravo huduga(N16)+nigoskara_#_PUR+vo_#_DUB
huduganigoskaravo huduga(N16)+nigoskara_#_PUR+vo_#_INDF
huduganigoskaravo huduga(N16)+nigoskara_#_PUR+vo_#_PRES
huduganigoskarave huduga(N16)+nigoskara_#_PUR+ve_#_IMPH
huduganigoskarave huduga(N16)+nigoskara_#_PUR+ve_#_DECL
huduganigoskarave huduga(N16)+nigoskara_#_PUR+ve_#_RIS
huduganigAgiyA huduga(N16)+nigAgi_#_PUR+yA_#_INTR
huduganigAgiyU huduga(N16)+nigAgi_#_PUR+yU_#_INCL
huduganigAgiyo huduga(N16)+nigAgi_#_PUR+yo_#_DUB
huduganigAgiyo huduga(N16)+nigAgi_#_PUR+yo_#_INDF
huduganigAgiyo huduga(N16)+nigAgi_#_PUR+yo_#_PRES
huduganigAgiye huduga(N16)+nigAgi_#_PUR+ye_#_IMPH
huduganigAgiye huduga(N16)+nigAgi_#_PUR+ye_#_DECL
huduganigAgiye huduga(N16)+nigAgi_#_PUR+ye_#_RIS
huduganigosugavA huduga(N16)+nigosuga_#_PUR+vA_#_INTR
huduganigosugavU huduga(N16)+nigosuga_#_PUR+vU_#_INCL
huduganigosugavo huduga(N16)+nigosuga_#_PUR+vo_#_DUB
huduganigosugavo huduga(N16)+nigosuga_#_PUR+vo_#_INDF
huduganigosugavo huduga(N16)+nigosuga_#_PUR+vo_#_PRES
huduganigosugave huduga(N16)+nigosuga_#_PUR+ve_#_IMPH
huduganigosugave huduga(N16)+nigosuga_#_PUR+ve_#_DECL
huduganigosugave huduga(N16)+nigosuga_#_PUR+ve_#_RIS
huduganigiMwalA huduga(N16)+nigiMwa_#_COMP+lA_#_INTR
huduganigiMwalU huduga(N16)+nigiMwa_#_COMP+lU_#_INCL
huduganigiMwalo huduga(N16)+nigiMwa_#_COMP+lo_#_DUB
huduganigiMwalo huduga(N16)+nigiMwa_#_COMP+lo_#_INDF
huduganigiMwalo huduga(N16)+nigiMwa_#_COMP+lo_#_PRES
huduganigiMwale huduga(N16)+nigiMwa_#_COMP+le_#_IMPH
huduganigiMwale huduga(N16)+nigiMwa_#_COMP+le_#_DECL
huduganigiMwale huduga(N16)+nigiMwa_#_COMP+le_#_RIS
huduganaMweVyA huduga(N16)+naMweV_#_SIM+yA_#_INTR
huduganaMweVyU huduga(N16)+naMweV_#_SIM+yU_#_INCL
huduganaMweVyo huduga(N16)+naMweV_#_SIM+yo_#_DUB
huduganaMweVyo huduga(N16)+naMweV_#_SIM+yo_#_INDF
huduganaMweVyo huduga(N16)+naMweV_#_SIM+yo_#_PRES
huduganaMweVye huduga(N16)+naMweV_#_SIM+ye_#_IMPH
huduganaMweVye huduga(N16)+naMweV_#_SIM+ye_#_DECL
huduganaMweVye huduga(N16)+naMweV_#_SIM+ye_#_RIS
huduganoVdaneVyA huduga(N16)+noVdaneV_#_SOC+yA_#_INTR
huduganoVdaneVyU huduga(N16)+noVdaneV_#_SOC+yU_#_INCL
huduganoVdaneVyo huduga(N16)+noVdaneV_#_SOC+yo_#_DUB
huduganoVdaneVyo huduga(N16)+noVdaneV_#_SOC+yo_#_INDF
huduganoVdaneVyo huduga(N16)+noVdaneV_#_SOC+yo_#_PRES
huduganoVdaneVye huduga(N16)+noVdaneV_#_SOC+ye_#_IMPH
huduganoVdaneVye huduga(N16)+noVdaneV_#_SOC+ye_#_DECL
huduganoVdaneVye huduga(N16)+noVdaneV_#_SOC+ye_#_RIS
huduganoVMxigeVyA huduga(N16)+noVMxigeV_#_SOC+yA_#_INTR
huduganoVMxigeVyU huduga(N16)+noVMxigeV_#_SOC+yU_#_INCL
huduganoVMxigeVyo huduga(N16)+noVMxigeV_#_SOC+yo_#_DUB
huduganoVMxigeVyo huduga(N16)+noVMxigeV_#_SOC+yo_#_INDF
huduganoVMxigeVyo huduga(N16)+noVMxigeV_#_SOC+yo_#_PRES
huduganoVMxigeVye huduga(N16)+noVMxigeV_#_SOC+ye_#_IMPH
huduganoVMxigeVye huduga(N16)+noVMxigeV_#_SOC+ye_#_DECL
huduganoVMxigeVye huduga(N16)+noVMxigeV_#_SOC+ye_#_RIS
hudugarigoskaravA huduga(N16)+aru_#_BEN+rigoskaravA_aru_INTR
hudugarigoskaravU huduga(N16)+aru_#_BEN+rigoskaravU_aru_INCL
hudugarigoskaravo huduga(N16)+aru_#_BEN+rigoskaravo_aru_DUB
hudugarigoskaravo huduga(N16)+aru_#_BEN+rigoskaravo_aru_INDF
hudugarigoskaravo huduga(N16)+aru_#_BEN+rigoskaravo_aru_PRES
hudugarigoskarave huduga(N16)+aru_#_BEN+rigoskarave_aru_IMPH
hudugarigoskarave huduga(N16)+aru_#_BEN+rigoskarave_aru_DECL
hudugarigoskarave huduga(N16)+aru_#_BEN+rigoskarave_aru_RIS
hudugarigoskaravA huduga(N16)+aru_#_PUR+rigoskaravA_aru_INTR
hudugarigoskaravU huduga(N16)+aru_#_PUR+rigoskaravU_aru_INCL
hudugarigoskaravo huduga(N16)+aru_#_PUR+rigoskaravo_aru_DUB
hudugarigoskaravo huduga(N16)+aru_#_PUR+rigoskaravo_aru_INDF
hudugarigoskaravo huduga(N16)+aru_#_PUR+rigoskaravo_aru_PRES
hudugarigoskarave huduga(N16)+aru_#_PUR+rigoskarave_aru_IMPH
hudugarigoskarave huduga(N16)+aru_#_PUR+rigoskarave_aru_DECL
hudugarigoskarave huduga(N16)+aru_#_PUR+rigoskarave_aru_RIS
hudugarigAgiyA huduga(N16)+aru_#_BEN+rigAgiyA_aru_INTR
hudugarigAgiyU huduga(N16)+aru_#_BEN+rigAgiyU_aru_INCL
hudugarigAgiyo huduga(N16)+aru_#_BEN+rigAgiyo_aru_DUB
hudugarigAgiyo huduga(N16)+aru_#_BEN+rigAgiyo_aru_INDF
hudugarigAgiyo huduga(N16)+aru_#_BEN+rigAgiyo_aru_PRES
hudugarigAgiye huduga(N16)+aru_#_BEN+rigAgiye_aru_IMPH
hudugarigAgiye huduga(N16)+aru_#_BEN+rigAgiye_aru_DECL
hudugarigAgiye huduga(N16)+aru_#_BEN+rigAgiye_aru_RIS
hudugarigAgiyA huduga(N16)+aru_#_PUR+rigAgiyA_aru_INTR
hudugarigAgiyU huduga(N16)+aru_#_PUR+rigAgiyU_aru_INCL
hudugarigAgiyo huduga(N16)+aru_#_PUR+rigAgiyo_aru_DUB
hudugarigAgiyo huduga(N16)+aru_#_PUR+rigAgiyo_aru_INDF
hudugarigAgiyo huduga(N16)+aru_#_PUR+rigAgiyo_aru_PRES
hudugarigAgiye huduga(N16)+aru_#_PUR+rigAgiye_aru_IMPH
hudugarigAgiye huduga(N16)+aru_#_PUR+rigAgiye_aru_DECL
hudugarigAgiye huduga(N16)+aru_#_PUR+rigAgiye_aru_RIS
hudugarigosugavA huduga(N16)+aru_#_BEN+rigosugavA_aru_INTR
hudugarigosugavU huduga(N16)+aru_#_BEN+rigosugavU_aru_INCL
hudugarigosugavo huduga(N16)+aru_#_BEN+rigosugavo_aru_DUB
hudugarigosugavo huduga(N16)+aru_#_BEN+rigosugavo_aru_INDF
hudugarigosugavo huduga(N16)+aru_#_BEN+rigosugavo_aru_PRES
hudugarigosugave huduga(N16)+aru_#_BEN+rigosugave_aru_IMPH
hudugarigosugave huduga(N16)+aru_#_BEN+rigosugave_aru_DECL
hudugarigosugave huduga(N16)+aru_#_BEN+rigosugave_aru_RIS
hudugarigosugavA huduga(N16)+aru_#_PUR+rigosugavA_aru_INTR
hudugarigosugavU huduga(N16)+aru_#_PUR+rigosugavU_aru_INCL
hudugarigosugavo huduga(N16)+aru_#_PUR+rigosugavo_aru_DUB
hudugarigosugavo huduga(N16)+aru_#_PUR+rigosugavo_aru_INDF
hudugarigosugavo huduga(N16)+aru_#_PUR+rigosugavo_aru_PRES
hudugarigosugave huduga(N16)+aru_#_PUR+rigosugave_aru_IMPH
hudugarigosugave huduga(N16)+aru_#_PUR+rigosugave_aru_DECL
hudugarigosugave huduga(N16)+aru_#_PUR+rigosugave_aru_RIS
hudugarigiMwalA huduga(N16)+aru_#_COMP+rigiMwalA_aru_INTR
hudugarigiMwalU huduga(N16)+aru_#_COMP+rigiMwalU_aru_INCL
hudugarigiMwalo huduga(N16)+aru_#_COMP+rigiMwalo_aru_DUB
hudugarigiMwalo huduga(N16)+aru_#_COMP+rigiMwalo_aru_INDF
hudugarigiMwalo huduga(N16)+aru_#_COMP+rigiMwalo_aru_PRES
hudugarigiMwale huduga(N16)+aru_#_COMP+rigiMwale_aru_IMPH
hudugarigiMwale huduga(N16)+aru_#_COMP+rigiMwale_aru_DECL
hudugarigiMwale huduga(N16)+aru_#_COMP+rigiMwale_aru_RIS
hudugaraMweVyA huduga(N16)+aru_#_SIM+raMweVyA_aru_INTR
hudugaraMweVyU huduga(N16)+aru_#_SIM+raMweVyU_aru_INCL
hudugaraMweVyo huduga(N16)+aru_#_SIM+raMweVyo_aru_DUB
hudugaraMweVyo huduga(N16)+aru_#_SIM+raMweVyo_aru_INDF
hudugaraMweVyo huduga(N16)+aru_#_SIM+raMweVyo_aru_PRES
hudugaraMweVye huduga(N16)+aru_#_SIM+raMweVye_aru_IMPH
hudugaraMweVye huduga(N16)+aru_#_SIM+raMweVye_aru_DECL
hudugaraMweVye huduga(N16)+aru_#_SIM+raMweVye_aru_RIS
hudugaroVdaneVyA huduga(N16)+aru_#_SOC+roVdaneVyA_aru_INTR
hudugaroVdaneVyU huduga(N16)+aru_#_SOC+roVdaneVyU_aru_INCL
hudugaroVdaneVyo huduga(N16)+aru_#_SOC+roVdaneVyo_aru_DUB
hudugaroVdaneVyo huduga(N16)+aru_#_SOC+roVdaneVyo_aru_INDF
hudugaroVdaneVyo huduga(N16)+aru_#_SOC+roVdaneVyo_aru_PRES
hudugaroVdaneVye huduga(N16)+aru_#_SOC+roVdaneVye_aru_IMPH
hudugaroVdaneVye huduga(N16)+aru_#_SOC+roVdaneVye_aru_DECL
hudugaroVdaneVye huduga(N16)+aru_#_SOC+roVdaneVye_aru_RIS
hudugaroVMxigeVyA huduga(N16)+aru_#_SOC+roVMxigeVyA_aru_INTR
hudugaroVMxigeVyU huduga(N16)+aru_#_SOC+roVMxigeVyU_aru_INCL
hudugaroVMxigeVyo huduga(N16)+aru_#_SOC+roVMxigeVyo_aru_DUB
hudugaroVMxigeVyo huduga(N16)+aru_#_SOC+roVMxigeVyo_aru_INDF
hudugaroVMxigeVyo huduga(N16)+aru_#_SOC+roVMxigeVyo_aru_PRES
hudugaroVMxigeVye huduga(N16)+aru_#_SOC+roVMxigeVye_aru_IMPH
hudugaroVMxigeVye huduga(N16)+aru_#_SOC+roVMxigeVye_aru_DECL
hudugaroVMxigeVye huduga(N16)+aru_#_SOC+roVMxigeVye_aru_RIS


