naxiyu naxi(N2)+yu_#_NOM
naxigalYiMxale naxi(N2)+galYu_#_INS+lYiMxale_lYu_RIS
naxigalYigA naxi(N2)+galYu_#_DAT+lYigA_lYu_INTR
naxigalYigU naxi(N2)+galYu_#_DAT+lYigU_lYu_INCL
naxigalYigo naxi(N2)+galYu_#_DAT+lYigo_lYu_DUB
naxigalYigo naxi(N2)+galYu_#_DAT+lYigo_lYu_INDF
naxigalYigo naxi(N2)+galYu_#_DAT+lYigo_lYu_PRES
naxigalYige naxi(N2)+galYu_#_DAT+lYige_lYu_IMPH
naxigalYige naxi(N2)+galYu_#_DAT+lYige_lYu_DECL
naxigalYige naxi(N2)+galYu_#_DAT+lYige_lYu_RIS
naxigalYiMxalA naxi(N2)+galYu_#_ABL+lYiMxalA_lYu_INTR
naxigalYiMxalU naxi(N2)+galYu_#_ABL+lYiMxalU_lYu_INCL
naxigalYiMxalo naxi(N2)+galYu_#_ABL+lYiMxalo_lYu_DUB
naxigalYiMxalo naxi(N2)+galYu_#_ABL+lYiMxalo_lYu_INDF
naxigalYiMxalo naxi(N2)+galYu_#_ABL+lYiMxalo_lYu_PRES
naxigalYiMxale naxi(N2)+galYu_#_ABL+lYiMxale_lYu_IMPH
naxigalYiMxale naxi(N2)+galYu_#_ABL+lYiMxale_lYu_DECL
naxigalYiMxale naxi(N2)+galYu_#_ABL+lYiMxale_lYu_RIS
naxigalYallA naxi(N2)+galYu_#_LOC+lYallA_lYu_INTR
naxigalYallU naxi(N2)+galYu_#_LOC+lYallU_lYu_INCL
naxigalYallo naxi(N2)+galYu_#_LOC+lYallo_lYu_DUB
naxigalYallo naxi(N2)+galYu_#_LOC+lYallo_lYu_INDF
naxigalYallo naxi(N2)+galYu_#_LOC+lYallo_lYu_PRES
naxigalYalle naxi(N2)+galYu_#_LOC+lYalle_lYu_IMPH
naxigalYalle naxi(N2)+galYu_#_LOC+lYalle_lYu_DECL
naxigalYalle naxi(N2)+galYu_#_LOC+lYalle_lYu_RIS
naxigoskaravA naxi(N2)+goskara_#_BEN+vA_#_INTR
naxigoskaravU naxi(N2)+goskara_#_BEN+vU_#_INCL
naxigoskaravo naxi(N2)+goskara_#_BEN+vo_#_DUB
naxigoskaravo naxi(N2)+goskara_#_BEN+vo_#_INDF
naxigoskaravo naxi(N2)+goskara_#_BEN+vo_#_PRES
naxigoskarave naxi(N2)+goskara_#_BEN+ve_#_IMPH
naxigoskarave naxi(N2)+goskara_#_BEN+ve_#_DECL
naxigoskarave naxi(N2)+goskara_#_BEN+ve_#_RIS
naxigoskaravA naxi(N2)+goskara_#_PUR+vA_#_INTR
naxigoskaravU naxi(N2)+goskara_#_PUR+vU_#_INCL
naxigoskaravo naxi(N2)+goskara_#_PUR+vo_#_DUB
naxigoskaravo naxi(N2)+goskara_#_PUR+vo_#_INDF
naxigoskaravo naxi(N2)+goskara_#_PUR+vo_#_PRES
naxigoskarave naxi(N2)+goskara_#_PUR+ve_#_IMPH
naxigoskarave naxi(N2)+goskara_#_PUR+ve_#_DECL
naxigoskarave naxi(N2)+goskara_#_PUR+ve_#_RIS
naxigAgiyA naxi(N2)+gAgi_#_BEN+yA_#_INTR
naxigAgiyU naxi(N2)+gAgi_#_BEN+yU_#_INCL
naxigAgiyo naxi(N2)+gAgi_#_BEN+yo_#_DUB
naxigAgiyo naxi(N2)+gAgi_#_BEN+yo_#_INDF
naxigAgiyo naxi(N2)+gAgi_#_BEN+yo_#_PRES
naxigAgiye naxi(N2)+gAgi_#_BEN+ye_#_IMPH
naxigAgiye naxi(N2)+gAgi_#_BEN+ye_#_DECL
naxigAgiye naxi(N2)+gAgi_#_BEN+ye_#_RIS
naxigAgiyA naxi(N2)+gAgi_#_PUR+yA_#_INTR
naxigAgiyU naxi(N2)+gAgi_#_PUR+yU_#_INCL
naxigAgiyo naxi(N2)+gAgi_#_PUR+yo_#_DUB
naxigAgiyo naxi(N2)+gAgi_#_PUR+yo_#_INDF
naxigAgiyo naxi(N2)+gAgi_#_PUR+yo_#_PRES
naxigAgiye naxi(N2)+gAgi_#_PUR+ye_#_IMPH
naxigAgiye naxi(N2)+gAgi_#_PUR+ye_#_DECL
naxigAgiye naxi(N2)+gAgi_#_PUR+ye_#_RIS
naxigosugavA naxi(N2)+gosuga_#_BEN+vA_#_INTR
naxigosugavU naxi(N2)+gosuga_#_BEN+vU_#_INCL
naxigosugavo naxi(N2)+gosuga_#_BEN+vo_#_DUB
naxigosugavo naxi(N2)+gosuga_#_BEN+vo_#_INDF
naxigosugavo naxi(N2)+gosuga_#_BEN+vo_#_PRES
naxigosugave naxi(N2)+gosuga_#_BEN+ve_#_IMPH
naxigosugave naxi(N2)+gosuga_#_BEN+ve_#_DECL
naxigosugave naxi(N2)+gosuga_#_BEN+ve_#_RIS
naxigosugavA naxi(N2)+gosuga_#_PUR+vA_#_INTR
naxigosugavU naxi(N2)+gosuga_#_PUR+vU_#_INCL
naxigosugavo naxi(N2)+gosuga_#_PUR+vo_#_DUB
naxigosugavo naxi(N2)+gosuga_#_PUR+vo_#_INDF
naxigosugavo naxi(N2)+gosuga_#_PUR+vo_#_PRES
naxigosugave naxi(N2)+gosuga_#_PUR+ve_#_IMPH
naxigosugave naxi(N2)+gosuga_#_PUR+ve_#_DECL
naxigosugave naxi(N2)+gosuga_#_PUR+ve_#_RIS
naxigiMwalA naxi(N2)+giMwa_#_COMP+lA_#_INTR
naxigiMwalU naxi(N2)+giMwa_#_COMP+lU_#_INCL
naxigiMwalo naxi(N2)+giMwa_#_COMP+lo_#_DUB
naxigiMwalo naxi(N2)+giMwa_#_COMP+lo_#_INDF
naxigiMwalo naxi(N2)+giMwa_#_COMP+lo_#_PRES
naxigiMwale naxi(N2)+giMwa_#_COMP+le_#_IMPH
naxigiMwale naxi(N2)+giMwa_#_COMP+le_#_DECL
naxigiMwale naxi(N2)+giMwa_#_COMP+le_#_RIS
naxiyaMweVyA naxi(N2)+yaMweV_#_SIM+yA_#_INTR
naxiyaMweVyU naxi(N2)+yaMweV_#_SIM+yU_#_INCL
naxiyaMweVyo naxi(N2)+yaMweV_#_SIM+yo_#_DUB
naxiyaMweVyo naxi(N2)+yaMweV_#_SIM+yo_#_INDF
naxiyaMweVyo naxi(N2)+yaMweV_#_SIM+yo_#_PRES
naxiyaMweVye naxi(N2)+yaMweV_#_SIM+ye_#_IMPH
naxiyaMweVye naxi(N2)+yaMweV_#_SIM+ye_#_DECL
naxiyaMweVye naxi(N2)+yaMweV_#_SIM+ye_#_RIS
naxiyoVdaneVyA naxi(N2)+yoVdaneV_#_SOC+yA_#_INTR
naxiyoVdaneVyU naxi(N2)+yoVdaneV_#_SOC+yU_#_INCL
naxiyoVdaneVyo naxi(N2)+yoVdaneV_#_SOC+yo_#_DUB
naxiyoVdaneVyo naxi(N2)+yoVdaneV_#_SOC+yo_#_INDF
naxiyoVdaneVyo naxi(N2)+yoVdaneV_#_SOC+yo_#_PRES
naxiyoVdaneVye naxi(N2)+yoVdaneV_#_SOC+ye_#_IMPH
naxiyoVdaneVye naxi(N2)+yoVdaneV_#_SOC+ye_#_DECL
naxiyoVdaneVye naxi(N2)+yoVdaneV_#_SOC+ye_#_RIS
naxiyoVMxigeVyA naxi(N2)+yoVMxigeV_#_SOC+yA_#_INTR
naxiyoVMxigeVyU naxi(N2)+yoVMxigeV_#_SOC+yU_#_INCL
naxiyoVMxigeVyo naxi(N2)+yoVMxigeV_#_SOC+yo_#_DUB
naxiyoVMxigeVyo naxi(N2)+yoVMxigeV_#_SOC+yo_#_INDF
naxiyoVMxigeVyo naxi(N2)+yoVMxigeV_#_SOC+yo_#_PRES
naxiyoVMxigeVye naxi(N2)+yoVMxigeV_#_SOC+ye_#_IMPH
naxiyoVMxigeVye naxi(N2)+yoVMxigeV_#_SOC+ye_#_DECL
naxiyoVMxigeVye naxi(N2)+yoVMxigeV_#_SOC+ye_#_RIS
naxigalYigoskaravA naxi(N2)+galYu_#_BEN+lYigoskaravA_lYu_INTR
naxigalYigoskaravU naxi(N2)+galYu_#_BEN+lYigoskaravU_lYu_INCL
naxigalYigoskaravo naxi(N2)+galYu_#_BEN+lYigoskaravo_lYu_DUB
naxigalYigoskaravo naxi(N2)+galYu_#_BEN+lYigoskaravo_lYu_INDF
naxigalYigoskaravo naxi(N2)+galYu_#_BEN+lYigoskaravo_lYu_PRES
naxigalYigoskarave naxi(N2)+galYu_#_BEN+lYigoskarave_lYu_IMPH
naxigalYigoskarave naxi(N2)+galYu_#_BEN+lYigoskarave_lYu_DECL
naxigalYigoskarave naxi(N2)+galYu_#_BEN+lYigoskarave_lYu_RIS
naxigalYigoskaravA naxi(N2)+galYu_#_PUR+lYigoskaravA_lYu_INTR
naxigalYigoskaravU naxi(N2)+galYu_#_PUR+lYigoskaravU_lYu_INCL
naxigalYigoskaravo naxi(N2)+galYu_#_PUR+lYigoskaravo_lYu_DUB
naxigalYigoskaravo naxi(N2)+galYu_#_PUR+lYigoskaravo_lYu_INDF
naxigalYigoskaravo naxi(N2)+galYu_#_PUR+lYigoskaravo_lYu_PRES
naxigalYigoskarave naxi(N2)+galYu_#_PUR+lYigoskarave_lYu_IMPH
naxigalYigoskarave naxi(N2)+galYu_#_PUR+lYigoskarave_lYu_DECL
naxigalYigoskarave naxi(N2)+galYu_#_PUR+lYigoskarave_lYu_RIS
naxigalYigAgiyA naxi(N2)+galYu_#_BEN+lYigAgiyA_lYu_INTR
naxigalYigAgiyU naxi(N2)+galYu_#_BEN+lYigAgiyU_lYu_INCL
naxigalYigAgiyo naxi(N2)+galYu_#_BEN+lYigAgiyo_lYu_DUB
naxigalYigAgiyo naxi(N2)+galYu_#_BEN+lYigAgiyo_lYu_INDF
naxigalYigAgiyo naxi(N2)+galYu_#_BEN+lYigAgiyo_lYu_PRES
naxigalYigAgiye naxi(N2)+galYu_#_BEN+lYigAgiye_lYu_IMPH
naxigalYigAgiye naxi(N2)+galYu_#_BEN+lYigAgiye_lYu_DECL
naxigalYigAgiye naxi(N2)+galYu_#_BEN+lYigAgiye_lYu_RIS
naxigalYigAgiyA naxi(N2)+galYu_#_PUR+lYigAgiyA_lYu_INTR
naxigalYigAgiyU naxi(N2)+galYu_#_PUR+lYigAgiyU_lYu_INCL
naxigalYigAgiyo naxi(N2)+galYu_#_PUR+lYigAgiyo_lYu_DUB
naxigalYigAgiyo naxi(N2)+galYu_#_PUR+lYigAgiyo_lYu_INDF
naxigalYigAgiyo naxi(N2)+galYu_#_PUR+lYigAgiyo_lYu_PRES
naxigalYigAgiye naxi(N2)+galYu_#_PUR+lYigAgiye_lYu_IMPH
naxigalYigAgiye naxi(N2)+galYu_#_PUR+lYigAgiye_lYu_DECL
naxigalYigAgiye naxi(N2)+galYu_#_PUR+lYigAgiye_lYu_RIS
naxigalYigosugavA naxi(N2)+galYu_#_BEN+lYigosugavA_lYu_INTR
naxigalYigosugavU naxi(N2)+galYu_#_BEN+lYigosugavU_lYu_INCL
naxigalYigosugavo naxi(N2)+galYu_#_BEN+lYigosugavo_lYu_DUB
naxigalYigosugavo naxi(N2)+galYu_#_BEN+lYigosugavo_lYu_INDF
naxigalYigosugavo naxi(N2)+galYu_#_BEN+lYigosugavo_lYu_PRES
naxigalYigosugave naxi(N2)+galYu_#_BEN+lYigosugave_lYu_IMPH
naxigalYigosugave naxi(N2)+galYu_#_BEN+lYigosugave_lYu_DECL
naxigalYigosugave naxi(N2)+galYu_#_BEN+lYigosugave_lYu_RIS
naxigalYigosugavA naxi(N2)+galYu_#_PUR+lYigosugavA_lYu_INTR
naxigalYigosugavU naxi(N2)+galYu_#_PUR+lYigosugavU_lYu_INCL
naxigalYigosugavo naxi(N2)+galYu_#_PUR+lYigosugavo_lYu_DUB
naxigalYigosugavo naxi(N2)+galYu_#_PUR+lYigosugavo_lYu_INDF
naxigalYigosugavo naxi(N2)+galYu_#_PUR+lYigosugavo_lYu_PRES
naxigalYigosugave naxi(N2)+galYu_#_PUR+lYigosugave_lYu_IMPH
naxigalYigosugave naxi(N2)+galYu_#_PUR+lYigosugave_lYu_DECL
naxigalYigosugave naxi(N2)+galYu_#_PUR+lYigosugave_lYu_RIS
naxigalYigiMwalA naxi(N2)+galYu_#_COMP+lYigiMwalA_lYu_INTR
naxigalYigiMwalU naxi(N2)+galYu_#_COMP+lYigiMwalU_lYu_INCL
naxigalYigiMwalo naxi(N2)+galYu_#_COMP+lYigiMwalo_lYu_DUB
naxigalYigiMwalo naxi(N2)+galYu_#_COMP+lYigiMwalo_lYu_INDF
naxigalYigiMwalo naxi(N2)+galYu_#_COMP+lYigiMwalo_lYu_PRES
naxigalYigiMwale naxi(N2)+galYu_#_COMP+lYigiMwale_lYu_IMPH
naxigalYigiMwale naxi(N2)+galYu_#_COMP+lYigiMwale_lYu_DECL
naxigalYigiMwale naxi(N2)+galYu_#_COMP+lYigiMwale_lYu_RIS
naxigalYaMweVyA naxi(N2)+galYu_#_SIM+lYaMweVyA_lYu_INTR
naxigalYaMweVyU naxi(N2)+galYu_#_SIM+lYaMweVyU_lYu_INCL
naxigalYaMweVyo naxi(N2)+galYu_#_SIM+lYaMweVyo_lYu_DUB
naxigalYaMweVyo naxi(N2)+galYu_#_SIM+lYaMweVyo_lYu_INDF
naxigalYaMweVyo naxi(N2)+galYu_#_SIM+lYaMweVyo_lYu_PRES
naxigalYaMweVye naxi(N2)+galYu_#_SIM+lYaMweVye_lYu_IMPH
naxigalYaMweVye naxi(N2)+galYu_#_SIM+lYaMweVye_lYu_DECL
naxigalYaMweVye naxi(N2)+galYu_#_SIM+lYaMweVye_lYu_RIS
naxigalYoVdaneVyA naxi(N2)+galYu_#_SOC+lYoVdaneVyA_lYu_INTR
naxigalYoVdaneVyU naxi(N2)+galYu_#_SOC+lYoVdaneVyU_lYu_INCL
naxigalYoVdaneVyo naxi(N2)+galYu_#_SOC+lYoVdaneVyo_lYu_DUB
naxigalYoVdaneVyo naxi(N2)+galYu_#_SOC+lYoVdaneVyo_lYu_INDF
naxigalYoVdaneVyo naxi(N2)+galYu_#_SOC+lYoVdaneVyo_lYu_PRES
naxigalYoVdaneVye naxi(N2)+galYu_#_SOC+lYoVdaneVye_lYu_IMPH
naxigalYoVdaneVye naxi(N2)+galYu_#_SOC+lYoVdaneVye_lYu_DECL
naxigalYoVdaneVye naxi(N2)+galYu_#_SOC+lYoVdaneVye_lYu_RIS
naxigalYoVMxigeVyA naxi(N2)+galYu_#_SOC+lYoVMxigeVyA_lYu_INTR
naxigalYoVMxigeVyU naxi(N2)+galYu_#_SOC+lYoVMxigeVyU_lYu_INCL
naxigalYoVMxigeVyo naxi(N2)+galYu_#_SOC+lYoVMxigeVyo_lYu_DUB
naxigalYoVMxigeVyo naxi(N2)+galYu_#_SOC+lYoVMxigeVyo_lYu_INDF
naxigalYoVMxigeVyo naxi(N2)+galYu_#_SOC+lYoVMxigeVyo_lYu_PRES
naxigalYoVMxigeVye naxi(N2)+galYu_#_SOC+lYoVMxigeVye_lYu_IMPH
naxigalYoVMxigeVye naxi(N2)+galYu_#_SOC+lYoVMxigeVye_lYu_DECL
naxigalYoVMxigeVye naxi(N2)+galYu_#_SOC+lYoVMxigeVye_lYu_RIS


