haMcixanu haMcu(V23)+ixa_u_PAST+anu_a_3SM   
haMcuva haMcu(V23)+va_#_FUT_#_RP
haMcixa haMcu(V23)+ixa_u_PAST_#_RP
haMcalu haMcu(V23)+alu_u_INFN_#_INCH
haMcalikkeV haMcu(V23)+alikkeV_u_INFN_#_INCH
haMcokeV haMcu(V23)+okeV_u_INFN_#_INCH
haMcabeku haMcu(V23)+a_u_AVY+beku_#_FUT_#_IMPR
haMcakUdaxu haMcu(V23)+a_u_AVY+kUdaxu_#_FUT_#_NEGIMPR
haMcabaraxu haMcu(V23)+a_u_AVY+baraxu_#_FUT_#_NEGIMPR
haMcanu haMcu(V23)+anu_u_FUTNEG_#_3SM
haMcalYu haMcu(V23)+alYu_u_FUTNEG_#_3SF
haMcaxu haMcu(V23)+axu_u_FUTNEG_#_3SN
haMcaru haMcu(V23)+aru_u_FUTNEG_#_3P
haMcaru haMcu(V23)+aru_u_FUTNEG_#_3SH
haMcavu haMcu(V23)+avu_u_FUTNEG_#_3PN
haMcalAreV haMcu(V23)+alu_u_FUTNEG+AreV_u_1S
haMcalAreVvu haMcu(V23)+alu_u_FUTNEG+AreVvu_u_1P
haMcalAreVnu haMcu(V23)+alu_u_FUTNEG+AreVnu_u_2S
haMcalAriri haMcu(V23)+alu_u_FUTNEG+Ariri_u_2P
haMcalAriri haMcu(V23)+alu_u_FUTNEG+Ariri_u_2SH
haMcalAranu haMcu(V23)+alu_u_FUTNEG+Aranu_u_3SM
haMcalAralYu haMcu(V23)+alu_u_FUTNEG+AralYu_u_3SF
haMcalAraxu haMcu(V23)+alu_u_FUTNEG+Araxu_u_3SN
haMcalAraru haMcu(V23)+alu_u_FUTNEG+Araru_u_3P
haMcalAraru haMcu(V23)+alu_u_FUTNEG+Araru_u_3SH
haMcalAravu haMcu(V23)+alu_u_FUTNEG+Aravu_u_3PN
haMcalArxa haMcu(V23)+alu_u_NEG+Arxa_u_3
haMcaxa haMcu(V23)+axa_u_NFV_#_NEG
haMcaxeV haMcu(V23)+axeV_u_NFV_#_NEG
haMcixarU haMcu(V23)+ixarU_u_NFV_#_CONS
haMcuwwA haMcu(V23)+uwwa_u_NFV+A_a_PRESCONT
haMci haMcu(V23)+i_u_NFV_#_PASTPERF
haMcali haMcu(V23)+ali_u_FUTOPT_#_3SM
haMcali haMcu(V23)+ali_u_FUTOPT_#_3SF
haMcali haMcu(V23)+ali_u_FUTOPT_#_3P
haMcali haMcu(V23)+ali_u_FUTOPT_#_3SH
haMcali haMcu(V23)+ali_u_FUTOPT_#_3SN
haMcali haMcu(V23)+ali_u_FUTOPT_#_3SM
haMcaballa haMcu(V23)+haMca_haMcu_AVY+balla_#_FUTINF_#_CAP
haMcaballanu haMcu(V23)+haMca_haMcu_AVY+balla_#_FUTCAP+anu_a_3SM
haMcaballalYu haMcu(V23)+haMca_haMcu_AVY+balla_#_FUTCAP+alYu_a_3SF
haMcaballaxu haMcu(V23)+haMca_haMcu_AVY+balla_#_FUTCAP+axu_a_3SN
haMcaballaru haMcu(V23)+haMca_haMcu_AVY+balla_#_FUTCAP+aru_a_3P
haMcaballaru haMcu(V23)+haMca_haMcu_AVY+balla_#_FUTCAP+aru_a_3SH
haMcaballavu haMcu(V23)+haMca_haMcu_AVY+balla_#_FUTCAP+avu_a_3PN
haMciyAnu haMcu(V23)+iya_u_FUTDUB+Anu_a_3SM
haMciyAlYu haMcu(V23)+iya_u_FUTDUB+AlYu_a_3SF
haMciyAru haMcu(V23)+iya_u_FUTDUB+Aru_a_3P
haMciyAru haMcu(V23)+iya_u_FUTDUB+Aru_a_3SH
haMcIwu haMcu(V23)+iya_u_FUTDUB+Iwu_iya_3SN
haMciyAvu haMcu(V23)+iya_u_FUTDUB+Avu_a_3PN
haMciyenu haMcu(V23)+iya_u_FUTDUB+enu_a_1S
haMciyevu haMcu(V23)+iya_u_FUTDUB+evu_a_1P
haMcuvIyeV haMcu(V23)+iya_#_FUTDUB+vIyeV_iya_2S
haMciyIri haMcu(V23)+iya_u_FUTDUB+yIri_ya_2P
haMciyIri haMcu(V23)+iya_u_FUTDUB+yIri_ya_2SH
haMcixareV haMcu(V23)+ixa_u_NFV+areV_a_COND
haMcixalli haMcu(V23)+ixa_u_NFV+alli_a_COND
haMcuvuxilla haMcu(V23)+vuxu_#_AVY+illa_u_NEG
haMcabahuxu haMcu(V23)+a_u_AVY+bahuxu_#_FUTPOTEN
haMcalebeku haMcu(V23)+alu_u_COMP+e_u_AVY+beku_#_FUT
haMcuvavanu haMcu(V23)+va_#_PRP+avanu_a_3SM
haMcuvavalYu haMcu(V23)+va_#_PRP+avalYu_a_3FM
haMcuvavaru haMcu(V23)+va_#_PRP+avaru_a_3P
haMcaxavanu haMcu(V23)+axa_u_PRP+avanu_a_3SM
haMcaxavalYu haMcu(V23)+axa_u_PRP+avalYu_a_3FM
haMcaxavaru haMcu(V23)+axa_u_PRP+avaru_a_3P
haMcixavanu haMcu(V23)+ixa_u_PRP+avanu_a_3SM 
haMcixavalYu haMcu(V23)+ixa_u_PRP+avalYu_a_3FM 
haMcixavaru haMcu(V23)+ixa_u_PRP+avaru_a_3P 
haMcalAraxavanu haMcu(V23)+alu_u_AVY+Araxa_u_PRP+avanu_a_3SM 
haMcalAraxavalYu haMcu(V23)+alu_u_AVY+Araxa_u_PRP+avalYu_a_3SF
haMcalAraxavaru haMcu(V23)+alu_u_AVY+Araxa_u_PRP+avaru_a_3P 
haMcuwwiruvavanu haMcu(V23)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM
haMcuwwiruvavalYu haMcu(V23)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avalYu_a_3SF
haMcuwwiruvavaru haMcu(V23)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avaru_a_3P
haMcuwwiruvuxu haMcu(V23)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uxu_a_3SN
haMcuwwiruvuvu haMcu(V23)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uvu_a_3PN
haMcuwwiruva haMcu(V23)+uwwa_u_AUX+wwiru_wwa_RP+va_#_FUTPROG
haMcuwwiruvavanu haMcu(V23)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM 
haMcuwwiruvavalYu haMcu(V23)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avalYu_a_3FM 
haMcuwwiruvavaru haMcu(V23)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avaru_a_3P 
haMcuwwixxu haMcu(V23)+uwwa_u_AUX+wwixxu_wwa_PRESPROG
haMcuwwixxavu haMcu(V23)+uwwa_u_AUX+wwiru_wwa_RP+xxa_ru_PRP+avu_a_3PN
haMcaliruvavanu haMcu(V23)+alu_u_AUX+liru_lu_RP+va_#_PRP+avanu_a_3SM
haMcaliruvavalYu haMcu(V23)+alu_u_AUX+liru_lu_RP+va_#_PRP+avalYu_a_3FM
haMcaliruvavaru haMcu(V23)+alu_u_AUX+liru_lu_RP+va_#_PRP+avaru_a_3P
haMcaliruvanu haMcu(V23)+alu_u_AUX+liruvanu_lu_3SM
haMcaliruvalYu haMcu(V23)+alu_u_AUX+liruvalYu_lu_3SF
haMcaliruvaru haMcu(V23)+alu_u_AUX+liruvaru_lu_3P
haMcaliruvaxu haMcu(V23)+alu_u_AUX+liruvaxu_lu_3SN
haMcaliruvavu haMcu(V23)+alu_u_AUX+liruvavu_lu_3PN
haMcaballavanu haMcu(V23)+a_u_AVY+ballavanu_#_3SM
haMcaballavalYu haMcu(V23)+a_u_#_AVY+ballavalYu_#_3SF
haMcaballavaru haMcu(V23)+a_u_AVY+ballavaru_#_3P
haMcaballaxu haMcu(V23)+a_u_AVY+ballaxu_#_3SN
haMcaballavu haMcu(V23)+a_u_AVY+ballavu_#_3PN
haMcuwwixxAneV haMcu(V23)+uwwa_u_AUX+wwixxAneV_wwa_3SM
haMcuwwixxAlYeV haMcu(V23)+uwwa_u_AUX+wwixxAlYeV_wwa_3FM
haMcuwwixxAreV haMcu(V23)+uwwa_u_AUX+wwixxAreV_wwa_3P
haMcuwwixeV haMcu(V23)+uwwa_u_AUX+wwixeV_wwa_3SN
haMcuwwiveV haMcu(V23)+uwwa_u_AUX+wwiveV_wwa_3PN
haMcalpattanu haMcu(V23)+alpadu_u_PAST+pattanu_padu_3SM
haMcalpattalYu haMcu(V23)+alpadu_u_PAST+pattalYu_padu_3SF
haMcalpattiwu haMcu(V23)+alpadu_u_PAST+pattiwu_padu_3P
haMcalpattaru haMcu(V23)+alpadu_u_PAST+pattaru_padu_3SH
haMcalpattiwu haMcu(V23)+alpadu_u_PAST+pattiwu_padu_3SN
haMcalpattavu haMcu(V23)+alpadu_u_PAST+pattavu_padu_3PN
haMcalpaduwwaxeV haMcu(V23)+alpadu_u_FUT+duwwaxeV_du_3SN
haMcalpaduwwaveV haMcu(V23)+alpadu_u_FUT+duwwaveV_du_3PN
haMcalpaduvuxu haMcu(V23)+alpadu_u_FUT+vuxu_#_3SN
haMcalpaduvuvu haMcu(V23)+alpadu_u_FUT+vuvu_#_3PN
haMcalpadanu haMcu(V23)+alpadu_u_FUTNEG+danu_du_3SM
haMcalpadalYu haMcu(V23)+alpadu_u_FUTNEG+dalYu_du_3SF
haMcalpadaru haMcu(V23)+alpadu_u_FUTNEG+daru_du_3P
haMcalpadaru haMcu(V23)+alpadu_u_FUTNEG+daru_du_3SH
haMcalpadaxu haMcu(V23)+alpadu_u_FUTNEG+daxu_du_3SN
haMcalpadavu haMcu(V23)+alpadu_u_FUTNEG+davu_du_3PN

haMcalpattAnu haMcu(V23)+alpadu_u_FUTDUB+pattAnu_padu_3SM
haMcalpattAlYu haMcu(V23)+alpadu_u_FUTDUB+pattAlYu_padu_3SF
haMcalpattAru haMcu(V23)+alpadu_u_FUTDUB+pattAru_padu_3P
haMcalpattAru haMcu(V23)+alpadu_u_FUTDUB+pattAru_padu_3SH
haMcalpattIwu haMcu(V23)+alpadu_u_FUTDUB+ttIwu_du_3SN
haMcalpattAvu haMcu(V23)+alpadu_u_FUTDUB+pattAvu_padu_3PN

haMcalpadabeku haMcu(V23)+alpada_u_#_AVY+beku_#_FUTIMP
haMcalpadabAraxu haMcu(V23)+alpada_u_#_AVY+bAraxu_#_NEGIMPR
haMcalpadakUdaxu haMcu(V23)+alpada_u_#_AVY+kUdaxu_#_NEGIMPR
haMcalpadali haMcu(V23)+alpadu_u_FUTOPT+dali_du_3SN
haMcalpadali haMcu(V23)+alpadu_u_FUTOPT+dali_du_3PN
haMcalpadaballa haMcu(V23)+alpada_u_AVY+balla_#_FUTCAP
haMcalpadaballaxu haMcu(V23)+alpada_u_AVY+ballaxu_#_FUTCAP
haMcalpadaballavu haMcu(V23)+alpada_u_AVY+ballavu_#_FUTCAP
haMcalpadabahuxu haMcu(V23)+alpada_u_AVY+bahuxu_#_FUTPOTEN_#_3SN
haMcalpadabahuxu haMcu(V23)+alpada_u_AVY+bahuxu_#_FUTPOTEN_#_3PN
haMcalpadabeku haMcu(V23)+alpada_u_AVY+beku_#_FUTCOMP
haMcalpadalebeku haMcu(V23)+alpada_u_AVY+lebeku_#_FUTCOMP
haMcalpadalAraxu haMcu(V23)+alpadu_u_FUTNEG+alAraxu_u_3SN
haMcalpadalAravu haMcu(V23)+alpadu_u_FUTNEG+alAravu_u_3PN
haMcalpadalAraxa haMcu(V23)+alpadu_u_NEG+alAraxa_u_3SN
haMcalpattarU haMcu(V23)+alpadu_u_FUTCOND+pattarU_padu_NFV
haMcalpaduwwa haMcu(V23)+alpadu_u_PRESCONT+uwwa_u_NFV
haMcalpatta haMcu(V23)+alpadu_u_RP+patta_padu_PAST
haMcalpadaxeV haMcu(V23)+alpadu_u_NEG+axeV_u_NFV	
haMcalpadaxa haMcu(V23)+alpadu_u_NEG+axa_u_NFV
haMcalpattu haMcu(V23)+alpadu_u_PAST+pattu_padu_NFV
haMcalpaduva haMcu(V23)+alpadu_u_FUT+va_#_RP
haMcalpadalu haMcu(V23)+alpadu_u_INFN+alu_u_FUTINCH
haMcalpadalikkeV haMcu(V23)+alpadu_u_INFN+alikkeV_u_FUTINCH
haMcalpattareV haMcu(V23)+alpadu_u_FUTCOND+pattareV_padu_NFV
haMcalpattalli haMcu(V23)+alpadu_u_FUTCOND+pattalli_padu_NFV
haMcalpaduwwiruva haMcu(V23)+alpadu_u_AUX+uwwiruva_u_RP
haMcalpaduwwixxa haMcu(V23)+alpadu_u_AUX+uwwixxa_u_RP
haMcalpaduwwaliruva haMcu(V23)+alpadu_u_AUX+uwwaliruva_u_RP
haMcalpaduwwirabekaxa haMcu(V23)+alpadu_u_AUX+uwwiru_u_AVY+abekaxa_u_3SN
haMcixanA haMcu(V23)+ixanA_u_INTR
haMcixalYA haMcu(V23)+ixalYA_u_INTR
haMciwA haMcu(V23)+iwA_u_INTR
haMcixarA haMcu(V23)+ixarA_u_INTR
haMcixavA haMcu(V23)+ixavA_u_INTR
haMcuwwAnA haMcu(V23)+uwwAnA_u_INTR
haMcuwwAlYA haMcu(V23)+uwwAlYA_u_INTR
haMcuwwaxA haMcu(V23)+uwwaxA_u_INTR
haMcuvanA haMcu(V23)+vanA_#_INTR
haMcuvalYA haMcu(V23)+valYA_#_INTR
haMcuvuxA haMcu(V23)+vuxA_#_INTR
haMcuvarA haMcu(V23)+varA_#_INTR
haMcuvuvA haMcu(V23)+vuvA_#_INTR
haMcuwwiyA haMcu(V23)+uwwiyA_u_INTR
haMcuwwiriyA haMcu(V23)+uwwiriyA_u_INTR
haMcuwwIrA haMcu(V23)+uwwIrA_u_INTR
haMcuviyA haMcu(V23)+viyA_#_INTR
haMcuvirA haMcu(V23)+virA_#_INTR
haMcuvuxa haMcu(V23)+vuxa_#_INTR
haMcalA haMcu(V23)+alA_u_INTR


haMcaliixa haMcu(V23)+aliixa_u_INTR
haMcokA haMcu(V23)+okA_u_INTR
haMcabekA haMcu(V23)+abekA_u_INTR
haMcakUdaxA haMcu(V23)+akUdaxA_u_INTR
haMcaballaxa haMcu(V23)+aballaxa_u_INTR
haMcanA haMcu(V23)+anA_u_INTR
haMcalYA haMcu(V23)+alYA_u_INTR
haMcaxa haMcu(V23)+axa_u_INTR
haMcarA haMcu(V23)+arA_u_INTR
haMcavA haMcu(V23)+avA_u_INTR
haMcalAreVvA haMcu(V23)+alAreVvA_u_INTR
haMcalAreVnA haMcu(V23)+alAreVnA_u_INTR
haMcalAririyA haMcu(V23)+alAririyA_u_INTR
haMcalAranA haMcu(V23)+alAranA_u_INTR
haMcalAralYA haMcu(V23)+alAralYA_u_INTR
haMcalAraxa haMcu(V23)+alAraxa_u_INTR
haMcalArarA haMcu(V23)+alArarA_u_INTR
haMcalAravA haMcu(V23)+alAravA_u_INTR
haMcaballanA haMcu(V23)+aballanA_u_INTR
haMcaballalYA haMcu(V23)+aballalYA_u_INTR
haMcaballaxa haMcu(V23)+aballaxa_u_INTR
haMcaballarA haMcu(V23)+aballarA_u_INTR
haMcaballavA haMcu(V23)+aballavA_u_INTR
haMcabahuxa haMcu(V23)+abahuxa_u_INTR
haMcalebekA haMcu(V23)+alebekA_u_INTR
haMcalpattiwA haMcu(V23)+alpattiwA_u_INTR
haMcalpattavA haMcu(V23)+alpattavA_u_INTR
haMcalpaduwwaxa haMcu(V23)+alpaduwwaxa_u_INTR
haMcalpaduwwavA haMcu(V23)+alpaduwwavA_u_INTR
haMcalpaduvuxa haMcu(V23)+alpaduvuxa_u_INTR
haMcalpaduvuvA haMcu(V23)+alpaduvuvA_u_INTR
haMcalpadaxa haMcu(V23)+alpadaxa_u_INTR
haMcalpadavA haMcu(V23)+alpadavA_u_INTR
haMcalpadabekA haMcu(V23)+alpadabekA_u_INTR
haMcalpadabarAxA haMcu(V23)+alpadabarAxA_u_INTR
haMcalpadakUdaxA haMcu(V23)+alpadakUdaxA_u_INTR
haMcalpadabahuxdA haMcu(V23)+alpadabahuxdA_u_INTR
haMcalpadalebekA haMcu(V23)+alpadalebekA_u_INTR
haMcalpadalAraxA haMcu(V23)+alpadalAraxA_u_INTR
haMcalpadalAravA haMcu(V23)+alpadalAravA_u_INTR
haMcixane haMcu(V23)+ixane_u_INTR
haMcixalYe haMcu(V23)+ixalYe_u_INTR
haMcuwwiwe haMcu(V23)+wwiwe_#_INTR
haMcixare haMcu(V23)+ixare_u_INTR
haMcixave haMcu(V23)+ixave_u_INTR
haMcuwwAnye haMcu(V23)+uwwAnye_u_INTR
haMcuwwAlYe haMcu(V23)+uwwAlYe_u_INTR
haMcuwwaxeVye haMcu(V23)+uwwaxeVye_u_INTR
haMcuvane haMcu(V23)+vane_#_INTR
haMcuvalYe haMcu(V23)+valYe_#_INTR
haMcuvuxe haMcu(V23)+vuxe_#_INTR
haMcuvare haMcu(V23)+vare_#_INTR
haMcuvuve haMcu(V23)+vuve_#_INTR
haMcuwwiriye haMcu(V23)+wwiriye_#_INTR
haMcuwwiye haMcu(V23)+uwwiye_u_INTR
haMcuwwIre haMcu(V23)+uwwIre_u_INTR
haMcuviye haMcu(V23)+viye_#_INTR
haMcuvire haMcu(V23)+vire_#_INTR
haMcuvuxe haMcu(V23)+vuxe_#_INTR
haMcale haMcu(V23)+ale_u_INTR
haMcalikke haMcu(V23)+alikke_u_INTR
haMcabeke haMcu(V23)+abeke_u_INTR
haMcakUdaxe haMcu(V23)+akUdaxe_u_INTR
haMcahaMcaxe haMcu(V23)+ahaMcaxe_u_INTR
haMcane haMcu(V23)+ane_u_INTR
haMcalYe haMcu(V23)+alYe_u_INTR
haMcaxe haMcu(V23)+axe_u_INTR
haMcare haMcu(V23)+are_u_INTR
haMcave haMcu(V23)+ave_u_INTR
haMcalAreVve haMcu(V23)+alAreVve_u_INTR
haMcalAreVne haMcu(V23)+alAreVne_u_INTR
haMcalAririye haMcu(V23)+alAririye_u_INTR
haMcalArane haMcu(V23)+alArane_u_INTR
haMcalAralYe haMcu(V23)+alAralYe_u_INTR
haMcalAraxe haMcu(V23)+alAraxe_u_INTR
haMcalArare haMcu(V23)+alArare_u_INTR
haMcalArave haMcu(V23)+alArave_u_INTR
haMcahaMcane haMcu(V23)+ahaMcane_u_INTR
haMcahaMcalYe haMcu(V23)+ahaMcalYe_u_INTR
haMcahaMcaxe haMcu(V23)+ahaMcaxe_u_INTR
haMcahaMcare haMcu(V23)+ahaMcare_u_INTR
haMcahaMcave haMcu(V23)+ahaMcave_u_INTR
haMcabahuxe haMcu(V23)+abahuxe_u_INTR
haMcalebeke haMcu(V23)+alebeke_u_INTR
haMcalpattiwe haMcu(V23)+alpattiwe_u_INTR
haMcalpattave haMcu(V23)+alpattave_u_INTR
haMcalpadaxe haMcu(V23)+alpadaxe_u_INTR
haMcalpadave haMcu(V23)+alpadave_u_INTR
haMcalpaduvuxe haMcu(V23)+alpaduvuxe_u_INTR
haMcalpaduvuve haMcu(V23)+alpaduvuve_u_INTR
haMcalpadaxe haMcu(V23)+alpadaxe_u_INTR
haMcalpadave haMcu(V23)+alpadave_u_INTR
haMcalpadabeke haMcu(V23)+alpadabeke_u_INTR
haMcalpadabAraxe haMcu(V23)+alpadabAraxe_u_INTR
haMcalpadakUdaxe haMcu(V23)+alpadakUdaxe_u_INTR

haMcalpadabahuxe haMcu(V23)+alpadabahuxe_u_INTR
haMcalpadalebeke haMcu(V23)+alpadalebeke_u_INTR
haMcalpadalAraxe haMcu(V23)+alpadalAraxe_u_INTR
haMcalpadalArave haMcu(V23)+alpadalArave_u_INTR
haMcixano haMcu(V23)+ixano_u_INDF
haMcixalYo haMcu(V23)+ixalYo_u_INDF
haMciwo haMcu(V23)+iwo_u_INDF
haMcixaro haMcu(V23)+ixaro_u_INDF
haMcixavo haMcu(V23)+ixavo_u_INDF
haMcuwwAno haMcu(V23)+wwAno_#_INDF
haMcuwwAlYo haMcu(V23)+wwAlYo_#_INDF
haMcuwwaxeVyo haMcu(V23)+uwwaxeVyo_u_INDF
haMcuvano haMcu(V23)+vano_#_INDF
haMcuvalYo haMcu(V23)+valYo_#_INDF
haMcuvuxo haMcu(V23)+vuxo_#_INDF
haMcuvaro haMcu(V23)+varo_#_INDF
haMcuvuvo haMcu(V23)+vuvo_#_INDF
haMcuvuxo haMcu(V23)+vuxo_#_INDF
haMcalo haMcu(V23)+alo_u_INDF
haMcalikko haMcu(V23)+alikko_u_INDF
haMcabeko haMcu(V23)+abeko_u_INDF
haMcakUdaxo haMcu(V23)+akUdaxo_u_INDF
haMcaballaxo haMcu(V23)+aballaxo_u_INDF
haMcano haMcu(V23)+ano_u_INDF
haMcalYo haMcu(V23)+alYo_u_INDF
haMcaxo haMcu(V23)+axo_u_INDF
haMcaro haMcu(V23)+aro_u_INDF
haMcavo haMcu(V23)+avo_u_INDF
haMcalArano haMcu(V23)+alArano_u_INDF
haMcalAralYo haMcu(V23)+alAralYo_u_INDF
haMcalAraxo haMcu(V23)+alAraxo_u_INDF
haMcalAraro haMcu(V23)+alAraro_u_INDF
haMcalAravo haMcu(V23)+alAravo_u_INDF
haMcaballano haMcu(V23)+aballano_u_INDF
haMcaballalYo haMcu(V23)+aballalYo_u_INDF
haMcaballaxo haMcu(V23)+aballaxo_u_INDF
haMcaballaro haMcu(V23)+aballaro_u_INDF
haMcaballavo haMcu(V23)+aballavo_u_INDF
haMcalpattiwo haMcu(V23)+alpattiwo_u_INDF
haMcalpattavo haMcu(V23)+alpattavo_u_INDF
haMcalpaduwwaxo haMcu(V23)+alpaduwwaxo_u_INDF
haMcalpaduwwaveyo haMcu(V23)+alpaduwwaveyo_u_INDF
haMcalpaduvuxo haMcu(V23)+alpaduvuxo_u_INDF
haMcalpaduvuvo haMcu(V23)+alpaduvuvo_u_INDF
haMcalpadaxo haMcu(V23)+alpadaxo_u_INDF
haMcalpadavo haMcu(V23)+alpadavo_u_INDF
haMcalpadabeko haMcu(V23)+alpadabeko_u_INDF
haMcalpadaballxo haMcu(V23)+alpadaballaxo_u_INDF
haMcalpadakUdaxo haMcu(V23)+alpadakUdaxo_u_INDF
haMcalpadalo haMcu(V23)+alpadalo_u_INDF
haMcalpadahaMcaxo haMcu(V23)+alpadahaMcaxo_u_INDF
haMcalpadabahuxo haMcu(V23)+alpadabahuxo_u_INDF
haMcalpadalebeko haMcu(V23)+alpadalebeko_u_INDF
haMcalpadalAraxo haMcu(V23)+alpadalAraxo_u_INDF
haMcalpadalAravo haMcu(V23)+alpadalAravo_u_INDF
haMcalpadaxanxo haMcu(V23)+alpadaxanxo_u_INDF
haMcalpadaxeVyo haMcu(V23)+alpadaxeVyo_u_INDF
haMcalpatto haMcu(V23)+alpatto_u_INDF
haMcalpadalo haMcu(V23)+alpadalo_u_INDF
haMcalpadalikko haMcu(V23)+alpadalikko_u_INDF
haMcalpattaro haMcu(V23)+alpattaro_u_INDF
haMcalpattalliyo haMcu(V23)+alpattalliyo_u_INDF
haMcuvuxe haMcu(V23)+vuxe_#_IMP
haMcuvuxakkeVye haMcu(V23)+vuxakkeVye_#_IMP
haMcale haMcu(V23)+ale_u_IMPH
haMcalikke haMcu(V23)+alikke_u_IMP
haMcalikkye haMcu(V23)+alikkye_u_IMP
haMcuwwale haMcu(V23)+uwwale_u_IMP
haMcuwwe haMcu(V23)+wwe_#_IMP
haMcalpaduvuxe haMcu(V23)+alpaduvuxe_u_IMP
haMcalpaduvuwwakkeye haMcu(V23)+alpaduvuwwakkeye_u_IMP
haMcalpatte haMcu(V23)+alpatte_u_IMP
haMcalpaduwwale haMcu(V23)+alpaduwwale_u_IMP
haMcuvuxU haMcu(V23)+vuxU_#_INCL
haMcixarU haMcu(V23)+ixarU_u_INCL
haMcalU haMcu(V23)+alU_u_INCL
haMcalikkyU haMcu(V23)+alikkyU_u_INCL
haMcalikkU haMcu(V23)+alikkU_u_INCL
haMcanU haMcu(V23)+anU_u_INCL
haMcalYU haMcu(V23)+alYU_u_INCL
haMcaxU haMcu(V23)+axU_u_INCL
haMcarU haMcu(V23)+arU_u_INCL
haMcavU haMcu(V23)+avU_u_INCL
haMcixarU haMcu(V23)+ixarU_u_INCL
haMcuwwalU haMcu(V23)+uwwalU_u_INCL
haMcixalliyU haMcu(V23)+ixalliyU_u_INCL
haMcalpadaxanlU haMcu(V23)+alpadaxanlU_u_INCL
haMcalpadaxanveVyU haMcu(V23)+alpadaxanveVyU_u_INCL
haMcalpaduvuxU haMcu(V23)+alpaduvuxU_u_INCL
haMcalpaduvuvU haMcu(V23)+alpaduvuvU_u_INCL
haMcalpattarU haMcu(V23)+alpattarU_u_INCL
haMcalpaduwwalU haMcu(V23)+alpaduwwalU_u_INCL
haMcalpadalU haMcu(V23)+alpadalU_u_INCL
haMcalpadalikkeyU haMcu(V23)+alpadalikkeyU_u_INCL
haMcalpattalliyU haMcu(V23)+alpattalliyU_u_INCL
haMcuvuxannu haMcu(V23)+vuxannu_#_ACC
haMcuvuxariMxa haMcu(V23)+vuxariMxa_#_INS
haMcuvuxakkeV haMcu(V23)+vuxakkeV_#_DAT
haMcuvuxariMxa haMcu(V23)+vuxariMxa_#_ABL
haMcuvuxara haMcu(V23)+vuxara_#_GEN
haMcuvuxaralli haMcu(V23)+vuxaralli_#_LOC
haMcuvuxakkoskara haMcu(V23)+vuxu_#_DAT+xakkoskara_xu_BEN
