appixanu appu(V24)+ixa_u_PAST+anu_a_3SM   
appuwwiruvavaru appu(V24)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avaru_a_3P
appuwwiruvuxu appu(V24)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uxu_a_3SN
appuwwiruvuvu appu(V24)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uvu_a_3PN
appuwwiruva appu(V24)+uwwa_u_AUX+wwiru_wwa_RP+va_#_FUTPROG
appuwwiruvavanu appu(V24)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM 
appuwwiruvavalYu appu(V24)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avalYu_a_3FM 
appuwwiruvavaru appu(V24)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avaru_a_3P 
appuwwixxu appu(V24)+uwwa_u_AUX+wwixxu_wwa_PRESPROG
appuwwixxavu appu(V24)+uwwa_u_AUX+wwiru_wwa_RP+xxa_ru_PRP+avu_a_3PN
appaliruvavanu appu(V24)+alu_u_AUX+liru_lu_RP+va_#_PRP+avanu_a_3SM
appaliruvavalYu appu(V24)+alu_u_AUX+liru_lu_RP+va_#_PRP+avalYu_a_3FM
appaliruvavaru appu(V24)+alu_u_AUX+liru_lu_RP+va_#_PRP+avaru_a_3P
appaliruvanu appu(V24)+alu_u_AUX+liruvanu_lu_3SM
appaliruvalYu appu(V24)+alu_u_AUX+liruvalYu_lu_3SF
appaliruvaru appu(V24)+alu_u_AUX+liruvaru_lu_3P
appaliruvaxu appu(V24)+alu_u_AUX+liruvaxu_lu_3SN
appaliruvavu appu(V24)+alu_u_AUX+liruvavu_lu_3PN
appaballavanu appu(V24)+a_u_AVY+ballavanu_#_3SM
appaballavalYu appu(V24)+a_u_#_AVY+ballavalYu_#_3SF
appaballavaru appu(V24)+a_u_AVY+ballavaru_#_3P
appaballaxu appu(V24)+a_u_AVY+ballaxu_#_3SN
appaballavu appu(V24)+a_u_AVY+ballavu_#_3PN
appuwwixxAneV appu(V24)+uwwa_u_AUX+wwixxAneV_wwa_3SM
appuwwixxAlYeV appu(V24)+uwwa_u_AUX+wwixxAlYeV_wwa_3FM
appuwwixxAreV appu(V24)+uwwa_u_AUX+wwixxAreV_wwa_3P
appuwwixeV appu(V24)+uwwa_u_AUX+wwixeV_wwa_3SN
appuwwiveV appu(V24)+uwwa_u_AUX+wwiveV_wwa_3PN
appalpattanu appu(V24)+alpadu_u_PAST+pattanu_padu_3SM
appalpattalYu appu(V24)+alpadu_u_PAST+pattalYu_padu_3SF
appalpattiwu appu(V24)+alpadu_u_PAST+pattiwu_padu_3P
appalpattaru appu(V24)+alpadu_u_PAST+pattaru_padu_3SH
appalpattiwu appu(V24)+alpadu_u_PAST+pattiwu_padu_3SN
appalpattavu appu(V24)+alpadu_u_PAST+pattavu_padu_3PN
appalpaduwwaxeV appu(V24)+alpadu_u_FUT+duwwaxeV_du_3SN
appalpaduwwaveV appu(V24)+alpadu_u_FUT+duwwaveV_du_3PN
appalpaduvuxu appu(V24)+alpadu_u_FUT+vuxu_#_3SN
appalpaduvuvu appu(V24)+alpadu_u_FUT+vuvu_#_3PN
appalpadanu appu(V24)+alpadu_u_FUTNEG+danu_du_3SM
appalpadalYu appu(V24)+alpadu_u_FUTNEG+dalYu_du_3SF
appalpadaru appu(V24)+alpadu_u_FUTNEG+daru_du_3P
appalpadaru appu(V24)+alpadu_u_FUTNEG+daru_du_3SH
appalpadaxu appu(V24)+alpadu_u_FUTNEG+daxu_du_3SN
appalpadavu appu(V24)+alpadu_u_FUTNEG+davu_du_3PN

appalpattAnu appu(V24)+alpadu_u_FUTDUB+pattAnu_padu_3SM
appalpattAlYu appu(V24)+alpadu_u_FUTDUB+pattAlYu_padu_3SF
appalpattAru appu(V24)+alpadu_u_FUTDUB+pattAru_padu_3P
appalpattAru appu(V24)+alpadu_u_FUTDUB+pattAru_padu_3SH
appalpattIwu appu(V24)+alpadu_u_FUTDUB+ttIwu_du_3SN
appalpattAvu appu(V24)+alpadu_u_FUTDUB+pattAvu_padu_3PN

appalpadabeku appu(V24)+alpada_u_#_AVY+beku_#_FUTIMP
appalpadabAraxu appu(V24)+alpada_u_#_AVY+bAraxu_#_NEGIMPR
appalpadakUdaxu appu(V24)+alpada_u_#_AVY+kUdaxu_#_NEGIMPR
appalpadali appu(V24)+alpadu_u_FUTOPT+dali_du_3SN
appalpadali appu(V24)+alpadu_u_FUTOPT+dali_du_3PN
appalpadaballa appu(V24)+alpada_u_AVY+balla_#_FUTCAP
appalpadaballaxu appu(V24)+alpada_u_AVY+ballaxu_#_FUTCAP
appalpadaballavu appu(V24)+alpada_u_AVY+ballavu_#_FUTCAP
appalpadabahuxu appu(V24)+alpada_u_AVY+bahuxu_#_FUTPOTEN_#_3SN
appalpadabahuxu appu(V24)+alpada_u_AVY+bahuxu_#_FUTPOTEN_#_3PN
appalpadabeku appu(V24)+alpada_u_AVY+beku_#_FUTCOMP
appalpadalebeku appu(V24)+alpada_u_AVY+lebeku_#_FUTCOMP
appalpadalAraxu appu(V24)+alpadu_u_FUTNEG+alAraxu_u_3SN
appalpadalAravu appu(V24)+alpadu_u_FUTNEG+alAravu_u_3PN
appalpadalAraxa appu(V24)+alpadu_u_NEG+alAraxa_u_3SN
appalpattarU appu(V24)+alpadu_u_FUTCOND+pattarU_padu_NFV
appalpaduwwa appu(V24)+alpadu_u_PRESCONT+uwwa_u_NFV
appalpatta appu(V24)+alpadu_u_RP+patta_padu_PAST
appalpadaxeV appu(V24)+alpadu_u_NEG+axeV_u_NFV	
appalpadaxa appu(V24)+alpadu_u_NEG+axa_u_NFV
appalpattu appu(V24)+alpadu_u_PAST+pattu_padu_NFV
appalpaduva appu(V24)+alpadu_u_FUT+va_#_RP
appalpadalu appu(V24)+alpadu_u_INFN+alu_u_FUTINCH
appalpadalikkeV appu(V24)+alpadu_u_INFN+alikkeV_u_FUTINCH
appalpattareV appu(V24)+alpadu_u_FUTCOND+pattareV_padu_NFV
appalpattalli appu(V24)+alpadu_u_FUTCOND+pattalli_padu_NFV
appalpaduwwiruva appu(V24)+alpadu_u_AUX+uwwiruva_u_RP
appalpaduwwixxa appu(V24)+alpadu_u_AUX+uwwixxa_u_RP
appalpaduwwaliruva appu(V24)+alpadu_u_AUX+uwwaliruva_u_RP
appalpaduwwirabekaxa appu(V24)+alpadu_u_AUX+uwwiru_u_AVY+abekaxa_u_3SN
appixanA appu(V24)+ixanA_u_INTR
appixalYA appu(V24)+ixalYA_u_INTR
appiwA appu(V24)+iwA_u_INTR
appixarA appu(V24)+ixarA_u_INTR
appixavA appu(V24)+ixavA_u_INTR
appuwwAnA appu(V24)+uwwAnA_u_INTR
appuwwAlYA appu(V24)+uwwAlYA_u_INTR
appuwwaxA appu(V24)+uwwaxA_u_INTR
appuvanA appu(V24)+vanA_#_INTR
appuvalYA appu(V24)+valYA_#_INTR
appuvuxA appu(V24)+vuxA_#_INTR
appuvarA appu(V24)+varA_#_INTR
appuvuvA appu(V24)+vuvA_#_INTR
appuwwiyA appu(V24)+uwwiyA_u_INTR
appuwwiriyA appu(V24)+uwwiriyA_u_INTR
appuwwIrA appu(V24)+uwwIrA_u_INTR
appuviyA appu(V24)+viyA_#_INTR
appuvirA appu(V24)+virA_#_INTR
appuvuxa appu(V24)+vuxa_#_INTR
appalA appu(V24)+alA_u_INTR
appokA appu(V24)+okA_u_INTR
appabekA appu(V24)+abekA_u_INTR
appakUdaxA appu(V24)+akUdaxA_u_INTR
appaballaxa appu(V24)+aballaxa_u_INTR
appanA appu(V24)+anA_u_INTR
appalYA appu(V24)+alYA_u_INTR
appaxa appu(V24)+axa_u_INTR
apparA appu(V24)+arA_u_INTR
appavA appu(V24)+avA_u_INTR
appalAreVvA appu(V24)+alAreVvA_u_INTR
appalAreVnA appu(V24)+alAreVnA_u_INTR
appalAririyA appu(V24)+alAririyA_u_INTR
appalAranA appu(V24)+alAranA_u_INTR
appalAralYA appu(V24)+alAralYA_u_INTR
appalAraxa appu(V24)+alAraxa_u_INTR
appalArarA appu(V24)+alArarA_u_INTR
appalAravA appu(V24)+alAravA_u_INTR
appaballanA appu(V24)+aballanA_u_INTR
appaballalYA appu(V24)+aballalYA_u_INTR
appaballaxa appu(V24)+aballaxa_u_INTR
appaballarA appu(V24)+aballarA_u_INTR
appaballavA appu(V24)+aballavA_u_INTR
appabahuxa appu(V24)+abahuxa_u_INTR
appalebekA appu(V24)+alebekA_u_INTR
appalpattiwA appu(V24)+alpattiwA_u_INTR
appalpattavA appu(V24)+alpattavA_u_INTR
appalpaduwwaxa appu(V24)+alpaduwwaxa_u_INTR
appalpaduwwavA appu(V24)+alpaduwwavA_u_INTR
appalpaduvuxa appu(V24)+alpaduvuxa_u_INTR
appalpaduvuvA appu(V24)+alpaduvuvA_u_INTR
appalpadaxa appu(V24)+alpadaxa_u_INTR
appalpadavA appu(V24)+alpadavA_u_INTR
appalpadabekA appu(V24)+alpadabekA_u_INTR
appalpadabarAxA appu(V24)+alpadabarAxA_u_INTR
appalpadakUdaxA appu(V24)+alpadakUdaxA_u_INTR
appalpadabahuxdA appu(V24)+alpadabahuxdA_u_INTR
appalpadalebekA appu(V24)+alpadalebekA_u_INTR
appalpadalAraxA appu(V24)+alpadalAraxA_u_INTR
appalpadalAravA appu(V24)+alpadalAravA_u_INTR
appixane appu(V24)+ixane_u_INTR
appixalYe appu(V24)+ixalYe_u_INTR
appuwwiwe appu(V24)+wwiwe_#_INTR
appixare appu(V24)+ixare_u_INTR
appixave appu(V24)+ixave_u_INTR
appuwwAnye appu(V24)+uwwAnye_u_INTR
appuwwAlYe appu(V24)+uwwAlYe_u_INTR
appuwwaxeVye appu(V24)+uwwaxeVye_u_INTR
appuvane appu(V24)+vane_#_INTR
appuvalYe appu(V24)+valYe_#_INTR
appuvuxe appu(V24)+vuxe_#_INTR
appuvare appu(V24)+vare_#_INTR
appuvuve appu(V24)+vuve_#_INTR
appuwwiriye appu(V24)+wwiriye_#_INTR
appuwwiye appu(V24)+uwwiye_u_INTR
appuwwIre appu(V24)+uwwIre_u_INTR
appuviye appu(V24)+viye_#_INTR
appuvire appu(V24)+vire_#_INTR
appuvuxe appu(V24)+vuxe_#_INTR
appale appu(V24)+ale_u_INTR
appalikke appu(V24)+alikke_u_INTR
appabeke appu(V24)+abeke_u_INTR
appakUdaxe appu(V24)+akUdaxe_u_INTR
appaappaxe appu(V24)+aappaxe_u_INTR
appane appu(V24)+ane_u_INTR
appalYe appu(V24)+alYe_u_INTR
appaxe appu(V24)+axe_u_INTR
appare appu(V24)+are_u_INTR
appave appu(V24)+ave_u_INTR
appalAreVve appu(V24)+alAreVve_u_INTR
appalAreVne appu(V24)+alAreVne_u_INTR
appalAririye appu(V24)+alAririye_u_INTR
appalArane appu(V24)+alArane_u_INTR
appalAralYe appu(V24)+alAralYe_u_INTR
appalAraxe appu(V24)+alAraxe_u_INTR
appalArare appu(V24)+alArare_u_INTR
appalArave appu(V24)+alArave_u_INTR
appaappane appu(V24)+aappane_u_INTR
appaappalYe appu(V24)+aappalYe_u_INTR
appaappaxe appu(V24)+aappaxe_u_INTR
appaappare appu(V24)+aappare_u_INTR
appaappave appu(V24)+aappave_u_INTR
appabahuxe appu(V24)+abahuxe_u_INTR
appalebeke appu(V24)+alebeke_u_INTR
appalpattiwe appu(V24)+alpattiwe_u_INTR
appalpattave appu(V24)+alpattave_u_INTR
appalpadaxe appu(V24)+alpadaxe_u_INTR
appalpadave appu(V24)+alpadave_u_INTR
appalpaduvuxe appu(V24)+alpaduvuxe_u_INTR
appalpaduvuve appu(V24)+alpaduvuve_u_INTR
appalpadaxe appu(V24)+alpadaxe_u_INTR
appalpadave appu(V24)+alpadave_u_INTR
appalpadabeke appu(V24)+alpadabeke_u_INTR
appalpadabAraxe appu(V24)+alpadabAraxe_u_INTR
appalpadakUdaxe appu(V24)+alpadakUdaxe_u_INTR

appalpadabahuxe appu(V24)+alpadabahuxe_u_INTR
appalpadalebeke appu(V24)+alpadalebeke_u_INTR
appalpadalAraxe appu(V24)+alpadalAraxe_u_INTR
appalpadalArave appu(V24)+alpadalArave_u_INTR
appixano appu(V24)+ixano_u_INDF
appixalYo appu(V24)+ixalYo_u_INDF
appiwo appu(V24)+iwo_u_INDF
appixaro appu(V24)+ixaro_u_INDF
appixavo appu(V24)+ixavo_u_INDF
appuwwAno appu(V24)+wwAno_#_INDF
appuwwAlYo appu(V24)+wwAlYo_#_INDF
appuwwaxeVyo appu(V24)+uwwaxeVyo_u_INDF
appuvano appu(V24)+vano_#_INDF
appuvalYo appu(V24)+valYo_#_INDF
appuvuxo appu(V24)+vuxo_#_INDF
appuvaro appu(V24)+varo_#_INDF
appuvuvo appu(V24)+vuvo_#_INDF
appuvuxo appu(V24)+vuxo_#_INDF
appalo appu(V24)+alo_u_INDF
appalikko appu(V24)+alikko_u_INDF
appabeko appu(V24)+abeko_u_INDF
appakUdaxo appu(V24)+akUdaxo_u_INDF
appaballaxo appu(V24)+aballaxo_u_INDF
appano appu(V24)+ano_u_INDF
appalYo appu(V24)+alYo_u_INDF
appaxo appu(V24)+axo_u_INDF
apparo appu(V24)+aro_u_INDF
appavo appu(V24)+avo_u_INDF
appalArano appu(V24)+alArano_u_INDF
appalAralYo appu(V24)+alAralYo_u_INDF
appalAraxo appu(V24)+alAraxo_u_INDF
appalAraro appu(V24)+alAraro_u_INDF
appalAravo appu(V24)+alAravo_u_INDF
appaballano appu(V24)+aballano_u_INDF
appaballalYo appu(V24)+aballalYo_u_INDF
appaballaxo appu(V24)+aballaxo_u_INDF
appaballaro appu(V24)+aballaro_u_INDF
appaballavo appu(V24)+aballavo_u_INDF
appalpattiwo appu(V24)+alpattiwo_u_INDF
appalpattavo appu(V24)+alpattavo_u_INDF
appalpaduwwaxo appu(V24)+alpaduwwaxo_u_INDF
appalpaduwwaveyo appu(V24)+alpaduwwaveyo_u_INDF
appalpaduvuxo appu(V24)+alpaduvuxo_u_INDF
appalpaduvuvo appu(V24)+alpaduvuvo_u_INDF
appalpadaxo appu(V24)+alpadaxo_u_INDF
appalpadavo appu(V24)+alpadavo_u_INDF
appalpadabeko appu(V24)+alpadabeko_u_INDF

appalpadaballaxo appu(V24)+alpadaballaxo_u_INDF
appalpadakUdaxo appu(V24)+alpadakUdaxo_u_INDF
appalpadalo appu(V24)+alpadalo_u_INDF
appalpadaappaxo appu(V24)+alpadaappaxo_u_INDF
appalpadabahuxo appu(V24)+alpadabahuxo_u_INDF
appalpadalebeko appu(V24)+alpadalebeko_u_INDF
appalpadalAraxo appu(V24)+alpadalAraxo_u_INDF
appalpadalAravo appu(V24)+alpadalAravo_u_INDF
appalpadaxanxo appu(V24)+alpadaxanxo_u_INDF
appalpadaxeVyo appu(V24)+alpadaxeVyo_u_INDF
appalpatto appu(V24)+alpatto_u_INDF
appalpadalo appu(V24)+alpadalo_u_INDF
appalpadalikko appu(V24)+alpadalikko_u_INDF
appalpattaro appu(V24)+alpattaro_u_INDF
appalpattalliyo appu(V24)+alpattalliyo_u_INDF
appuvuxe appu(V24)+vuxe_#_IMP
appuvuxakkeVye appu(V24)+vuxakkeVye_#_IMP
appale appu(V24)+ale_u_IMPH
appalikke appu(V24)+alikke_u_IMP
appalikkye appu(V24)+alikkye_u_IMP
appuwwale appu(V24)+uwwale_u_IMP
appuwwe appu(V24)+wwe_#_IMP
appalpaduvuxe appu(V24)+alpaduvuxe_u_IMP
appalpaduvuwwakkeye appu(V24)+alpaduvuwwakkeye_u_IMP
appalpatte appu(V24)+alpatte_u_IMP
appalpaduwwale appu(V24)+alpaduwwale_u_IMP
appuvuxU appu(V24)+vuxU_#_INCL
appixarU appu(V24)+ixarU_u_INCL
appalU appu(V24)+alU_u_INCL
appalikkyU appu(V24)+alikkyU_u_INCL
appalikkU appu(V24)+alikkU_u_INCL
appanU appu(V24)+anU_u_INCL
appalYU appu(V24)+alYU_u_INCL
appaxU appu(V24)+axU_u_INCL
apparU appu(V24)+arU_u_INCL
appavU appu(V24)+avU_u_INCL
appixarU appu(V24)+ixarU_u_INCL
appuwwalU appu(V24)+uwwalU_u_INCL
appixalliyU appu(V24)+ixalliyU_u_INCL
appalpadaxanlU appu(V24)+alpadaxanlU_u_INCL
appalpadaxanveVyU appu(V24)+alpadaxanveVyU_u_INCL
appalpaduvuxU appu(V24)+alpaduvuxU_u_INCL
appalpaduvuvU appu(V24)+alpaduvuvU_u_INCL
appalpattarU appu(V24)+alpattarU_u_INCL
appalpaduwwalU appu(V24)+alpaduwwalU_u_INCL
appalpadalU appu(V24)+alpadalU_u_INCL
appalpadalikkeyU appu(V24)+alpadalikkeyU_u_INCL
appalpattalliyU appu(V24)+alpattalliyU_u_INCL
appuvuxannu appu(V24)+vuxannu_#_ACC
appuvuxariMxa appu(V24)+vuxariMxa_#_INS
appuvuxakkeV appu(V24)+vuxakkeV_#_DAT
appuvuxariMxa appu(V24)+vuxariMxa_#_ABL
appuvuxara appu(V24)+vuxara_#_GEN
appuvuxaralli appu(V24)+vuxaralli_#_LOC
appuvuxakkoskara appu(V24)+vuxu_#_DAT+xakkoskara_xu_BEN
appuvuxakkoskara appu(V24)+vuxu_#_DAT+xakkoskara_xu_PUR
appuvuxaixagi appu(V24)+vuxu_#_DAT+xaixagi_xu_BEN
appuvuxaixagi appu(V24)+vuxu_#_DAT+xaixagi_xu_PUR
appuvuxakkosuga appu(V24)+vuxu_#_DAT+xakkosuga_xu_BEN
appuvuxakkosuga appu(V24)+vuxu_#_DAT+xakkosuga_xu_PUR
appuvuxakkiMwa appu(V24)+vuxu_#_DAT+xakkiMwa_xu_COMP
appuvaMweV appu(V24)+vaMweV_#_SIM
appuvaMwa appu(V24)+vaMwa_#_SIM
appuvaMwaha appu(V24)+vaMwaha_#_SIM
appuvuxaroVdaneV appu(V24)+vuxu_#_GEN+xaroVdaneV_xu_SOC
appuvuxaroVMxigeV appu(V24)+vuxu_#_GEN+xaroVMxigeV_xu_SOC
appuvavanannu appu(V24)+va_#_PRP+vavanu_va_ACC+nannu_nu_3SM
appuvavanannA appu(V24)+va_#_PRP+vavanu_va_ACC+nannA_nu_INTR
appuvavanannU appu(V24)+va_#_PRP+vavanu_va_ACC+nannU_nu_INCL
appuvavananno appu(V24)+va_#_PRP+vavanu_va_ACC+nanno_nu_DUB
appuvavananno appu(V24)+va_#_PRP+vavanu_va_ACC+nanno_nu_INDF
appuvavananno appu(V24)+va_#_PRP+vavanu_va_ACC+nanno_nu_PRES
appuvavananne appu(V24)+va_#_PRP+vavanu_va_ACC+nanne_nu_IMPH
appuvavananne appu(V24)+va_#_PRP+vavanu_va_ACC+nanne_nu_DECL
appuvavananne appu(V24)+va_#_PRP+vavanu_va_ACC+nanne_nu_RIS
appuvavaniMxa appu(V24)+va_#_PRP+vavanu_va_INS+niMxa_nu_3SM
appuvavaniMxalA appu(V24)+va_#_PRP+vavanu_va_INS+niMxalA_nu_INTR
appuvavaniMxalU appu(V24)+va_#_PRP+vavanu_va_INS+niMxalU_nu_INCL
appuvavaniMxalo appu(V24)+va_#_PRP+vavanu_va_INS+niMxalo_nu_DUB
appuvavaniMxalo appu(V24)+va_#_PRP+vavanu_va_INS+niMxalo_nu_INDF
appuvavaniMxalo appu(V24)+va_#_PRP+vavanu_va_INS+niMxalo_nu_PRES
appuvavaniMxale appu(V24)+va_#_PRP+vavanu_va_INS+niMxale_nu_IMPH
appuvavaniMxale appu(V24)+va_#_PRP+vavanu_va_INS+niMxale_nu_DECL
appuvavaniMxale appu(V24)+va_#_PRP+vavanu_va_INS+niMxale_nu_RIS
appuvavanigeV appu(V24)+va_#_PRP+vavanu_va_DAT+nigeV_nu_3SM
appuvavanigeVyA appu(V24)+va_#_PRP+vavanu_va_DAT+nigeVyA_nu_INTR
appuvavanigeVyU appu(V24)+va_#_PRP+vavanu_va_DAT+nigeVyU_nu_INCL
appuvavanigeVyo appu(V24)+va_#_PRP+vavanu_va_DAT+nigeVyo_nu_DUB
appuvavanigeVyo appu(V24)+va_#_PRP+vavanu_va_DAT+nigeVyo_nu_INDF
appuvavanigeVyo appu(V24)+va_#_PRP+vavanu_va_DAT+nigeVyo_nu_PRES
appuvavanigeVye appu(V24)+va_#_PRP+vavanu_va_DAT+nigeVye_nu_IMPH
appuvavanigeVye appu(V24)+va_#_PRP+vavanu_va_DAT+nigeVye_nu_DECL
appuvavanigeVye appu(V24)+va_#_PRP+vavanu_va_DAT+nigeVye_nu_RIS
