noVMxanu noyu(V17)+noVMxa_noyu_PAST+anu_a_3SM   
noyokeV noyu(V17)+okeV_u_INFN_#_INCH
noyabeku noyu(V17)+a_u_AVY+beku_#_FUT_#_IMPR
noyakUdaxu noyu(V17)+a_u_AVY+kUdaxu_#_FUT_#_NEGIMPR
noyabAraxu noyu(V17)+a_u_AVY+bAraxu_#_FUT_#_NEGIMPR
noyanu noyu(V17)+anu_u_FUTNEG_#_3SM
noyalYu noyu(V17)+alYu_u_FUTNEG_#_3SF
noyaxu noyu(V17)+axu_u_FUTNEG_#_3SN
noyaru noyu(V17)+aru_u_FUTNEG_#_3P
noyaru noyu(V17)+aru_u_FUTNEG_#_3SH
noyavu noyu(V17)+avu_u_FUTNEG_#_3PN
noyalAreV noyu(V17)+alu_u_FUTNEG+AreV_u_1S
noyalAreVvu noyu(V17)+alu_u_FUTNEG+AreVvu_u_1P
noyalAreVnu noyu(V17)+alu_u_FUTNEG+AreVnu_u_2S
noyalAriri noyu(V17)+alu_u_FUTNEG+Ariri_u_2P
noyalAriri noyu(V17)+alu_u_FUTNEG+Ariri_u_2SH
noyalAranu noyu(V17)+alu_u_FUTNEG+Aranu_u_3SM
noyalAralYu noyu(V17)+alu_u_FUTNEG+AralYu_u_3SF
noyalAraxu noyu(V17)+alu_u_FUTNEG+Araxu_u_3SN
noyalAraru noyu(V17)+alu_u_FUTNEG+Araru_u_3P
noyalAraru noyu(V17)+alu_u_FUTNEG+Araru_u_3SH
noyalAravu noyu(V17)+alu_u_FUTNEG+Aravu_u_3PN
noyalArxa noyu(V17)+alu_u_NEG+Arxa_u_3
noyaxa noyu(V17)+axa_u_NFV_#_NEG
noyaxeV noyu(V17)+axeV_u_NFV_#_NEG
noVMxarU noyu(V17)+noVMxarU_noyu_NFV_#_CONS
noyuwwA noyu(V17)+uwwa_u_NFV+A_a_PRESCONT
noVMxu noyu(V17)+noVMxu_noyu_NFV_#_PASTPERF
noyali noyu(V17)+ali_u_FUTOPT_#_3SM
noyali noyu(V17)+ali_u_FUTOPT_#_3SF
noyali noyu(V17)+ali_u_FUTOPT_#_3P
noyali noyu(V17)+ali_u_FUTOPT_#_3SH
noyali noyu(V17)+ali_u_FUTOPT_#_3SN
noyali noyu(V17)+ali_u_FUTOPT_#_3SM
noyi noyu(V17)+i_u_FUTPERM_2P
noyi noyu(V17)+i_u_FUTPERM_2SH
noVyaballa noyu(V17)+noVya_noyu_AVY+balla_#_FUTINF_#_CAP
noVyaballanu noyu(V17)+noVya_noyu_AVY+balla_#_FUTCAP+anu_a_3SM
noVyaballalYu noyu(V17)+noVya_noyu_AVY+balla_#_FUTCAP+alYu_a_3SF
noVyaballaxu noyu(V17)+noVya_noyu_AVY+balla_#_FUTCAP+axu_a_3SN
noVyaballaru noyu(V17)+noVya_noyu_AVY+balla_#_FUTCAP+aru_a_3P
noVyaballaru noyu(V17)+noVya_noyu_AVY+balla_#_FUTCAP+aru_a_3SH
noVyaballavu noyu(V17)+noVya_noyu_AVY+balla_#_FUTCAP+avu_a_3PN
noVMxAnu noyu(V17)+noVMxa_noyu_FUTDUB+Anu_a_3SM
noVMxAlYu noyu(V17)+noVMxa_noyu_FUTDUB+AlYu_a_3SF
noVMxAru noyu(V17)+noVMxa_noyu_FUTDUB+Aru_a_3P
noVMxAru noyu(V17)+noVMxa_noyu_FUTDUB+Aru_a_3SH
noVMxIwu noyu(V17)+noVMxa_noyu_FUTDUB+Iwu_a_3SN
noVMxAvu noyu(V17)+noVMxa_noyu_FUTDUB+Avu_a_3PN
noVMxenu noyu(V17)+noVMxa_noyu_FUTDUB+enu_a_1S
noVMxevu noyu(V17)+noVMxa_noyu_FUTDUB+evu_a_1P
noVMxIyeV noyu(V17)+noVMxa_noyu_FUTDUB+IyeV_a_2S
noVMxIri noyu(V17)+noVMxa_noyu_FUTDUB+Iri_a_2P
noVMxIri noyu(V17)+noVMxa_noyu_FUTDUB+Iri_a_2SH
noVMxareV noyu(V17)+noVMxa_noyu_NFV+areV_a_COND
noVMxalli noyu(V17)+noVMxa_noyu_NFV+alli_a_COND
noyuvuxilla noyu(V17)+vuxu_#_AVY+illa_u_NEG
noyabahuxu noyu(V17)+a_u_AVY+bahuxu_#_FUTPOTEN
noyalebeku noyu(V17)+alu_u_COMP+e_u_AVY+beku_#_FUT
noyuvavanu noyu(V17)+va_#_PRP+avanu_a_3SM
noyuvavalYu noyu(V17)+va_#_PRP+avalYu_a_3FM
noyuvavaru noyu(V17)+va_#_PRP+avaru_a_3P
noyaxavanu noyu(V17)+axa_u_PRP+avanu_a_3SM
noyaxavalYu noyu(V17)+axa_u_PRP+avalYu_a_3FM
noyaxavaru noyu(V17)+axa_u_PRP+avaru_a_3P
noVMxavanu noyu(V17)+noVMxa_noyu_PRP+avanu_a_3SM 
noVMxavalYu noyu(V17)+noVMxa_noyu_PRP+avalYu_a_3FM 
noVMxavaru noyu(V17)+noVMxa_noyu_PRP+avaru_a_3P 
noyalAraxavanu noyu(V17)+alu_u_AVY+Araxa_u_PRP+avanu_a_3SM 
noyalAraxavalYu noyu(V17)+alu_u_AVY+Araxa_u_PRP+avalYu_a_3SF
noyalAraxavaru noyu(V17)+alu_u_AVY+Araxa_u_PRP+avaru_a_3P 
noyuwwiruvavanu noyu(V17)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM
noyuwwiruvavalYu noyu(V17)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avalYu_a_3FM
noyuwwiruvavaru noyu(V17)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avaru_a_3P
noyuwwiruvuxu noyu(V17)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uxu_a_3SN
noyuwwiruvuvu noyu(V17)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uvu_a_3PN
noyuwwiruva noyu(V17)+uwwa_u_AUX+wwiru_wwa_RP+va_#_FUTPROG
noyuwwixxavanu noyu(V17)+uwwa_u_AUX+wwiru_wwa_RP+xxa_ru_PRP+avanu_a_3SM 
noyuwwixxavalYu noyu(V17)+uwwa_u_AUX+wwiru_wwa_RP+xxa_ru_PRP+avalYu_a_3FM 
noyuwwixxavaru noyu(V17)+uwwa_u_AUX+wwiru_wwa_RP+xxa_ru_PRP+avaru_a_3P 
noyuwwixxu noyu(V17)+uwwa_u_AUX+wwixxu_wwa_PRESPROG
noyuwwixxavu noyu(V17)+uwwa_u_AUX+wwiru_wwa_RP+xxa_ru_PRP+avu_a_3PN
noyaliruvavanu noyu(V17)+alu_u_AUX+liru_lu_RP+va_#_PRP+avanu_a_3SM
noyaliruvavalYu noyu(V17)+alu_u_AUX+liru_lu_RP+va_#_PRP+avalYu_a_3FM
noyaliruvavaru noyu(V17)+alu_u_AUX+liru_lu_RP+va_#_PRP+avaru_a_3P
noyaliruvanu noyu(V17)+alu_u_AUX+liruvanu_lu_3SM
noyaliruvalYu noyu(V17)+alu_u_AUX+liruvalYu_lu_3SF
noyaliruvaru noyu(V17)+alu_u_AUX+liruvaru_lu_3P
noyaliruvaxu noyu(V17)+alu_u_AUX+liruvaxu_lu_3SN
noyaliruvavu noyu(V17)+alu_u_AUX+liruvavu_lu_3PN
noyaballavanu noyu(V17)+a_u_AVY+ballavanu_#_3SM
noyaballavalYu noyu(V17)+a_u_#_AVY+ballavalYu_#_3SF
noyaballavaru noyu(V17)+a_u_AVY+ballavaru_#_3P
noyaballaxu noyu(V17)+a_u_AVY+ballaxu_#_3SN
noyaballavu noyu(V17)+a_u_AVY+ballavu_#_3PN
noyuwwixxAneV noyu(V17)+uwwa_u_AUX+wwixxAneV_wwa_3SM
noyuwwixxAlYeV noyu(V17)+uwwa_u_AUX+wwixxAlYeV_wwa_3FM
noyuwwixxAreV noyu(V17)+uwwa_u_AUX+wwixxAreV_wwa_3FM
noyuwwixeV noyu(V17)+uwwa_u_AUX+wwixeV_wwa_3SN
noyuwwiveV noyu(V17)+uwwa_u_AUX+wwiveV_wwa_3PN
noyalpattanu noyu(V17)+alpadu_u_PAST+pattanu_padu_3SM
noyalpattalYu noyu(V17)+alpadu_u_PAST+pattalYu_padu_3SF
noyalpattnoyu noyu(V17)+alpadu_u_PAST+pattnoyu_padu_3P
noyalpattaru noyu(V17)+alpadu_u_PAST+pattaru_padu_3SH
noyalpattiwu noyu(V17)+alpadu_u_PAST+pattiwu_padu_3SN
noyalpattavu noyu(V17)+alpadu_u_PAST+pattavu_padu_3PN
noyalpaduwwaxeV noyu(V17)+alpadu_u_FUT+duwwaxeV_du_3SN
noyalpaduwwaveV noyu(V17)+alpadu_u_FUT+duwwaveV_du_3PN
noyalpaduvuxu noyu(V17)+alpadu_u_FUT+vuxu_#_3SN
noyalpaduvuvu noyu(V17)+alpadu_u_FUT+vuvu_#_3PN
noyalpadanu noyu(V17)+alpadu_u_FUTNEG+danu_du_3SM
noyalpadalYu noyu(V17)+alpadu_u_FUTNEG+dalYu_du_3SF
noyalpadaru noyu(V17)+alpadu_u_FUTNEG+daru_du_3P
noyalpadaru noyu(V17)+alpadu_u_FUTNEG+daru_du_3SH
noyalpadaxu noyu(V17)+alpadu_u_FUTNEG+daxu_du_3SN
noyalpadavu noyu(V17)+alpadu_u_FUTNEG+davu_du_3PN
noyalpattAnu noyu(V17)+alpadu_u_FUTDUB+ttAnu_du_3SM
noyalpattAlYu noyu(V17)+alpadu_u_FUTDUB+ttAlYu_du_3PF
noyalpattAru noyu(V17)+alpadu_u_FUTDUB+ttAru_du_3P
noyalpattAru noyu(V17)+alpadu_u_FUTDUB+ttAru_du_3SH
noyalpattIwu noyu(V17)+alpadu_u_FUTDUB+ttIwu_du_3SN
noyalpattAvu noyu(V17)+alpadu_u_FUTDUB+ttAvu_du_3PN
noyalpadabeku noyu(V17)+alpada_u_#_AVY+beku_#_FUTIMP
noyalpadabAraxu noyu(V17)+alpada_u_#_AVY+bAraxu_#_NEGIMPR
noyalpadakUdaxu noyu(V17)+alpada_u_#_AVY+kUdaxu_#_NEGIMPR
noyalpadali noyu(V17)+alpadu_u_FUTOPT+dali_du_3SN
noyalpadali noyu(V17)+alpadu_u_FUTOPT+dali_du_3PN
noyalpadaballa noyu(V17)+alpada_u_AVY+balla_#_FUTCAP
noyalpadaballaxu noyu(V17)+alpada_u_AVY+ballaxu_#_FUTCAP
noyalpadaballavu noyu(V17)+alpada_u_AVY+ballavu_#_FUTCAP
noyalpadabahuxu noyu(V17)+alpada_u_AVY+bahuxu_#_FUTPOTEN_#_3SN
noyalpadabahuxu noyu(V17)+alpada_u_AVY+bahuxu_#_FUTPOTEN_#_3PN
noyalpadabeku noyu(V17)+alpada_u_AVY+beku_#_FUTCOMP
noyalpadalebeku noyu(V17)+alpada_u_AVY+lebeku_#_FUTCOMP
noyalpadalAraxu noyu(V17)+alpadu_u_FUTNEG+alAraxu_u_3SN
noyalpadalAravu noyu(V17)+alpadu_u_FUTNEG+alAravu_u_3PN
noyalpadalAraxa noyu(V17)+alpadu_u_NEG+alAraxa_u_3SN
noyalpattarU noyu(V17)+alpadu_u_FUTCOND+ttarU_du_NFV
noyalpaduwwa noyu(V17)+alpadu_u_PRESCONT+uwwa_u_NFV
noyalpatta noyu(V17)+alpadu_u_RP+tta_du_PAST
noyalpadaxeV noyu(V17)+alpadu_u_NEG+axeV_u_NFV	
noyalpadaxa noyu(V17)+alpadu_u_NEG+axa_u_NFV
noyalpattu noyu(V17)+alpadu_u_PAST+pattu_padu_NFV
noyalpaduva noyu(V17)+alpadu_u_FUT+va_#_RP
noyalpadalu noyu(V17)+alpadu_u_INFN+alu_u_FUTINCH
noyalpadalikkeV noyu(V17)+alpadu_u_INFN+alikkeV_u_FUTINCH
noyalpattareV noyu(V17)+alpadu_u_FUTCOND+pattareV_padu_NFV
noyalpattalli noyu(V17)+alpadu_u_FUTCOND+pattalli_padu_NFV
noyalpaduwwiruva noyu(V17)+alpadu_u_AUX+uwwiruva_u_RP
noyalpaduwwixnoVMxa noyu(V17)+alpadu_u_AUX+uwwixnoVMxa_u_RP
noyalpaduwwaliruva noyu(V17)+alpadu_u_AUX+uwwaliruva_u_RP
noyalpaduwwirabekaxa noyu(V17)+alpadu_u_AUX+uwwiru_u_AVY+abekaxa_u_3SN
noVMxanA noyu(V17)+noVMxanA_noyu_INTR
noVMxalYA noyu(V17)+noVMxalYA_noyu_INTR
noVMxiwA noyu(V17)+noVMxiwA_noyu_INTR
noVMxarA noyu(V17)+noVMxarA_noyu_INTR
noVMxavA noyu(V17)+noVMxavA_noyu_INTR
noyuwwAnA noyu(V17)+uwwAnA_u_INTR
noyuwwAlYA noyu(V17)+uwwAlYA_u_INTR
noyuwwaxA noyu(V17)+uwwaxA_u_INTR
noyuvanA noyu(V17)+vanA_#_INTR
noyuvalYA noyu(V17)+valYA_#_INTR
noyuvuxA noyu(V17)+vuxA_#_INTR
noyuvarA noyu(V17)+varA_#_INTR
noyuvuvA noyu(V17)+vuvA_#_INTR
noyuwwiyA noyu(V17)+uwwiyA_u_INTR
noyuwwiriyA noyu(V17)+uwwiriyA_u_INTR
noyuwwirA noyu(V17)+uwwirA_u_INTR
noyuviyA noyu(V17)+viyA_#_INTR
noyuvirA noyu(V17)+virA_#_INTR
noyuvuxa noyu(V17)+noyuvuxa_noyu_INTR
noyalA noyu(V17)+alA_u_INTR
noyalikkA noyu(V17)+alikkA_u_INTR
noyokA noyu(V17)+okA_u_INTR
noyabekA noyu(V17)+abekA_u_INTR
noyakUdaxA noyu(V17)+akUdaxA_u_INTR
noyabAraxA noyu(V17)+abAraxA_u_INTR
noyaxA noyu(V17)+axA_u_INTR
noyalYA noyu(V17)+alYA_u_INTR
noyaxa noyu(V17)+axa_u_INTR
noyarA noyu(V17)+arA_u_INTR
noyavA noyu(V17)+avA_u_INTR
noyalAreVvA noyu(V17)+alAreVvA_u_INTR
noyalAreVnA noyu(V17)+alAreVnA_u_INTR
noyalAririyA noyu(V17)+alAririyA_u_INTR
noyalAranA noyu(V17)+alAranA_u_INTR
noyalAralYA noyu(V17)+alAralYA_u_INTR
noyalAraxa noyu(V17)+alAraxa_u_INTR
noyalArarA noyu(V17)+alArarA_u_INTR
noyalAravA noyu(V17)+alAravA_u_INTR
noyaballanA noyu(V17)+aballanA_u_INTR
noyaballalYA noyu(V17)+aballalYA_u_INTR
noyaballaxa noyu(V17)+aballaxa_u_INTR
noyaballarA noyu(V17)+aballarA_u_INTR
noyaballavA noyu(V17)+aballavA_u_INTR
noyabahuxa noyu(V17)+abahuxa_u_INTR
noyalebekA noyu(V17)+alebekA_u_INTR
noyalpattiwA noyu(V17)+alpattiwA_u_INTR
noyalpattavA noyu(V17)+alpattavA_u_INTR
noyalpaduwwaxa noyu(V17)+alpaduwwaxa_u_INTR
noyalpaduwwavA noyu(V17)+alpaduwwavA_u_INTR
noyalpaduvunoVMxa noyu(V17)+alpaduvunoVMxa_u_INTR
noyalpaduvuvA noyu(V17)+alpaduvuvA_u_INTR
noyalpadaxa noyu(V17)+alpadaxa_u_INTR
noyalpadavA noyu(V17)+alpadavA_u_INTR
noyalpadabekA noyu(V17)+alpadabekA_u_INTR
noyalpadabArxa noyu(V17)+alpadabArxa_u_INTR
noyalpadakUdaxa noyu(V17)+alpadakUdaxa_u_INTR
noyalpadabahuxa noyu(V17)+alpadabahuxa_u_INTR
noyalpadalebekA noyu(V17)+alpadalebekA_u_INTR
noyalpadalAraxa noyu(V17)+alpadalAraxa_u_INTR
noyalpadalAravA noyu(V17)+alpadalAravA_u_INTR
noVxane noyu(V17)+noVxane_noyu_INTR
noVMxalYe noyu(V17)+noVMxalYe_noyu_INTR
noyuwwiwe noyu(V17)+wwiwe_#_INTR
noVMxare noyu(V17)+noVMxare_noyu_INTR
noVMxave noyu(V17)+noVMxave_noyu_INTR
noyuwwAnye noyu(V17)+uwwAnye_u_INTR
noyuwwAlYe noyu(V17)+uwwAlYe_u_INTR
noyuwwaxeVye noyu(V17)+uwwaxeVye_u_INTR
noyuvane noyu(V17)+vane_#_INTR
noyuvalYe noyu(V17)+valYe_#_INTR
noyuvuxe noyu(V17)+vuxe_#_INTR
noyuvare noyu(V17)+vare_#_INTR
noyuvuve noyu(V17)+vuve_#_INTR
noyuwwIriye noyu(V17)+uwwIriye_u_INTR
noyuwwiye noyu(V17)+uwwiye_u_INTR
noyuwwire noyu(V17)+uwwire_u_INTR
noyuviye noyu(V17)+uviye_u_INTR
noyuvire noyu(V17)+uvire_u_INTR
noyuvuxe noyu(V17)+uvuxe_u_INTR
noyale noyu(V17)+ale_u_INTR
noyalikke noyu(V17)+alikke_u_INTR
noyabeke noyu(V17)+abeke_u_INTR
noyakUdaxe noyu(V17)+akUdaxe_u_INTR
noyabAraxe noyu(V17)+abAraxe_u_INTR
noyane noyu(V17)+ane_u_INTR
noyalYe noyu(V17)+alYe_u_INTR
noyaxe noyu(V17)+axe_u_INTR
noyuvare noyu(V17)+vare_#_INTR
noyave noyu(V17)+ave_u_INTR
noyalAreVve noyu(V17)+alAreVve_u_INTR
noyalAreVne noyu(V17)+alAreVne_u_INTR
noyalAririye noyu(V17)+alAririye_u_INTR
noyalArane noyu(V17)+alArane_u_INTR
noyalAralYe noyu(V17)+alAralYe_u_INTR
noyalAraxe noyu(V17)+alAraxe_u_INTR
noyalArare noyu(V17)+alArare_u_INTR
noyalArave noyu(V17)+alArave_u_INTR
noyaballane noyu(V17)+aballane_u_INTR
noyaballalYe noyu(V17)+aballalYe_u_INTR
noyaballaxe noyu(V17)+aballaxe_u_INTR
noyaballare noyu(V17)+aballare_u_INTR
noyaballave noyu(V17)+aballave_u_INTR
noyabahuxe noyu(V17)+abahuxe_u_INTR
noyalebeke noyu(V17)+alebeke_u_INTR
noyalpattiwe noyu(V17)+alpattiwe_u_INTR
noyalpattave noyu(V17)+alpattave_u_INTR
noyalpadaxanxye noyu(V17)+alpadaxanxye_u_INTR
noyalpadaxanvye noyu(V17)+alpadaxanvye_u_INTR
noyalpaduvuxe noyu(V17)+alpaduvuxe_u_INTR
noyalpaduvuve noyu(V17)+alpaduvuve_u_INTR
noyalpadaxe noyu(V17)+alpadaxe_u_INTR
noyalpadave noyu(V17)+alpadave_u_INTR
noyalpadabeke noyu(V17)+alpadabeke_u_INTR
noyalpadabArxe noyu(V17)+alpadabArxe_u_INTR
noyalpadakUdaxe noyu(V17)+alpadakUdaxe_u_INTR
noyalpadaballaxe noyu(V17)+alpadaballaxe_u_INTR
noyalpadabahuxe noyu(V17)+alpadabahuxe_u_INTR
noyalpadalebeke noyu(V17)+alpadalebeke_u_INTR
noyalpadalAraxe noyu(V17)+alpadalAraxe_u_INTR
noyalpadalArave noyu(V17)+alpadalArave_u_INTR
noVMxAno noyu(V17)+noVMxAno_noyu_INDF
noVMxalYo noyu(V17)+noVMxalYo_noyu_INDF
noVMxiwo noyu(V17)+noVMxiwo_noyu_INDF
noVMxaro noyu(V17)+noVMxaro_noyu_INDF
noVMxavo noyu(V17)+noVMxavo_noyu_INDF
noyuwwAno noyu(V17)+wwAno_#_INDF
noyuwwAlYo noyu(V17)+wwAlYo_#_INDF
noyuwwaxeVyo noyu(V17)+uwwaxeVyo_u_INDF
noyuvano noyu(V17)+vano_#_INDF
noyuvalYo noyu(V17)+valYo_#_INDF
noyuvuxo noyu(V17)+vuxo_#_INDF
noyuvaro noyu(V17)+varo_#_INDF
noyuvuvo noyu(V17)+vuvo_#_INDF
noyuvuxo noyu(V17)+vuxo_#_INDF
noyalo noyu(V17)+alo_u_INDF
noyalikko noyu(V17)+alikko_u_INDF
noyabeko noyu(V17)+abeko_u_INDF
noyakUdaxo noyu(V17)+akUdaxo_u_INDF
noyabAraxo noyu(V17)+abAraxo_u_INDF
noyano noyu(V17)+ano_u_INDF
noyalYo noyu(V17)+alYo_u_INDF
noyaxo noyu(V17)+axo_u_INDF
noyaro noyu(V17)+aro_u_INDF
noyavo noyu(V17)+avo_u_INDF
noyalArano noyu(V17)+alArano_u_INDF
noyalAralYo noyu(V17)+alAralYo_u_INDF
noyalAraxo noyu(V17)+alAraxo_u_INDF
noyalAraro noyu(V17)+alAraro_u_INDF
noyalAravo noyu(V17)+alAravo_u_INDF
noyaballano noyu(V17)+aballano_u_INDF
noyaballalYo noyu(V17)+aballalYo_u_INDF
noyaballaxo noyu(V17)+aballaxo_u_INDF
noyaballaro noyu(V17)+aballaro_u_INDF
noyaballavo noyu(V17)+aballavo_u_INDF
noyalpattiwo noyu(V17)+alpattiwo_u_INDF
noyalpattavo noyu(V17)+alpattavo_u_INDF
noyalpaduwwaxo noyu(V17)+alpaduwwaxo_u_INDF
noyalpaduwwaveyo noyu(V17)+alpaduwwaveyo_u_INDF
noyalpaduvuxo noyu(V17)+alpaduvuxo_u_INDF
noyalpaduvuvo noyu(V17)+alpaduvuvo_u_INDF
noyalpadaxo noyu(V17)+alpadaxo_u_INDF
noyalpadavo noyu(V17)+alpadavo_u_INDF
noyalpadabeko noyu(V17)+alpadabeko_u_INDF
noyalpadabAraxo noyu(V17)+alpadabAraxo_u_INDF
noyalpadakUdaxo noyu(V17)+alpadakUdaxo_u_INDF
noyalpadalo noyu(V17)+alpadalo_u_INDF
noyalpadaballaxo noyu(V17)+alpadaballaxo_u_INDF
noyalpadabahuxo noyu(V17)+alpadabahuxo_u_INDF
noyalpadalebeko noyu(V17)+alpadalebeko_u_INDF
noyalpadalAraxo noyu(V17)+alpadalAraxo_u_INDF
noyalpadalAravo noyu(V17)+alpadalAravo_u_INDF
noyalpadaxanxo noyu(V17)+alpadaxanxo_u_INDF
noyalpadaxeVyo noyu(V17)+alpadaxeVyo_u_INDF
noyalpatto noyu(V17)+alpatto_u_INDF
noyalpadalo noyu(V17)+alpadalo_u_INDF
noyalpadalikko noyu(V17)+alpadalikko_u_INDF
noyalpattaro noyu(V17)+alpattaro_u_INDF
noyalpattalliyo noyu(V17)+alpattalliyo_u_INDF
noyuvuxe noyu(V17)+vuxe_#_IMP
noyuvuxakkeVye noyu(V17)+vuxakkeVye_#_IMP
noyale noyu(V17)+ale_u_IMPH
noyalikke noyu(V17)+alikke_u_IMP
noyalikkye noyu(V17)+alikkye_u_IMP
noyuwwale noyu(V17)+uwwale_u_IMP
noyuwwe noyu(V17)+wwe_#_IMP
noyalpaduvuxe noyu(V17)+alpaduvuxe_u_IMP
noyalpaduvuwwakkeye noyu(V17)+alpaduvuwwakkeye_u_IMP
noyalpatte noyu(V17)+alpatte_u_IMP
noyalpaduwwale noyu(V17)+alpaduwwale_u_IMP
noyuvuxU noyu(V17)+vuxU_#_INCL
noVMxarU noyu(V17)+noVMxarU_noyu_INCL
noyalU noyu(V17)+alU_u_INCL
noyalikkyU noyu(V17)+alikkyU_u_INCL
noyalikkU noyu(V17)+alikkU_u_INCL
noyanU noyu(V17)+anU_u_INCL
noyalYU noyu(V17)+alYU_u_INCL
noyaxU noyu(V17)+axU_u_INCL
noyarU noyu(V17)+arU_u_INCL
noyavU noyu(V17)+avU_u_INCL
noVMxarU noyu(V17)+noVMxarU_noyu_INCL
noyuwwalU noyu(V17)+uwwalU_u_INCL
noVMxalliyU noyu(V17)+noVMxalliyU_noyu_INCL
noyalpadaxanlU noyu(V17)+alpadaxanlU_u_INCL
noyalpadaxanveVyU noyu(V17)+alpadaxanveVyU_u_INCL
noyalpaduvuxU noyu(V17)+alpaduvuxU_u_INCL
noyalpaduvuvU noyu(V17)+alpaduvuvU_u_INCL
noyalpattarU noyu(V17)+alpattarU_u_INCL
noyalpaduwwalU noyu(V17)+alpaduwwalU_u_INCL
noyalpadalU noyu(V17)+alpadalU_u_INCL
noyalpadalikkeyU noyu(V17)+alpadalikkeyU_u_INCL
noyalpattalliyU noyu(V17)+alpattalliyU_u_INCL
noyuvuxannu noyu(V17)+vuxannu_#_ACC
noyuvuxariMxa noyu(V17)+vuxariMxa_#_INS
noyuvuxakkeV noyu(V17)+vuxakkeV_#_DAT
noyuvuxariMxa noyu(V17)+vuxariMxa_#_ABL
noyuvuxara noyu(V17)+vuxara_#_GEN
noyuvuxaralli noyu(V17)+vuxaralli_#_LOC
noyuvuxakkoskara noyu(V17)+vuxu_#_DAT+xakkoskara_xu_BEN
noyuvuxakkoskara noyu(V17)+vuxu_#_DAT+xakkoskara_xu_PUR
noyuvuxakkAgi noyu(V17)+vuxu_#_DAT+xakkAgi_xu_BEN
noyuvuxakkAgi noyu(V17)+vuxu_#_DAT+xakkAgi_xu_PUR
noyuvuxakkosuga noyu(V17)+vuxu_#_DAT+xakkosuga_xu_BEN
noyuvuxakkosuga noyu(V17)+vuxu_#_DAT+xakkosuga_xu_PUR
noyuvuxakkiMwa noyu(V17)+vuxu_#_DAT+xakkiMwa_xu_COMP
noyuvaMweV noyu(V17)+vaMweV_#_SIM
noyuvaMwa noyu(V17)+vaMwa_#_SIM
noyuvaMwaha noyu(V17)+vaMwaha_#_SIM
noyuvuxaroVdaneV noyu(V17)+vuxu_#_GEN+xaroVdaneV_xu_SOC
noyuvuxaroVMxigeV noyu(V17)+vuxu_#_GEN+xaroVMxigeV_xu_SOC
noyuvavanannu noyu(V17)+va_#_PRP+vavanu_va_ACC+nannu_nu_3SM
