agalixanu agalu(V26)+ixa_u_PAST+anu_a_3SM    
agalabeku agalu(V26)+a_u_AVY+beku_#_FUT_#_IMPR
agalakUdaxu agalu(V26)+a_u_AVY+kUdaxu_#_FUT_#_NEGIMPR
agalabaraxu agalu(V26)+a_u_AVY+baraxu_#_FUT_#_NEGIMPR
agalanu agalu(V26)+anu_u_FUTNEG_#_3SM
agalalYu agalu(V26)+alYu_u_FUTNEG_#_3SF
agalaxu agalu(V26)+axu_u_FUTNEG_#_3SN
agalaru agalu(V26)+aru_u_FUTNEG_#_3P
agalaru agalu(V26)+aru_u_FUTNEG_#_3SH
agalavu agalu(V26)+avu_u_FUTNEG_#_3PN
agalalAreV agalu(V26)+alu_u_FUTNEG+AreV_u_1S
agalalAreVvu agalu(V26)+alu_u_FUTNEG+AreVvu_u_1P
agalalAreVnu agalu(V26)+alu_u_FUTNEG+AreVnu_u_2S
agalalAriri agalu(V26)+alu_u_FUTNEG+Ariri_u_2P
agalalAriri agalu(V26)+alu_u_FUTNEG+Ariri_u_2SH
agalalAranu agalu(V26)+alu_u_FUTNEG+Aranu_u_3SM
agalalAralYu agalu(V26)+alu_u_FUTNEG+AralYu_u_3SF
agalalAraxu agalu(V26)+alu_u_FUTNEG+Araxu_u_3SN
agalalAraru agalu(V26)+alu_u_FUTNEG+Araru_u_3P
agalalAraru agalu(V26)+alu_u_FUTNEG+Araru_u_3SH
agalalAravu agalu(V26)+alu_u_FUTNEG+Aravu_u_3PN
agalalArxa agalu(V26)+alu_u_NEG+Arxa_u_3
agalaxa agalu(V26)+axa_u_NFV_#_NEG
agalaxeV agalu(V26)+axeV_u_NFV_#_NEG
agalixarU agalu(V26)+ixarU_u_NFV_#_CONS
agaluwwA agalu(V26)+uwwa_u_NFV+A_a_PRESCONT
agali agalu(V26)+i_u_NFV_#_PASTPERF
agalali agalu(V26)+ali_u_FUTOPT_#_3SM
agalali agalu(V26)+ali_u_FUTOPT_#_3SF
agalali agalu(V26)+ali_u_FUTOPT_#_3P
agalali agalu(V26)+ali_u_FUTOPT_#_3SH
agalali agalu(V26)+ali_u_FUTOPT_#_3SN
agalali agalu(V26)+ali_u_FUTOPT_#_3SM
agalaballa agalu(V26)+agala_agalu_AVY+balla_#_FUTINF_#_CAP
agalaballanu agalu(V26)+agala_agalu_AVY+balla_#_FUTCAP+anu_a_3SM
agalaballalYu agalu(V26)+agala_agalu_AVY+balla_#_FUTCAP+alYu_a_3SF
agalaballaxu agalu(V26)+agala_agalu_AVY+balla_#_FUTCAP+axu_a_3SN
agalaballaru agalu(V26)+agala_agalu_AVY+balla_#_FUTCAP+aru_a_3P
agalaballaru agalu(V26)+agala_agalu_AVY+balla_#_FUTCAP+aru_a_3SH
agalaballavu agalu(V26)+agala_agalu_AVY+balla_#_FUTCAP+avu_a_3PN
agaliyAnu agalu(V26)+iya_u_FUTDUB+Anu_a_3SM
agaliyAlYu agalu(V26)+iya_u_FUTDUB+AlYu_a_3SF
agaliyAru agalu(V26)+iya_u_FUTDUB+Aru_a_3P
agaliyAru agalu(V26)+iya_u_FUTDUB+Aru_a_3SH
agalIwu agalu(V26)+iya_u_FUTDUB+Iwu_iya_3SN
agaliyAvu agalu(V26)+iya_u_FUTDUB+Avu_a_3PN
agaliyenu agalu(V26)+iya_u_FUTDUB+enu_a_1S
agaliyevu agalu(V26)+iya_u_FUTDUB+evu_a_1P
agaluvIyeV agalu(V26)+iya_#_FUTDUB+vIyeV_iya_2S
agalIri agalu(V26)+iya_u_FUTDUB+Iri_iya_2P
agalIri agalu(V26)+iya_u_FUTDUB+Iri_iya_2SH
agalixareV agalu(V26)+ixa_u_NFV+areV_a_COND
agalixalli agalu(V26)+ixa_u_NFV+alli_a_COND
agaluvuxilla agalu(V26)+vuxu_#_AVY+illa_u_NEG
agalabahuxu agalu(V26)+a_u_AVY+bahuxu_#_FUTPOTEN
agalalebeku agalu(V26)+alu_u_COMP+e_u_AVY+beku_#_FUT
agaluvavanu agalu(V26)+va_#_PRP+avanu_a_3SM
agaluvavalYu agalu(V26)+va_#_PRP+avalYu_a_3FM
agaluvavaru agalu(V26)+va_#_PRP+avaru_a_3P
agalaxavanu agalu(V26)+axa_u_PRP+avanu_a_3SM
agalaxavalYu agalu(V26)+axa_u_PRP+avalYu_a_3FM
agalaxavaru agalu(V26)+axa_u_PRP+avaru_a_3P
agalixavanu agalu(V26)+ixa_u_PRP+avanu_a_3SM 
agalixavalYu agalu(V26)+ixa_u_PRP+avalYu_a_3FM 
agalixavaru agalu(V26)+ixa_u_PRP+avaru_a_3P 
agalalAraxavanu agalu(V26)+alu_u_AVY+Araxa_u_PRP+avanu_a_3SM 
agalalAraxavalYu agalu(V26)+alu_u_AVY+Araxa_u_PRP+avalYu_a_3SF
agalalAraxavaru agalu(V26)+alu_u_AVY+Araxa_u_PRP+avaru_a_3P 
agaluwwiruvavanu agalu(V26)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM
agaluwwiruvavalYu agalu(V26)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avalYu_a_3SF
agaluwwiruvavaru agalu(V26)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avaru_a_3P
agaluwwiruvuxu agalu(V26)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uxu_a_3SN
agaluwwiruvuvu agalu(V26)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uvu_a_3PN
agaluwwiruva agalu(V26)+uwwa_u_AUX+wwiru_wwa_RP+va_#_FUTPROG
agaluwwiruvavanu agalu(V26)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM 
agaluwwiruvavalYu agalu(V26)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avalYu_a_3FM 
agaluwwiruvavaru agalu(V26)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avaru_a_3P 
agaluwwixxu agalu(V26)+uwwa_u_AUX+wwixxu_wwa_PRESPROG
agaluwwixxavu agalu(V26)+uwwa_u_AUX+wwiru_wwa_RP+xxa_ru_PRP+avu_a_3PN
agalaliruvavanu agalu(V26)+alu_u_AUX+liru_lu_RP+va_#_PRP+avanu_a_3SM
agalaliruvavalYu agalu(V26)+alu_u_AUX+liru_lu_RP+va_#_PRP+avalYu_a_3FM
agalaliruvavaru agalu(V26)+alu_u_AUX+liru_lu_RP+va_#_PRP+avaru_a_3P
agalaliruvanu agalu(V26)+alu_u_AUX+liruvanu_lu_3SM
agalaliruvalYu agalu(V26)+alu_u_AUX+liruvalYu_lu_3SF
agalaliruvaru agalu(V26)+alu_u_AUX+liruvaru_lu_3P
agalaliruvaxu agalu(V26)+alu_u_AUX+liruvaxu_lu_3SN
agalaliruvavu agalu(V26)+alu_u_AUX+liruvavu_lu_3PN
agalaballavanu agalu(V26)+a_u_AVY+ballavanu_#_3SM
agalaballavalYu agalu(V26)+a_u_#_AVY+ballavalYu_#_3SF
agalaballavaru agalu(V26)+a_u_AVY+ballavaru_#_3P
agalaballaxu agalu(V26)+a_u_AVY+ballaxu_#_3SN
agalaballavu agalu(V26)+a_u_AVY+ballavu_#_3PN
agaluwwixxAneV agalu(V26)+uwwa_u_AUX+wwixxAneV_wwa_3SM
agaluwwixxAlYeV agalu(V26)+uwwa_u_AUX+wwixxAlYeV_wwa_3FM
agaluwwixxAreV agalu(V26)+uwwa_u_AUX+wwixxAreV_wwa_3P
agaluwwixeV agalu(V26)+uwwa_u_AUX+wwixeV_wwa_3SN
agaluwwiveV agalu(V26)+uwwa_u_AUX+wwiveV_wwa_3PN
agalalpattanu agalu(V26)+alpadu_u_PAST+pattanu_padu_3SM
agalalpattalYu agalu(V26)+alpadu_u_PAST+pattalYu_padu_3SF
agalalpattiwu agalu(V26)+alpadu_u_PAST+pattiwu_padu_3P
agalalpattaru agalu(V26)+alpadu_u_PAST+pattaru_padu_3SH
agalalpattiwu agalu(V26)+alpadu_u_PAST+pattiwu_padu_3SN
agalalpattavu agalu(V26)+alpadu_u_PAST+pattavu_padu_3PN
agalalpaduwwaxeV agalu(V26)+alpadu_u_FUT+duwwaxeV_du_3SN
agalalpaduwwaveV agalu(V26)+alpadu_u_FUT+duwwaveV_du_3PN
agalalpaduvuxu agalu(V26)+alpadu_u_FUT+vuxu_#_3SN
agalalpaduvuvu agalu(V26)+alpadu_u_FUT+vuvu_#_3PN
agalalpadanu agalu(V26)+alpadu_u_FUTNEG+danu_du_3SM
agalalpadalYu agalu(V26)+alpadu_u_FUTNEG+dalYu_du_3SF
agalalpadaru agalu(V26)+alpadu_u_FUTNEG+daru_du_3P
agalalpadaru agalu(V26)+alpadu_u_FUTNEG+daru_du_3SH
agalalpadaxu agalu(V26)+alpadu_u_FUTNEG+daxu_du_3SN
agalalpadavu agalu(V26)+alpadu_u_FUTNEG+davu_du_3PN

agalalpattAnu agalu(V26)+alpadu_u_FUTDUB+pattAnu_padu_3SM
agalalpattAlYu agalu(V26)+alpadu_u_FUTDUB+pattAlYu_padu_3SF
agalalpattAru agalu(V26)+alpadu_u_FUTDUB+pattAru_padu_3P
agalalpattAru agalu(V26)+alpadu_u_FUTDUB+pattAru_padu_3SH
agalalpattIwu agalu(V26)+alpadu_u_FUTDUB+ttIwu_du_3SN
agalalpattAvu agalu(V26)+alpadu_u_FUTDUB+pattAvu_padu_3PN

agalalpadabeku agalu(V26)+alpada_u_#_AVY+beku_#_FUTIMP
agalalpadabAraxu agalu(V26)+alpada_u_#_AVY+bAraxu_#_NEGIMPR
agalalpadakUdaxu agalu(V26)+alpada_u_#_AVY+kUdaxu_#_NEGIMPR
agalalpadali agalu(V26)+alpadu_u_FUTOPT+dali_du_3SN
agalalpadali agalu(V26)+alpadu_u_FUTOPT+dali_du_3PN
agalalpadaballa agalu(V26)+alpada_u_AVY+balla_#_FUTCAP
agalalpadaballaxu agalu(V26)+alpada_u_AVY+ballaxu_#_FUTCAP
agalalpadaballavu agalu(V26)+alpada_u_AVY+ballavu_#_FUTCAP
agalalpadabahuxu agalu(V26)+alpada_u_AVY+bahuxu_#_FUTPOTEN_#_3SN
agalalpadabahuxu agalu(V26)+alpada_u_AVY+bahuxu_#_FUTPOTEN_#_3PN
agalalpadabeku agalu(V26)+alpada_u_AVY+beku_#_FUTCOMP
agalalpadalebeku agalu(V26)+alpada_u_AVY+lebeku_#_FUTCOMP
agalalpadalAraxu agalu(V26)+alpadu_u_FUTNEG+alAraxu_u_3SN
agalalpadalAravu agalu(V26)+alpadu_u_FUTNEG+alAravu_u_3PN
agalalpadalAraxa agalu(V26)+alpadu_u_NEG+alAraxa_u_3SN
agalalpattarU agalu(V26)+alpadu_u_FUTCOND+pattarU_padu_NFV
agalalpaduwwa agalu(V26)+alpadu_u_PRESCONT+uwwa_u_NFV
agalalpatta agalu(V26)+alpadu_u_RP+patta_padu_PAST
agalalpadaxeV agalu(V26)+alpadu_u_NEG+axeV_u_NFV	
agalalpadaxa agalu(V26)+alpadu_u_NEG+axa_u_NFV
agalalpattu agalu(V26)+alpadu_u_PAST+pattu_padu_NFV
agalalpaduva agalu(V26)+alpadu_u_FUT+va_#_RP
agalalpadalu agalu(V26)+alpadu_u_INFN+alu_u_FUTINCH
agalalpadalikkeV agalu(V26)+alpadu_u_INFN+alikkeV_u_FUTINCH
agalalpattareV agalu(V26)+alpadu_u_FUTCOND+pattareV_padu_NFV
agalalpattalli agalu(V26)+alpadu_u_FUTCOND+pattalli_padu_NFV
agalalpaduwwiruva agalu(V26)+alpadu_u_AUX+uwwiruva_u_RP
agalalpaduwwixxa agalu(V26)+alpadu_u_AUX+uwwixxa_u_RP
agalalpaduwwaliruva agalu(V26)+alpadu_u_AUX+uwwaliruva_u_RP
agalalpaduwwirabekaxa agalu(V26)+alpadu_u_AUX+uwwiru_u_AVY+abekaxa_u_3SN
agalixanA agalu(V26)+ixanA_u_INTR
agalixalYA agalu(V26)+ixalYA_u_INTR
agaliwA agalu(V26)+iwA_u_INTR
agalixarA agalu(V26)+ixarA_u_INTR
agalixavA agalu(V26)+ixavA_u_INTR
agaluwwAnA agalu(V26)+uwwAnA_u_INTR
agaluwwAlYA agalu(V26)+uwwAlYA_u_INTR
agaluwwaxA agalu(V26)+uwwaxA_u_INTR
agaluvanA agalu(V26)+vanA_#_INTR
agaluvalYA agalu(V26)+valYA_#_INTR
agaluvuxA agalu(V26)+vuxA_#_INTR
agaluvarA agalu(V26)+varA_#_INTR
agaluvuvA agalu(V26)+vuvA_#_INTR
agaluwwiyA agalu(V26)+uwwiyA_u_INTR
agaluwwiriyA agalu(V26)+uwwiriyA_u_INTR
agaluwwIrA agalu(V26)+uwwIrA_u_INTR
agaluviyA agalu(V26)+viyA_#_INTR
agaluvirA agalu(V26)+virA_#_INTR
agaluvuxa agalu(V26)+vuxa_#_INTR
agalalA agalu(V26)+alA_u_INTR
agalokA agalu(V26)+okA_u_INTR
agalabekA agalu(V26)+abekA_u_INTR
agalakUdaxA agalu(V26)+akUdaxA_u_INTR
agalaballaxa agalu(V26)+aballaxa_u_INTR
agalanA agalu(V26)+anA_u_INTR
agalalYA agalu(V26)+alYA_u_INTR
agalaxa agalu(V26)+axa_u_INTR
agalarA agalu(V26)+arA_u_INTR
agalavA agalu(V26)+avA_u_INTR
agalalAreVvA agalu(V26)+alAreVvA_u_INTR
agalalAreVnA agalu(V26)+alAreVnA_u_INTR
agalalAririyA agalu(V26)+alAririyA_u_INTR
agalalAranA agalu(V26)+alAranA_u_INTR
agalalAralYA agalu(V26)+alAralYA_u_INTR
agalalAraxa agalu(V26)+alAraxa_u_INTR
agalalArarA agalu(V26)+alArarA_u_INTR
agalalAravA agalu(V26)+alAravA_u_INTR
agalaballanA agalu(V26)+aballanA_u_INTR
agalaballalYA agalu(V26)+aballalYA_u_INTR
agalaballaxa agalu(V26)+aballaxa_u_INTR
agalaballarA agalu(V26)+aballarA_u_INTR
agalaballavA agalu(V26)+aballavA_u_INTR
agalabahuxa agalu(V26)+abahuxa_u_INTR
agalalebekA agalu(V26)+alebekA_u_INTR
agalalpattiwA agalu(V26)+alpattiwA_u_INTR
agalalpattavA agalu(V26)+alpattavA_u_INTR
agalalpaduwwaxa agalu(V26)+alpaduwwaxa_u_INTR
agalalpaduwwavA agalu(V26)+alpaduwwavA_u_INTR
agalalpaduvuxa agalu(V26)+alpaduvuxa_u_INTR
agalalpaduvuvA agalu(V26)+alpaduvuvA_u_INTR
agalalpadaxa agalu(V26)+alpadaxa_u_INTR
agalalpadavA agalu(V26)+alpadavA_u_INTR
agalalpadabekA agalu(V26)+alpadabekA_u_INTR
agalalpadabarAxA agalu(V26)+alpadabarAxA_u_INTR
agalalpadakUdaxA agalu(V26)+alpadakUdaxA_u_INTR
agalalpadabahuxdA agalu(V26)+alpadabahuxdA_u_INTR
agalalpadalebekA agalu(V26)+alpadalebekA_u_INTR
agalalpadalAraxA agalu(V26)+alpadalAraxA_u_INTR
agalalpadalAravA agalu(V26)+alpadalAravA_u_INTR
agalixane agalu(V26)+ixane_u_INTR
agalixalYe agalu(V26)+ixalYe_u_INTR
agaluwwiwe agalu(V26)+wwiwe_#_INTR
agalixare agalu(V26)+ixare_u_INTR
agalixave agalu(V26)+ixave_u_INTR
agaluwwAnye agalu(V26)+uwwAnye_u_INTR
agaluwwAlYe agalu(V26)+uwwAlYe_u_INTR
agaluwwaxeVye agalu(V26)+uwwaxeVye_u_INTR
agaluvane agalu(V26)+vane_#_INTR
agaluvalYe agalu(V26)+valYe_#_INTR
agaluvuxe agalu(V26)+vuxe_#_INTR
agaluvare agalu(V26)+vare_#_INTR
agaluvuve agalu(V26)+vuve_#_INTR
agaluwwiriye agalu(V26)+wwiriye_#_INTR
agaluwwiye agalu(V26)+uwwiye_u_INTR
agaluwwIre agalu(V26)+uwwIre_u_INTR
agaluviye agalu(V26)+viye_#_INTR
agaluvire agalu(V26)+vire_#_INTR
agaluvuxe agalu(V26)+vuxe_#_INTR
agalale agalu(V26)+ale_u_INTR
agalalikke agalu(V26)+alikke_u_INTR
agalabeke agalu(V26)+abeke_u_INTR
agalakUdaxe agalu(V26)+akUdaxe_u_INTR
agalaagalaxe agalu(V26)+aagalaxe_u_INTR
agalane agalu(V26)+ane_u_INTR
agalalYe agalu(V26)+alYe_u_INTR
agalaxe agalu(V26)+axe_u_INTR
agalare agalu(V26)+are_u_INTR
agalave agalu(V26)+ave_u_INTR
agalalAreVve agalu(V26)+alAreVve_u_INTR
agalalAreVne agalu(V26)+alAreVne_u_INTR
agalalAririye agalu(V26)+alAririye_u_INTR
agalalArane agalu(V26)+alArane_u_INTR
agalalAralYe agalu(V26)+alAralYe_u_INTR
agalalAraxe agalu(V26)+alAraxe_u_INTR
agalalArare agalu(V26)+alArare_u_INTR
agalalArave agalu(V26)+alArave_u_INTR
agalaagalane agalu(V26)+aagalane_u_INTR
agalaagalalYe agalu(V26)+aagalalYe_u_INTR
agalaagalaxe agalu(V26)+aagalaxe_u_INTR
agalaagalare agalu(V26)+aagalare_u_INTR
agalaagalave agalu(V26)+aagalave_u_INTR
agalabahuxe agalu(V26)+abahuxe_u_INTR
agalalebeke agalu(V26)+alebeke_u_INTR
agalalpattiwe agalu(V26)+alpattiwe_u_INTR
agalalpattave agalu(V26)+alpattave_u_INTR
agalalpadaxe agalu(V26)+alpadaxe_u_INTR
agalalpadave agalu(V26)+alpadave_u_INTR
agalalpaduvuxe agalu(V26)+alpaduvuxe_u_INTR
agalalpaduvuve agalu(V26)+alpaduvuve_u_INTR
agalalpadaxe agalu(V26)+alpadaxe_u_INTR
agalalpadave agalu(V26)+alpadave_u_INTR
agalalpadabeke agalu(V26)+alpadabeke_u_INTR
agalalpadabAraxe agalu(V26)+alpadabAraxe_u_INTR
agalalpadakUdaxe agalu(V26)+alpadakUdaxe_u_INTR

agalalpadabahuxe agalu(V26)+alpadabahuxe_u_INTR
agalalpadalebeke agalu(V26)+alpadalebeke_u_INTR
agalalpadalAraxe agalu(V26)+alpadalAraxe_u_INTR
agalalpadalArave agalu(V26)+alpadalArave_u_INTR
agalixano agalu(V26)+ixano_u_INDF
agalixalYo agalu(V26)+ixalYo_u_INDF
agaliwo agalu(V26)+iwo_u_INDF
agalixaro agalu(V26)+ixaro_u_INDF
agalixavo agalu(V26)+ixavo_u_INDF
agaluwwAno agalu(V26)+wwAno_#_INDF
agaluwwAlYo agalu(V26)+wwAlYo_#_INDF
agaluwwaxeVyo agalu(V26)+uwwaxeVyo_u_INDF
agaluvano agalu(V26)+vano_#_INDF
agaluvalYo agalu(V26)+valYo_#_INDF
agaluvuxo agalu(V26)+vuxo_#_INDF
agaluvaro agalu(V26)+varo_#_INDF
agaluvuvo agalu(V26)+vuvo_#_INDF
agaluvuxo agalu(V26)+vuxo_#_INDF
agalalo agalu(V26)+alo_u_INDF
agalalikko agalu(V26)+alikko_u_INDF
agalabeko agalu(V26)+abeko_u_INDF
agalakUdaxo agalu(V26)+akUdaxo_u_INDF
agalaballaxo agalu(V26)+aballaxo_u_INDF
agalano agalu(V26)+ano_u_INDF
agalalYo agalu(V26)+alYo_u_INDF
agalaxo agalu(V26)+axo_u_INDF
agalaro agalu(V26)+aro_u_INDF
agalavo agalu(V26)+avo_u_INDF
agalalArano agalu(V26)+alArano_u_INDF
agalalAralYo agalu(V26)+alAralYo_u_INDF
agalalAraxo agalu(V26)+alAraxo_u_INDF
agalalAraro agalu(V26)+alAraro_u_INDF
agalalAravo agalu(V26)+alAravo_u_INDF
agalaballano agalu(V26)+aballano_u_INDF
agalaballalYo agalu(V26)+aballalYo_u_INDF
agalaballaxo agalu(V26)+aballaxo_u_INDF
agalaballaro agalu(V26)+aballaro_u_INDF
agalaballavo agalu(V26)+aballavo_u_INDF
agalalpattiwo agalu(V26)+alpattiwo_u_INDF
agalalpattavo agalu(V26)+alpattavo_u_INDF
agalalpaduwwaxo agalu(V26)+alpaduwwaxo_u_INDF
agalalpaduwwaveyo agalu(V26)+alpaduwwaveyo_u_INDF
agalalpaduvuxo agalu(V26)+alpaduvuxo_u_INDF
agalalpaduvuvo agalu(V26)+alpaduvuvo_u_INDF
agalalpadaxo agalu(V26)+alpadaxo_u_INDF
agalalpadavo agalu(V26)+alpadavo_u_INDF
agalalpadabeko agalu(V26)+alpadabeko_u_INDF

agalalpadaballaxo agalu(V26)+alpadaballaxo_u_INDF
agalalpadakUdaxo agalu(V26)+alpadakUdaxo_u_INDF
agalalpadalo agalu(V26)+alpadalo_u_INDF
agalalpadaagalaxo agalu(V26)+alpadaagalaxo_u_INDF
agalalpadabahuxo agalu(V26)+alpadabahuxo_u_INDF
agalalpadalebeko agalu(V26)+alpadalebeko_u_INDF
agalalpadalAraxo agalu(V26)+alpadalAraxo_u_INDF
agalalpadalAravo agalu(V26)+alpadalAravo_u_INDF
agalalpadaxanxo agalu(V26)+alpadaxanxo_u_INDF
agalalpadaxeVyo agalu(V26)+alpadaxeVyo_u_INDF
agalalpatto agalu(V26)+alpatto_u_INDF
agalalpadalo agalu(V26)+alpadalo_u_INDF
agalalpadalikko agalu(V26)+alpadalikko_u_INDF
agalalpattaro agalu(V26)+alpattaro_u_INDF
agalalpattalliyo agalu(V26)+alpattalliyo_u_INDF
agaluvuxe agalu(V26)+vuxe_#_IMP
agaluvuxakkeVye agalu(V26)+vuxakkeVye_#_IMP
agalale agalu(V26)+ale_u_IMPH
agalalikke agalu(V26)+alikke_u_IMP
agalalikkye agalu(V26)+alikkye_u_IMP
agaluwwale agalu(V26)+uwwale_u_IMP
agaluwwe agalu(V26)+wwe_#_IMP
agalalpaduvuxe agalu(V26)+alpaduvuxe_u_IMP
agalalpaduvuwwakkeye agalu(V26)+alpaduvuwwakkeye_u_IMP
agalalpatte agalu(V26)+alpatte_u_IMP
agalalpaduwwale agalu(V26)+alpaduwwale_u_IMP
agaluvuxU agalu(V26)+vuxU_#_INCL
agalixarU agalu(V26)+ixarU_u_INCL
agalalU agalu(V26)+alU_u_INCL
agalalikkyU agalu(V26)+alikkyU_u_INCL
agalalikkU agalu(V26)+alikkU_u_INCL
agalanU agalu(V26)+anU_u_INCL
agalalYU agalu(V26)+alYU_u_INCL
agalaxU agalu(V26)+axU_u_INCL
agalarU agalu(V26)+arU_u_INCL
agalavU agalu(V26)+avU_u_INCL
agalixarU agalu(V26)+ixarU_u_INCL
agaluwwalU agalu(V26)+uwwalU_u_INCL
agalixalliyU agalu(V26)+ixalliyU_u_INCL
agalalpadaxanlU agalu(V26)+alpadaxanlU_u_INCL
agalalpadaxanveVyU agalu(V26)+alpadaxanveVyU_u_INCL
agalalpaduvuxU agalu(V26)+alpaduvuxU_u_INCL
agalalpaduvuvU agalu(V26)+alpaduvuvU_u_INCL
agalalpattarU agalu(V26)+alpattarU_u_INCL
agalalpaduwwalU agalu(V26)+alpaduwwalU_u_INCL
agalalpadalU agalu(V26)+alpadalU_u_INCL
agalalpadalikkeyU agalu(V26)+alpadalikkeyU_u_INCL
agalalpattalliyU agalu(V26)+alpattalliyU_u_INCL
agaluvuxannu agalu(V26)+vuxannu_#_ACC
agaluvuxariMxa agalu(V26)+vuxariMxa_#_INS
agaluvuxakkeV agalu(V26)+vuxakkeV_#_DAT
agaluvuxariMxa agalu(V26)+vuxariMxa_#_ABL
agaluvuxara agalu(V26)+vuxara_#_GEN
agaluvuxaralli agalu(V26)+vuxaralli_#_LOC
agaluvuxakkoskara agalu(V26)+vuxu_#_DAT+xakkoskara_xu_BEN
agaluvuxakkoskara agalu(V26)+vuxu_#_DAT+xakkoskara_xu_PUR
agaluvuxaixagi agalu(V26)+vuxu_#_DAT+xaixagi_xu_BEN
agaluvuxaixagi agalu(V26)+vuxu_#_DAT+xaixagi_xu_PUR
agaluvuxakkosuga agalu(V26)+vuxu_#_DAT+xakkosuga_xu_BEN
agaluvuxakkosuga agalu(V26)+vuxu_#_DAT+xakkosuga_xu_PUR
agaluvuxakkiMwa agalu(V26)+vuxu_#_DAT+xakkiMwa_xu_COMP
agaluvaMweV agalu(V26)+vaMweV_#_SIM
agaluvaMwa agalu(V26)+vaMwa_#_SIM
agaluvaMwaha agalu(V26)+vaMwaha_#_SIM
agaluvuxaroVdaneV agalu(V26)+vuxu_#_GEN+xaroVdaneV_xu_SOC
agaluvuxaroVMxigeV agalu(V26)+vuxu_#_GEN+xaroVMxigeV_xu_SOC
agaluvavanannu agalu(V26)+va_#_PRP+vavanu_va_ACC+nannu_nu_3SM
agaluvavanannA agalu(V26)+va_#_PRP+vavanu_va_ACC+nannA_nu_INTR
agaluvavanannU agalu(V26)+va_#_PRP+vavanu_va_ACC+nannU_nu_INCL
agaluvavananno agalu(V26)+va_#_PRP+vavanu_va_ACC+nanno_nu_DUB
agaluvavananno agalu(V26)+va_#_PRP+vavanu_va_ACC+nanno_nu_INDF
agaluvavananno agalu(V26)+va_#_PRP+vavanu_va_ACC+nanno_nu_PRES
agaluvavananne agalu(V26)+va_#_PRP+vavanu_va_ACC+nanne_nu_IMPH
agaluvavananne agalu(V26)+va_#_PRP+vavanu_va_ACC+nanne_nu_DECL
agaluvavananne agalu(V26)+va_#_PRP+vavanu_va_ACC+nanne_nu_RIS
