kadixanu kadi(V18)+xa_#_PAST+anu_a_3SM   
kadiyaballavu kadi(V18)+kadiya_kadi_AVY+balla_#_FUTCAP+avu_a_3PN
kadixAnu kadi(V18)+xa_#_FUTDUB+Anu_a_3SM
kadixAlYu kadi(V18)+xa_#_FUTDUB+AlYu_a_3SF
kadixAru kadi(V18)+xa_#_FUTDUB+Aru_a_3P
kadixAru kadi(V18)+xa_#_FUTDUB+Aru_a_3SH
kadixIwu kadi(V18)+xa_#_FUTDUB+Iwu_a_3SN
kadixAvu kadi(V18)+xa_#_FUTDUB+Avu_a_3PN
kadixenu kadi(V18)+xa_#_FUTDUB+enu_a_1S
kadixevu kadi(V18)+xa_#_FUTDUB+evu_a_1P
kadixIyeV kadi(V18)+xa_#_FUTDUB+IyeV_a_2S
kadixIri kadi(V18)+xa_#_FUTDUB+Iri_a_2P
kadixIri kadi(V18)+xa_#_FUTDUB+Iri_a_2SH
kadixareV kadi(V18)+xa_#_NFV+areV_a_COND
kadixalli kadi(V18)+xa_#_NFV+alli_a_COND
kadivuxilla kadi(V18)+vuxu_#_AVY+illa_u_NEG
kadiyabahuxu kadi(V18)+ya_u_AVY+bahuxu_#_FUTPOTEN
kadiyalebeku kadi(V18)+yalu_u_COMP+e_u_AVY+beku_#_FUT
kadiyuvavanu kadi(V18)+yuva_#_PRP+avanu_a_3SM
kadiyuvavalYu kadi(V18)+yuva_#_PRP+avalYu_a_3FM
kadiyuvavaru kadi(V18)+yuva_#_PRP+avaru_a_3P
kadiyaxavanu kadi(V18)+yaxa_u_PRP+avanu_a_3SM
kadiyaxavalYu kadi(V18)+yaxa_u_PRP+avalYu_a_3FM
kadiyaxavaru kadi(V18)+yaxa_u_PRP+avaru_a_3P
kadixavanu kadi(V18)+xa_#_PRP+avanu_a_3SM 
kadixavalYu kadi(V18)+xa_#_PRP+avalYu_a_3FM 
kadixavaru kadi(V18)+xa_#_PRP+avaru_a_3P 
kadiyalAraxavanu kadi(V18)+yalu_u_AVY+Araxa_u_PRP+avanu_a_3SM 
kadiyalAraxavalYu kadi(V18)+yalu_u_AVY+Araxa_u_PRP+avalYu_a_3SF
kadiyalAraxavaru kadi(V18)+yalu_u_AVY+Araxa_u_PRP+avaru_a_3P 
kadiyuwwiruvavanu kadi(V18)+yuwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM
kadiyuwwiruvavalYu kadi(V18)+yuwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avalYu_a_3FM
kadiyuwwiruvavaru kadi(V18)+yuwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avaru_a_3P
kadiyuwwiruvuxu kadi(V18)+yuwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uxu_a_3SN
kadiyuwwiruvuvu kadi(V18)+yuwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uvu_a_3PN
kadiyuwwiruva kadi(V18)+yuwwa_u_AUX+wwiru_wwa_RP+va_#_FUTPROG
kadiyuwwixxavanu kadi(V18)+yuwwa_u_AUX+wwiru_wwa_RP+xxa_ru_PRP+avanu_a_3SM 
kadiyuwwixxavalYu kadi(V18)+yuwwa_u_AUX+wwiru_wwa_RP+xxa_ru_PRP+avalYu_a_3FM 
kadiyuwwixxavaru kadi(V18)+yuwwa_u_AUX+wwiru_wwa_RP+xxa_ru_PRP+avaru_a_3P 
kadiyuwwixxu kadi(V18)+yuwwa_u_AUX+wwixxu_wwa_PRESPROG
kadiyuwwixxavu kadi(V18)+yuwwa_u_AUX+wwiru_wwa_RP+xxa_ru_PRP+avu_a_3PN
kadiyaliruvavanu kadi(V18)+yalu_u_AUX+liru_lu_RP+va_#_PRP+avanu_a_3SM
kadiyaliruvavalYu kadi(V18)+yalu_u_AUX+liru_lu_RP+va_#_PRP+avalYu_a_3FM
kadiyaliruvavaru kadi(V18)+yalu_u_AUX+liru_lu_RP+va_#_PRP+avaru_a_3P
kadiyaliruvanu kadi(V18)+yalu_u_AUX+liruvanu_lu_3SM
kadiyaliruvalYu kadi(V18)+yalu_u_AUX+liruvalYu_lu_3SF
kadiyaliruvaru kadi(V18)+yalu_u_AUX+liruvaru_lu_3P
kadiyaliruvaxu kadi(V18)+yalu_u_AUX+liruvaxu_lu_3SN
kadiyaliruvavu kadi(V18)+yalu_u_AUX+liruvavu_lu_3PN
kadiyaballavanu kadi(V18)+ya_u_AVY+ballavanu_#_3SM
kadiyaballavalYu kadi(V18)+ya_u_#_AVY+ballavalYu_#_3SF
kadiyaballavaru kadi(V18)+ya_u_AVY+ballavaru_#_3P
kadiyaballaxu kadi(V18)+ya_u_AVY+ballaxu_#_3SN
kadiyaballavu kadi(V18)+ya_u_AVY+ballavu_#_3PN
kadiyuwwixxaneV kadi(V18)+yuwwa_u_AUX+wwixxaneV_wwa_3SM
kadiyuwwixxalYeV kadi(V18)+yuwwa_u_AUX+wwixxalYeV_wwa_3FM
kadiyuwwixxareV kadi(V18)+yuwwa_u_AUX+wwixxareV_wwa_3FM
kadiyuwwixeV kadi(V18)+yuwwa_u_AUX+wwixeV_wwa_3SN
kadiyuwwiveV kadi(V18)+yuwwa_u_AUX+wwiveV_wwa_3PN
kadiyalpattanu kadi(V18)+yalpadu_u_PAST+pattanu_padu_3SM
kadiyalpattalYu kadi(V18)+yalpadu_u_PAST+pattalYu_padu_3SF
kadiyalpattkadi kadi(V18)+yalpadu_u_PAST+pattkadi_padu_3P
kadiyalpattaru kadi(V18)+yalpadu_u_PAST+pattaru_padu_3SH
kadiyalpattiwu kadi(V18)+yalpadu_u_PAST+pattiwu_padu_3SN
kadiyalpattavu kadi(V18)+yalpadu_u_PAST+pattavu_padu_3PN
kadiyalpadyuwwaxeV kadi(V18)+yalpadu_u_FUT+dyuwwaxeV_du_3SN
kadiyalpadyuwwaveV kadi(V18)+yalpadu_u_FUT+dyuwwaveV_du_3PN
kadiyalpaduvuxu kadi(V18)+yalpadu_u_FUT+vuxu_#_3SN
kadiyalpaduvuvu kadi(V18)+yalpadu_u_FUT+vuvu_#_3PN
kadiyalpadanu kadi(V18)+yalpadu_u_FUTNEG+danu_du_3SM
kadiyalpadalYu kadi(V18)+yalpadu_u_FUTNEG+dalYu_du_3SF
kadiyalpadaru kadi(V18)+yalpadu_u_FUTNEG+daru_du_3P
kadiyalpadaru kadi(V18)+yalpadu_u_FUTNEG+daru_du_3SH
kadiyalpadaxu kadi(V18)+yalpadu_u_FUTNEG+daxu_du_3SN
kadiyalpadavu kadi(V18)+yalpadu_u_FUTNEG+davu_du_3PN
kadiyalpattAnu kadi(V18)+yalpadu_u_FUTDUB+ttAnu_du_3SM
kadiyalpattAlYu kadi(V18)+yalpadu_u_FUTDUB+ttAlYu_du_3PF
kadiyalpattAru kadi(V18)+yalpadu_u_FUTDUB+ttAru_du_3P
kadiyalpattAru kadi(V18)+yalpadu_u_FUTDUB+ttAru_du_3SH
kadiyalpattIwu kadi(V18)+yalpadu_u_FUTDUB+ttIwu_du_3SN
kadiyalpattAvu kadi(V18)+yalpadu_u_FUTDUB+ttAvu_du_3PN
kadiyalpadabeku kadi(V18)+yalpada_u_#_AVY+beku_#_FUTIMP
kadiyalpadabAraxu kadi(V18)+yalpada_u_#_AVY+bAraxu_#_NEGIMPR
kadiyalpadakUdaxu kadi(V18)+yalpada_u_#_AVY+kUdaxu_#_NEGIMPR
kadiyalpadali kadi(V18)+yalpadu_u_FUTOPT+dali_du_3SN
kadiyalpadali kadi(V18)+yalpadu_u_FUTOPT+dali_du_3PN
kadiyalpadaballa kadi(V18)+yalpada_u_AVY+balla_#_FUTCAP
kadiyalpadaballaxu kadi(V18)+yalpada_u_AVY+ballaxu_#_FUTCAP
kadiyalpadaballavu kadi(V18)+yalpada_u_AVY+ballavu_#_FUTCAP
kadiyalpadabahuxu kadi(V18)+yalpada_u_AVY+bahuxu_#_FUTPOTEN_#_3SN
kadiyalpadabahuxu kadi(V18)+yalpada_u_AVY+bahuxu_#_FUTPOTEN_#_3PN
kadiyalpadabeku kadi(V18)+yalpada_u_AVY+beku_#_FUTCOMP
kadiyalpadalebeku kadi(V18)+yalpada_u_AVY+lebeku_#_FUTCOMP
kadiyalpadalAraxu kadi(V18)+yalpadu_u_FUTNEG+alAraxu_u_3SN
kadiyalpadalAravu kadi(V18)+yalpadu_u_FUTNEG+alAravu_u_3PN
kadiyalpadalAraxa kadi(V18)+yalpadu_u_NEG+alAraxa_u_3SN
kadiyalpattarU kadi(V18)+yalpadu_u_FUTCOND+ttarU_du_NFV
kadiyalpaduwwa kadi(V18)+yalpadu_u_PRESCONT+uwwa_u_NFV
kadiyalpatta kadi(V18)+yalpadu_u_RP+tta_du_PAST
kadiyalpadaxeV kadi(V18)+yalpadu_u_NEG+axeV_u_NFV	
kadiyalpadaxa kadi(V18)+yalpadu_u_NEG+axa_u_NFV
kadiyalpattu kadi(V18)+yalpadu_u_PAST+pattu_padu_NFV
kadiyalpaduva kadi(V18)+yalpadu_u_FUT+va_#_RP
kadiyalpadalu kadi(V18)+yalpadu_u_INFN+alu_u_FUTINCH
kadiyalpadalikkeV kadi(V18)+yalpadu_u_INFN+alikkeV_u_FUTINCH
kadiyalpattareV kadi(V18)+yalpadu_u_FUTCOND+pattareV_padu_NFV
kadiyalpattalli kadi(V18)+yalpadu_u_FUTCOND+pattalli_padu_NFV
kadiyalpaduwwiruva kadi(V18)+yalpadu_u_AUX+uwwiruva_u_RP
kadiyalpaduwwixxa kadi(V18)+yalpadu_u_AUX+uwwixxa_u_RP
kadiyalpadyuwwaliruva kadi(V18)+yalpadu_u_AUX+yuwwaliruva_u_RP
kadiyalpaduwwirabekaxa kadi(V18)+yalpadu_u_AUX+uwwiru_u_AVY+abekaxa_u_3SN
kadixanA kadi(V18)+xanA_#_INTR
kadixalYA kadi(V18)+xalYA_#_INTR
kadixiwA kadi(V18)+xiwA_#_INTR
kadixarA kadi(V18)+xarA_#_INTR
kadixayuvA kadi(V18)+xayuvA_#_INTR
kadiyuwwanA kadi(V18)+yuwwanA_u_INTR
kadiyuwwalYA kadi(V18)+yuwwalYA_u_INTR
kadiyuwwA kadi(V18)+yuwwA_u_INTR
kadiyuvanA kadi(V18)+yuvanA_#_INTR
kadiyuvalYA kadi(V18)+yuvalYA_#_INTR
kadivuxa kadi(V18)+vuxa_#_INTR
kadiyuvarA kadi(V18)+yuvarA_#_INTR
kadiyuvuva kadi(V18)+yuvuva_#_INTR
kadiyuwwiyA kadi(V18)+yuwwiyA_u_INTR
kadiyuwwIriyA kadi(V18)+yuwwIriyA_u_INTR
kadiyuwwIrA kadi(V18)+yuwwIrA_u_INTR
kadiyuviyA kadi(V18)+yuviyA_#_INTR
kadiyuvirA kadi(V18)+yuvirA_#_INTR
kadiyuvuxa kadi(V18)+yuvuxa_#_INTR
kadiyalA kadi(V18)+yalA_#_INTR
kadiyalikkA kadi(V18)+yalikkA_u_INTR
kadiyokA kadi(V18)+yokA_u_INTR
kadiyabekA kadi(V18)+yabekA_u_INTR
kadiyakUdaxa kadi(V18)+yakUdaxa_u_INTR
kadiyabAraxa kadi(V18)+yabAraxa_u_INTR
kadiyanA kadi(V18)+yanA_u_INTR
kadiyalYA kadi(V18)+yalYA_u_INTR
kadiyaxA kadi(V18)+yaxA_#_INTR
kadiyarA kadi(V18)+yarA_#_INTR
kadiyava kadi(V18)+yava_#_INTR
kadiyalAreVva kadi(V18)+yalAreVva_u_INTR
kadiyalAreVnA kadi(V18)+yalAreVnA_u_INTR
kadiyalAririyA kadi(V18)+yalAririyA_u_INTR
kadiyalAranA kadi(V18)+yalAranA_u_INTR
kadiyalAralYA kadi(V18)+yalAralYA_u_INTR
kadiyalAraxa kadi(V18)+yalAraxa_u_INTR
kadiyalArarA kadi(V18)+yalArarA_u_INTR
kadiyalArava kadi(V18)+yalArava_u_INTR
kadiyaballanA kadi(V18)+yaballanA_u_INTR
kadiyaballalYA kadi(V18)+yaballalYA_u_INTR
kadiyaballaxa kadi(V18)+yaballaxa_u_INTR
kadiyaballarA kadi(V18)+yaballarA_u_INTR
kadiyaballava kadi(V18)+yaballava_u_INTR
kadiyabahuxa kadi(V18)+yabahuxa_u_INTR
kadiyalebekA kadi(V18)+yalebekA_u_INTR
kadiyalpattiwA kadi(V18)+yalpattiwA_u_INTR
kadiyalpattavA kadi(V18)+yalpattavA_u_INTR
kadiyalpadyuwwaxA kadi(V18)+yalpadyuwwaxA_u_INTR
kadiyalpadyuwwavA kadi(V18)+yalpadyuwwavA_u_INTR
kadiyalpaduvuxA kadi(V18)+yalpaduvuxA_u_INTR
kadiyalpaduvuyuvA kadi(V18)+yalpaduvuyuvA_u_INTR
kadiyalpadaxA kadi(V18)+yalpadaxA_u_INTR
kadiyalpadayuvA kadi(V18)+yalpadayuvA_u_INTR
kadiyalpadabekA kadi(V18)+yalpadabekA_u_INTR
kadiyalpadabArxA kadi(V18)+yalpadabArxA_u_INTR
kadiyalpadakUdaxA kadi(V18)+yalpadakUdaxA_u_INTR
kadiyalpadabahuxA kadi(V18)+yalpadabahuxA_u_INTR
kadiyalpadalebekA kadi(V18)+yalpadalebekA_u_INTR
kadiyalpadalAraxA kadi(V18)+yalpadalAraxA_u_INTR
kadiyalpadalAravA kadi(V18)+yalpadalAravA_u_INTR
kadixane kadi(V18)+xane_#_INTR
kadixalYe kadi(V18)+xalYe_#_INTR
kadiyuwwiwe kadi(V18)+yuwwiwe_#_INTR
kadixare kadi(V18)+xare_#_INTR
kadixave kadi(V18)+xave_#_INTR
kadiyuwwanye kadi(V18)+yuwwanye_u_INTR
kadiyuwwalYe kadi(V18)+yuwwalYe_u_INTR
kadiyuwwaxeVye kadi(V18)+yuwwaxeVye_u_INTR
kadiyuvane kadi(V18)+yuvane_#_INTR
kadiyuvalYe kadi(V18)+yuvalYe_#_INTR
kadivuxe kadi(V18)+vuxe_#_INTR
kadiyuvare kadi(V18)+yuvare_#_INTR
kadivuve kadi(V18)+vuve_#_INTR
kadiyuwwiriye kadi(V18)+yuwwiriye_#_INTR
kadiyuwwiye kadi(V18)+yuwwiye_u_INTR
kadiyuwwIre kadi(V18)+yuwwIre_u_INTR
kadiyuviye kadi(V18)+yuviye_u_INTR
kadiyuvire kadi(V18)+yuvire_u_INTR
kadiyuvuxe kadi(V18)+yuvuxe_u_INTR
kadiyale kadi(V18)+yale_u_INTR
kadiyalikke kadi(V18)+yalikke_u_INTR
kadiyabeke kadi(V18)+yabeke_u_INTR
kadiyakUdaxe kadi(V18)+yakUdaxe_u_INTR
kadiyabAraxe kadi(V18)+yabAraxe_u_INTR
kadiyane kadi(V18)+yane_u_INTR
kadiyalYe kadi(V18)+yalYe_u_INTR
kadiyaxe kadi(V18)+yaxe_u_INTR
kadiyare kadi(V18)+yare_u_INTR
kadiyave kadi(V18)+yave_u_INTR
kadiyalAreVve kadi(V18)+yalAreVve_u_INTR
kadiyalAreVne kadi(V18)+yalAreVne_u_INTR
kadiyalAririye kadi(V18)+yalAririye_u_INTR
kadiyalArane kadi(V18)+yalArane_u_INTR
kadiyalAralYe kadi(V18)+yalAralYe_u_INTR
kadiyalAraxe kadi(V18)+yalAraxe_u_INTR
kadiyalArare kadi(V18)+yalArare_u_INTR
kadiyalArave kadi(V18)+yalArave_u_INTR
kadiyaballane kadi(V18)+yaballane_u_INTR
kadiyaballalYe kadi(V18)+yaballalYe_u_INTR
kadiyaballaxe kadi(V18)+yaballaxe_u_INTR
kadiyaballare kadi(V18)+yaballare_u_INTR
kadiyaballave kadi(V18)+yaballave_u_INTR
kadiyabahuxe kadi(V18)+yabahuxe_u_INTR
kadiyalebeke kadi(V18)+yalebeke_u_INTR
kadiyalpattiwe kadi(V18)+yalpattiwe_u_INTR
kadiyalpattave kadi(V18)+yalpattave_u_INTR
kadiyalpadaxanxye kadi(V18)+yalpadaxanxye_u_INTR
kadiyalpadaxanvye kadi(V18)+yalpadaxanvye_u_INTR
kadiyalpaduvuxe kadi(V18)+yalpaduvuxe_u_INTR
kadiyalpaduvuve kadi(V18)+yalpaduvuve_u_INTR
kadiyalpadaxe kadi(V18)+yalpadaxe_u_INTR
kadiyalpadave kadi(V18)+yalpadave_u_INTR
kadiyalpadabeke kadi(V18)+yalpadabeke_u_INTR
kadiyalpadabArxe kadi(V18)+yalpadabArxe_u_INTR
kadiyalpadakUdaxe kadi(V18)+yalpadakUdaxe_u_INTR
kadiyalpadaballaxe kadi(V18)+yalpadaballaxe_u_INTR
kadiyalpadabahuxe kadi(V18)+yalpadabahuxe_u_INTR
kadiyalpadalebeke kadi(V18)+yalpadalebeke_u_INTR
kadiyalpadalAraxe kadi(V18)+yalpadalAraxe_u_INTR
kadiyalpadalArave kadi(V18)+yalpadalArave_u_INTR
kadixano kadi(V18)+xano_nnu_INDF
kadixalYo kadi(V18)+xalYo_nnu_INDF
kadixiwo kadi(V18)+xiwo_nnu_INDF
kadixaro kadi(V18)+xaro_nnu_INDF
kadixavo kadi(V18)+xavo_nnu_INDF
kadiyuwwAno kadi(V18)+yuwwAno_#_INDF
kadiyuwwAlYo kadi(V18)+yuwwAlYo_#_INDF
kadiyuwwaxeVyo kadi(V18)+yuwwaxeVyo_#_INDF
kadiyuvano kadi(V18)+yuvano_#_INDF
kadiyuvalYo kadi(V18)+yuvalYo_#_INDF
kadivuxo kadi(V18)+vuxo_#_INDF
kadiyuvaro kadi(V18)+yuvaro_#_INDF
kadivuvo kadi(V18)+vuvo_#_INDF
kadivuxo kadi(V18)+vuxo_#_INDF
kadiyalo kadi(V18)+yalo_u_INDF
kadiyalikko kadi(V18)+yalikko_u_INDF
kadiyabeko kadi(V18)+yabeko_u_INDF
kadiyakUdaxo kadi(V18)+yakUdaxo_u_INDF
kadiyabAraxo kadi(V18)+yabAraxo_u_INDF
kadiyano kadi(V18)+yano_u_INDF
kadiyalYo kadi(V18)+yalYo_u_INDF
kadiyaxo kadi(V18)+yaxo_u_INDF
kadiyaro kadi(V18)+yaro_u_INDF
kadiyavo kadi(V18)+yavo_u_INDF
kadiyalArano kadi(V18)+yalArano_u_INDF
kadiyalAralYo kadi(V18)+yalAralYo_u_INDF
kadiyalAraxo kadi(V18)+yalAraxo_u_INDF
kadiyalAraro kadi(V18)+yalAraro_u_INDF
kadiyalAravo kadi(V18)+yalAravo_u_INDF
kadiyaballano kadi(V18)+yaballano_u_INDF
kadiyaballalYo kadi(V18)+yaballalYo_u_INDF
kadiyaballaxo kadi(V18)+yaballaxo_u_INDF
kadiyaballaro kadi(V18)+yaballaro_u_INDF
kadiyaballavo kadi(V18)+yaballavo_u_INDF
kadiyalpattiwo kadi(V18)+yalpattiwo_u_INDF
kadiyalpattavo kadi(V18)+yalpattavo_u_INDF
kadiyalpadyuwwaxo kadi(V18)+yalpadyuwwaxo_u_INDF
kadiyalpadyuwwaveyo kadi(V18)+yalpadyuwwaveyo_u_INDF
kadiyalpaduvuxo kadi(V18)+yalpaduvuxo_u_INDF
kadiyalpaduvuvo kadi(V18)+yalpaduvuvo_u_INDF
kadiyalpadaxo kadi(V18)+yalpadaxo_u_INDF
kadiyalpadavo kadi(V18)+yalpadavo_u_INDF
kadiyalpadabeko kadi(V18)+yalpadabeko_u_INDF
kadiyalpadabAraxo kadi(V18)+yalpadabAraxo_u_INDF
kadiyalpadakUdaxo kadi(V18)+yalpadakUdaxo_u_INDF
kadiyalpadalo kadi(V18)+yalpadalo_u_INDF
kadiyalpadaballaxo kadi(V18)+yalpadaballaxo_u_INDF
kadiyalpadabahuxo kadi(V18)+yalpadabahuxo_u_INDF
kadiyalpadalebeko kadi(V18)+yalpadalebeko_u_INDF
kadiyalpadalAraxo kadi(V18)+yalpadalAraxo_u_INDF
kadiyalpadalAravo kadi(V18)+yalpadalAravo_u_INDF
kadiyalpadaxanxo kadi(V18)+yalpadaxanxo_u_INDF
kadiyalpadaxeVyo kadi(V18)+yalpadaxeVyo_u_INDF
kadiyalpatto kadi(V18)+yalpatto_u_INDF
kadiyalpadalo kadi(V18)+yalpadalo_u_INDF
kadiyalpadalikko kadi(V18)+yalpadalikko_u_INDF
kadiyalpattaro kadi(V18)+yalpattaro_u_INDF
kadiyalpattalliyo kadi(V18)+yalpattalliyo_u_INDF
kadivuxe kadi(V18)+vuxe_#_IMP
kadivuxakkeVye kadi(V18)+vuxakkeVye_#_IMP
kadiyale kadi(V18)+yale_u_IMPH
kadiyalikke kadi(V18)+yalikke_u_IMP
kadiyalikkye kadi(V18)+yalikkye_u_IMP
kadiyuwwale kadi(V18)+yuwwale_u_IMP
kadiyuwwe kadi(V18)+yuwwe_#_IMP
kadiyalpaduvuxe kadi(V18)+yalpaduvuxe_u_IMP
kadiyalpaduwwaxeVye kadi(V18)+yalpaduwwaxeVye_u_IMP
kadiyalpatte kadi(V18)+yalpatte_u_IMP
kadiyalpadyuwwale kadi(V18)+yalpadyuwwale_u_IMP
kadivuxU kadi(V18)+vuxU_#_INCL
kadixarU kadi(V18)+xarU_nnu_INCL
kadiyalU kadi(V18)+yalU_u_INCL
kadiyalikkyU kadi(V18)+yalikkyU_u_INCL
kadiyalikkU kadi(V18)+yalikkU_u_INCL
kadiyanU kadi(V18)+yanU_u_INCL
kadiyalYU kadi(V18)+yalYU_u_INCL
kadiyaxU kadi(V18)+yaxU_u_INCL
kadiyarU kadi(V18)+yarU_u_INCL
kadiyavU kadi(V18)+yavU_u_INCL
kadixarU kadi(V18)+xarU_nnu_INCL
kadiyuwwalU kadi(V18)+yuwwalU_u_INCL
kadixalliyU kadi(V18)+xalliyU_nnu_INCL
kadiyalpadaxanlU kadi(V18)+yalpadaxanlU_u_INCL
kadiyalpadaxanveVyU kadi(V18)+yalpadaxanveVyU_u_INCL
kadiyalpaduvuxU kadi(V18)+yalpaduvuxU_u_INCL
kadiyalpaduvuvU kadi(V18)+yalpaduvuvU_u_INCL
kadiyalpattarU kadi(V18)+yalpattarU_u_INCL
kadiyalpadyuwwalU kadi(V18)+yalpadyuwwalU_u_INCL
kadiyalpadalU kadi(V18)+yalpadalU_u_INCL
kadiyalpadalikkeyU kadi(V18)+yalpadalikkeyU_u_INCL
kadiyalpattalliyU kadi(V18)+yalpattalliyU_u_INCL
