kiwwanu kIlYu(V33)+iwwa_IlYu_PAST+anu_a_3SM   
kIlYuwwIri kIlYu(V33)+wwa_#_FUT+wwIri_wwa_2P
kIlYuwwIri kIlYu(V33)+wwa_#_FUT+wwIri_wwa_2SH
kIlYuviri kIlYu(V33)+va_#_FUT+viri_va_2P
kIlYuviri kIlYu(V33)+va_#_FUT+viri_va_2SH
kIlYuva kIlYu(V33)+va_#_FUT_#_RP
kiwwa kIlYu(V33)+iwwa_IlYu_PAST_#_RP
kIlYalu kIlYu(V33)+alu_u_INFN_#_INCH
kIlYalikkeV kIlYu(V33)+alikkeV_u_INFN_#_INCH
kIlYokeV kIlYu(V33)+okeV_u_INFN_#_INCH
kIlYabeku kIlYu(V33)+a_u_AVY+beku_#_FUT_#_IMPR
kIlYakUdaxu kIlYu(V33)+a_u_AVY+kUdaxu_#_FUT_#_NEGIMPR
kIlYabAraxu kIlYu(V33)+a_u_AVY+bAraxu_#_FUT_#_NEGIMPR
kIlYanu kIlYu(V33)+anu_u_FUTNEG_#_3SM
kIlYaIlYu kIlYu(V33)+aIlYu_u_FUTNEG_#_3SF
kIlYaxu kIlYu(V33)+axu_u_FUTNEG_#_3SN
kIlYaru kIlYu(V33)+aru_u_FUTNEG_#_3P
kIlYaru kIlYu(V33)+aru_u_FUTNEG_#_3SH
kIlYavu kIlYu(V33)+avu_u_FUTNEG_#_3PN
kIlYalAreV kIlYu(V33)+alu_u_FUTNEG+AreV_u_33S
kIlYalAreVvu kIlYu(V33)+alu_u_FUTNEG+AreVvu_u_33P
kIlYalAreV kIlYu(V33)+alu_u_FUTNEG+AreV_u_2S
kIlYalAriri kIlYu(V33)+alu_u_FUTNEG+Ariri_u_2P
kIlYalAriri kIlYu(V33)+alu_u_FUTNEG+Ariri_u_2SH
kIlYalAranu kIlYu(V33)+alu_u_FUTNEG+Aranu_u_3SM
kIlYalAraIlYu kIlYu(V33)+alu_u_FUTNEG+AraIlYu_u_3SF
kIlYalAraxu kIlYu(V33)+alu_u_FUTNEG+Araxu_u_3SN
kIlYalAraru kIlYu(V33)+alu_u_FUTNEG+Araru_u_3P
kIlYalAraru kIlYu(V33)+alu_u_FUTNEG+Araru_u_3SH
kIlYalAravu kIlYu(V33)+alu_u_FUTNEG+Aravu_u_3PN
kIlYalAraxa kIlYu(V33)+alu_u_NEG+Araxa_u_3
kIlYaxa kIlYu(V33)+axa_u_NFV_#_NEG
kIlYaxeV kIlYu(V33)+axeV_u_NFV_#_NEG
kiwwarU kIlYu(V33)+kiwwarU_kIlYu_NFV_#_CONS
kIlYuwwA kIlYu(V33)+wwa_#_NFV+A_a_PRESCONT
kiwwu kIlYu(V33)+iwwu_IlYu_NFV_#_PERF
kIlYali kIlYu(V33)+ali_u_FUTOPT_#_3SM
kIlYali kIlYu(V33)+ali_u_FUTOPT_#_3SF
kIlYali kIlYu(V33)+ali_u_FUTOPT_#_3P
kIlYali kIlYu(V33)+ali_u_FUTOPT_#_3SH
kIlYali kIlYu(V33)+ali_u_FUTOPT_#_3SN
kIlYali kIlYu(V33)+ali_u_FUTOPT_#_3SM
kIlYi kIlYu(V33)+i_u_FUTPERM_2P
kIlYi kIlYu(V33)+i_u_FUTPERM_2SH
kIlYaballa kIlYu(V33)+a_u_AVY+balla_#_FUTINF_#_CAP
kIlYaballanu kIlYu(V33)+a_u_AVY+balla_#_FUTCAP+anu_a_3SM
kIlYaballaIlYu kIlYu(V33)+a_u_AVY+balla_#_FUTCAP+aIlYu_a_3SF
kIlYaballaxu kIlYu(V33)+a_u_AVY+balla_#_FUTCAP+axu_a_3SN
kIlYaballaru kIlYu(V33)+a_u_AVY+balla_#_FUTCAP+aru_a_3P
kIlYaballaru kIlYu(V33)+a_u_AVY+balla_#_FUTCAP+aru_a_3SH
kIlYaballavu kIlYu(V33)+a_u_AVY+balla_#_FUTCAP+avu_a_3PN
kiwwAnu kIlYu(V33)+iwwa_IlYu_FUTDUB+Anu_a_3SM  
kiwwAIlYu kIlYu(V33)+iwwa_IlYu_FUTDUB+AIlYu_a_3SF
kiwwAru kIlYu(V33)+iwwa_IlYu_FUTDUB+Aru_a_3P
kiwwAru kIlYu(V33)+iwwa_IlYu_FUTDUB+Aru_a_3SH
kiwwIwu kIlYu(V33)+iwwa_IlYu_FUTDUB+Iwu_a_3SN
kiwwAvu kIlYu(V33)+iwwa_IlYu_FUTDUB+Avu_a_3PN
kiwwenu kIlYu(V33)+iwwa_IlYu_FUTDUB+enu_a_33S
kiwwevu kIlYu(V33)+iwwa_IlYu_FUTDUB+evu_a_33P
kiwwIyeV kIlYu(V33)+iwwa_IlYu_FUTDUB+IyeV_a_2S
kiwwIri kIlYu(V33)+iwwa_IlYu_FUTDUB+Iri_a_2P
kiwwIri kIlYu(V33)+iwwa_IlYu_FUTDUB+Iri_a_2SH
kiwwareV kIlYu(V33)+iwwa_IlYu_NFV+areV_a_COND
kiwwalli kIlYu(V33)+iwwa_IlYu_NFV+alli_a_COND
kIlYuvuxilla kIlYu(V33)+IlYuvuxu_IlYu_AVY+illa_u_NEG
kIlYabahuxu kIlYu(V33)+a_u_AVY+bahuxu_#_FUTPOTEN
kIlYalebeku kIlYu(V33)+alu_u_COMP+e_u_AVY+beku_#_FUT
kIlYuvavanu kIlYu(V33)+va_#_PRP+avanu_a_3SM
kIlYuvavaIlYu kIlYu(V33)+va_#_PRP+avaIlYu_a_3FM
kIlYuvavaru kIlYu(V33)+va_#_PRP+avaru_a_3P
kIlYaxavanu kIlYu(V33)+axa_u_PRP+avanu_a_3SM
kIlYaxavaIlYu kIlYu(V33)+axa_u_PRP+avaIlYu_a_3FM
kIlYaxavaru kIlYu(V33)+axa_u_PRP+avaru_a_3P
kiwwavanu kIlYu(V33)+iwwa_IlYu_PRP+avanu_a_3SM 
kiwwavaIlYu kIlYu(V33)+iwwa_IlYu_PRP+avaIlYu_a_3FM 
kiwwavaru kIlYu(V33)+iwwa_IlYu_PRP+avaru_a_3P 
kIlYalAraxavanu kIlYu(V33)+alu_u_AVY+Araxa_u_PRP+avanu_a_3SM 
kIlYalAraxavaIlYu kIlYu(V33)+alu_u_AVY+Araxa_u_PRP+avaIlYu_a_3SF
kIlYalAraxavaru kIlYu(V33)+alu_u_AVY+Araxa_u_PRP+avaru_a_3P 
kIlYuwwiruvavanu kIlYu(V33)+wwa_#_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM 
kIlYuwwiruvavaIlYu kIlYu(V33)+wwa_#_AUX+wwiru_wwa_RP+va_#_PRP+avaIlYu_a_3FM
kIlYuwwiruvavaru kIlYu(V33)+wwa_#_AUX+wwiru_wwa_RP+va_#_PRP+avaru_a_3P
kIlYuwwiruvuxu kIlYu(V33)+wwa_#_AUX+wwiru_wwa_RP+va_#_PRP+uxu_a_3SN
kIlYuwwiruvuvu kIlYu(V33)+wwa_#_AUX+wwiru_wwa_RP+va_#_PRP+uvu_a_3PN
kIlYuwwiruva kIlYu(V33)+wwa_#_AUX+wwiru_wwa_RP+va_#_FUTPROG
kIlYuwwixxavanu kIlYu(V33)+wwa_#_AUX+wwiru_wwa_RP+xxa_ru_PRP+avanu_a_3SM 
kIlYuwwixxavaIlYu kIlYu(V33)+wwa_#_AUX+wwiru_wwa_RP+xxa_ru_PRP+avaIlYu_a_3FM 
kIlYuwwixxavaru kIlYu(V33)+wwa_#_AUX+wwiru_wwa_RP+xxa_ru_PRP+avaru_a_3P 
kIlYuwwixxu kIlYu(V33)+wwa_#_AUX+wwixxu_wwa_PRESPROG
kIlYuwwixxavu kIlYu(V33)+wwa_#_AUX+wwiru_wwa_RP+xxa_ru_PRP+avu_a_3PN
kIlYaliruvavanu kIlYu(V33)+alu_u_AUX+liru_lu_RP+va_#_PRP+avanu_a_3SM
kIlYaliruvavaIlYu kIlYu(V33)+alu_u_AUX+liru_lu_RP+va_#_PRP+avaIlYu_a_3FM
kIlYaliruvavaru kIlYu(V33)+alu_u_AUX+liru_lu_RP+va_#_PRP+avaru_a_3P
kIlYaliruvanu kIlYu(V33)+alu_u_AUX+liruvanu_lu_3SM
kIlYaliruvaIlYu kIlYu(V33)+alu_u_AUX+liruvaIlYu_lu_3SF
kIlYaliruvaru kIlYu(V33)+alu_u_AUX+liruvaru_lu_3P
kIlYaliruvaxu kIlYu(V33)+alu_u_AUX+liruvaxu_lu_3SN
kIlYaliruvavu kIlYu(V33)+alu_u_AUX+liruvavu_lu_3PN
kIlYaballavanu kIlYu(V33)+a_u_#_AVY+ballavanu_#_3SM
kIlYaballavaIlYu kIlYu(V33)+a_u_#_AVY+ballavaIlYu_#_3SF
kIlYaballavaru kIlYu(V33)+a_u_#_AVY+ballavaru_#_3P
kIlYaballaxu kIlYu(V33)+a_u_#_AVY+ballaxu_#_3SN
kIlYaballavu kIlYu(V33)+a_u_#_AVY+ballavu_#_3PN
kIlYuwwixxAneV kIlYu(V33)+wwa_#_AUX+wwixxAneV_wwa_3SM
kIlYuwwixxAlYeV kIlYu(V33)+wwa_#_AUX+wwixxAlYeV_wwa_3FM
kIlYuwwixxAreV kIlYu(V33)+wwa_#_AUX+wwixxAreV_wwa_3FM
kIlYuwwixeV kIlYu(V33)+wwa_#_AUX+wwixeV_wwa_#_3SN
kIlYuwwiveV kIlYu(V33)+wwa_#_AUX+wwiveV_wwa_#_3PN
kIlYalpattiwu kIlYu(V33)+lYalpadu_lYu_PAST+pattiwu_padu_3SN
kIlYalpattavu kIlYu(V33)+lYalpadu_lYu_PAST+pattavu_padu_3PN
kIlYalpadkiwwaxeV kIlYu(V33)+lYalpadu_lYu_FUT+dkiwwaxeV_du_3SN
kIlYalpadkiwwaveV kIlYu(V33)+lYalpadu_lYu_FUT+dkiwwaveV_du_3PN
kIlYalpaduvuxu kIlYu(V33)+lYalpadu_lYu_FUT+vuxu_#_3SN
kIlYalpaduvuvu kIlYu(V33)+lYalpadu_lYu_FUT+vuvu_#_3PN
kIlYalpadaxu kIlYu(V33)+lYalpadu_lYu_FUTNEG+daxu_du_3SN
kIlYalpadavu kIlYu(V33)+lYalpadu_lYu_FUTNEG+davu_du_3PN
kIlYalpattIwu kIlYu(V33)+lYalpadu_lYu_FUTDUB+ttIwu_du_3SN
kIlYalpattAvu kIlYu(V33)+lYalpadu_lYu_FUTDUB+ttAvu_du_3PN
kIlYalpadabeku kIlYu(V33)+lYalpada_lYu_#_AVY+beku_#_FUTIMP
kIlYalpadabAraxu kIlYu(V33)+lYalpada_lYu_#_AVY+bAraxu_#_NEGIMPR
kIlYalpadakUdaxu kIlYu(V33)+lYalpada_lYu_#_AVY+kUdaxu_#_NEGIMPR
kIlYalpadali kIlYu(V33)+lYalpadu_lYu_FUTOPT+dali_du_3SN
kIlYalpadali kIlYu(V33)+lYalpadu_lYu_FUTOPT+dali_du_3PN
kIlYalpadaballa kIlYu(V33)+lYalpada_lYu_#_AVY+balla_#_FUTCAP
kIlYalpadaballaxu kIlYu(V33)+lYalpada_lYu_#_AVY+ballaxu_#_FUTCAP
kIlYalpadaballavu kIlYu(V33)+lYalpada_lYu_#_AVY+ballavu_#_FUTCAP
kIlYalpadabahuxu kIlYu(V33)+lYalpada_lYu_#_AVY+bahuxu_#_FUTPOTEN|_#_3SN
kIlYalpadabahuxu kIlYu(V33)+lYalpada_lYu_#_AVY+bahuxu_#_FUTPOTEN|_#_3PN
kIlYalpadabeku kIlYu(V33)+lYalpada_lYu_#_AVY+beku_#_FUTCOMP
kIlYalpadalebeku kIlYu(V33)+lYalpada_lYu_#_AVY+lebeku_#_FUTCOMP
kIlYalpadalAraxu kIlYu(V33)+lYalpadu_lYu_FUTNEG+alAraxu_u_3SN
kIlYalpadalAravu kIlYu(V33)+lYalpadu_lYu_FUTNEG+alAravu_u_3PN
kIlYalpadalAraxa kIlYu(V33)+lYalpadu_lYu_NEG+alAraxa_u_3SN
kIlYalpattarU kIlYu(V33)+lYalpadu_lYu_FUTCOND+ttarU_du_NFV
kIlYalpadkiwwa kIlYu(V33)+lYalpadu_lYu_PRESCONT+kiwwa_u_NFV
kIlYalpatta kIlYu(V33)+lYalpadu_lYu_RP+tta_du_PAST
kIlYalpadaxeV kIlYu(V33)+lYalpadu_lYu_NEG+axeV_u_NFV		
kIlYalpadaxa kIlYu(V33)+lYalpadu_lYu_NEG+axa_u_NFV
kIlYalpattu kIlYu(V33)+lYalpadu_lYu_PAST+pattu_padu_NFV
kIlYalpaduva kIlYu(V33)+lYalpadu_lYu_FUT+va_#_RP
kIlYalpadalu kIlYu(V33)+lYalpadu_lYu_INFN+alu_u_FUTINCH
kIlYalpadalikkeV kIlYu(V33)+lYalpadu_lYu_INFN+alikkeV_u_FUTINCH
kIlYalpattareV kIlYu(V33)+lYalpadu_lYu_FUTCOND+pattareV_padu_NFV
kIlYalpattalli kIlYu(V33)+lYalpadu_lYu_FUTCOND+pattalli_padu_NFV
kIlYalpaduwwiruva kIlYu(V33)+lYalpadu_lYu_AUX+uwwiruva_u_RP
kIlYalpaduwwixxa kIlYu(V33)+lYalpadu_lYu_AUX+uwwixxa_u_RP
kIlYalpaduwwaliruva kIlYu(V33)+lYalpadu_lYu_AUX+uwwaliruva_u_RP
kIlYalpaduwwirabekAxa kIlYu(V33)+lYalpadu_lYu_AUX+uwwiru_u_AVY+abekAxa_u_3SN
kiwwanA kIlYu(V33)+iwwanA_IlYu_INTR
kiwwalYA kIlYu(V33)+iwwalYA_IlYu_INTR
kiwwiwA kIlYu(V33)+iwwiwA_IlYu_INTR
kiwwarA kIlYu(V33)+iwwarA_IlYu_INTR
kiwwavA kIlYu(V33)+iwwavA_IlYu_INTR
kIlYuwwAnA kIlYu(V33)+wwAnA_#_INTR
kIlYuwwAlYA kIlYu(V33)+wwAlYA_#_INTR
kIlYuwwaxA kIlYu(V33)+wwaxA_#_INTR
kIlYuvanA kIlYu(V33)+vanA_#_INTR
kIlYuvalYA kIlYu(V33)+valYA_#_INTR
kIlYuvuxA kIlYu(V33)+IlYuvuxA_IlYu_INTR
kIlYuvarA kIlYu(V33)+IlYuvarA_IlYu_INTR
kIlYuvuvA kIlYu(V33)+IlYuvuvA_IlYu_INTR
kiwwiyA kIlYu(V33)+iwwiyA_IlYu_INTR
kiwwiriyA kIlYu(V33)+iwwiriyA_IlYu_INTR
kIlYuwwiyA kIlYu(V33)+wwiyA_#_INTR
kIlYuwwIrA kIlYu(V33)+lYuwwIrA_lYu_INTR
kIlYuviyA kIlYu(V33)+IlYuviyA_IlYu_INTR
kIlYuvirA kIlYu(V33)+IlYuvirA_IlYu_INTR
kIlYuvuxA kIlYu(V33)+IlYuvuxA_IlYu_INTR
kIlYalA kIlYu(V33)+IlYalA_IlYu_INTR
kIlYalikkA kIlYu(V33)+lYalikkA_lYu_INTR
kIlYokA kIlYu(V33)+lYokA_lYu_INTR
kIlYabekA kIlYu(V33)+lYabekA_lYu_INTR
kIlYakUdaxA kIlYu(V33)+lYakUdaxA_lYu_INTR
kIlYabAraxA kIlYu(V33)+lYabAraxA_lYu_INTR
kIlYanA kIlYu(V33)+lYanA_lYu_INTR
kIlYalYA kIlYu(V33)+lYalYA_lYu_INTR
kIlYaxA kIlYu(V33)+lYaxA_lYu_INTR
kIlYarA kIlYu(V33)+lYarA_lYu_INTR
kIlYavA kIlYu(V33)+lYavA_lYu_INTR
kIlYalAreVvA kIlYu(V33)+lYalAreVvA_lYu_INTR
kIlYalAreVnA kIlYu(V33)+lYalAreVnA_lYu_INTR
kIlYalAririyA kIlYu(V33)+lYalAririyA_lYu_INTR
kIlYalAranA kIlYu(V33)+lYalAranA_lYu_INTR
kIlYalAralYA kIlYu(V33)+lYalAralYA_lYu_INTR
kIlYalAraxA kIlYu(V33)+lYalAraxA_lYu_INTR
kIlYalArarA kIlYu(V33)+lYalArarA_lYu_INTR
kIlYalAravA kIlYu(V33)+lYalAravA_lYu_INTR
kIlYaballanA kIlYu(V33)+lYaballanA_lYu_INTR
kIlYaballalYA kIlYu(V33)+lYaballalYA_lYu_INTR
kIlYaballaxA kIlYu(V33)+lYaballaxA_lYu_INTR
kIlYaballarA kIlYu(V33)+lYaballarA_lYu_INTR
kIlYaballavA kIlYu(V33)+lYaballavA_lYu_INTR
kIlYabahuxA kIlYu(V33)+lYabahuxA_lYu_INTR
kIlYalebekA kIlYu(V33)+lYalebekA_lYu_INTR
kIlYalpattiwA kIlYu(V33)+lYalpattiwA_lYu_INTR
kIlYalpattavA kIlYu(V33)+lYalpattavA_lYu_INTR
kIlYalpaduwwaxA kIlYu(V33)+lYalpaduwwaxA_lYu_INTR
kIlYalpadkiwwavA kIlYu(V33)+lYalpadkiwwavA_lYu_INTR
kIlYalpaduvuxA kIlYu(V33)+lYalpaduvuxA_lYu_INTR
kIlYalpaduvuvA kIlYu(V33)+lYalpaduvuvA_lYu_INTR
kIlYalpadaxA kIlYu(V33)+lYalpadaxA_lYu_INTR
kIlYalpadavA kIlYu(V33)+lYalpadavA_lYu_INTR
kIlYalpadabekA kIlYu(V33)+lYalpadabekA_lYu_INTR
kIlYalpadabArxA kIlYu(V33)+lYalpadabArxA_lYu_INTR
kIlYalpadakUdaxA kIlYu(V33)+lYalpadakUdaxA_lYu_INTR
kIlYalpadabahuxA kIlYu(V33)+lYalpadabahuxA_lYu_INTR
kIlYalpadalebekA kIlYu(V33)+lYalpadalebekA_lYu_INTR
kIlYalpadalAraxA kIlYu(V33)+lYalpadalAraxA_lYu_INTR
kIlYalpadalAravA kIlYu(V33)+lYalpadalAravA_lYu_INTR
kiwwane kIlYu(V33)+iwwane_IlYu_INTR
kiwwalYe kIlYu(V33)+iwwalYe_IlYu_INTR
kiwwiwe kIlYu(V33)+iwwiwe_IlYu_INTR
kiwware kIlYu(V33)+iwware_IlYu_INTR
kiwwave kIlYu(V33)+iwwave_IlYu_INTR
kIlYuwwAnye kIlYu(V33)+wwAnye_#_INTR
kIlYuwwAlYe kIlYu(V33)+wwAlYe_#_INTR
kIlYuwwaxeVye kIlYu(V33)+wwaxeVye_#_INTR
kIlYuvane kIlYu(V33)+IlYuvane_IlYu_INTR
kIlYuvalYe kIlYu(V33)+IlYuvalYe_IlYu_INTR
kIlYuvuxe kIlYu(V33)+IlYuvuxe_IlYu_INTR
kIlYuvare kIlYu(V33)+IlYuvare_IlYu_INTR
kIlYuvuve kIlYu(V33)+IlYuvuve_IlYu_INTR
kiwwiye kIlYu(V33)+iwwiye_IlYu_INTR
kiwwiriye kIlYu(V33)+iwwiriye_IlYu_INTR
kIlYuwwiye kIlYu(V33)+uwwiye_u_INTR
kIlYuwwIre kIlYu(V33)+uwwIre_u_INTR
kIlYuV33ye kIlYu(V33)+IlYuV33ye_IlYu_INTR
kIlYuV33re kIlYu(V33)+IlYuV33re_IlYu_INTR
kIlYuvuxe kIlYu(V33)+IlYuvuxe_IlYu_INTR
kIlYale kIlYu(V33)+lYale_lYu_INTR
kIlYalikke kIlYu(V33)+lYalikke_lYu_INTR
kIlYabeke kIlYu(V33)+lYabeke_lYu_INTR
kIlYakUdaxe kIlYu(V33)+lYakUdaxe_lYu_INTR
kIlYabAraxe kIlYu(V33)+lYabAraxe_lYu_INTR
kIlYane kIlYu(V33)+lYane_lYu_INTR
kIlYalYe kIlYu(V33)+lYalYe_lYu_INTR
kIlYaxe kIlYu(V33)+lYaxe_lYu_INTR
kIlYare kIlYu(V33)+lYare_lYu_INTR
kIlYave kIlYu(V33)+lYave_lYu_INTR
kIlYalAreVve kIlYu(V33)+lYalAreVve_lYu_INTR
kIlYalAreVne kIlYu(V33)+lYalAreVne_lYu_INTR
kIlYalAririye kIlYu(V33)+lYalAririye_lYu_INTR
kIlYalArane kIlYu(V33)+lYalArane_lYu_INTR
kIlYalAralYe kIlYu(V33)+lYalAralYe_lYu_INTR
kIlYalAraxe kIlYu(V33)+lYalAraxe_lYu_INTR
kIlYalArare kIlYu(V33)+lYalArare_lYu_INTR
kIlYalArave kIlYu(V33)+lYalArave_lYu_INTR
kIlYaballane kIlYu(V33)+lYaballane_lYu_INTR
kIlYaballalYe kIlYu(V33)+lYaballalYe_lYu_INTR
kIlYaballaxe kIlYu(V33)+lYaballaxe_lYu_INTR
kIlYaballare kIlYu(V33)+lYaballare_lYu_INTR
kIlYaballave kIlYu(V33)+lYaballave_lYu_INTR
kIlYabahuxe kIlYu(V33)+lYabahuxe_lYu_INTR
kIlYalebeke kIlYu(V33)+lYalebeke_lYu_INTR
kIlYalpattiwe kIlYu(V33)+lYalpattiwe_lYu_INTR
kIlYalpattave kIlYu(V33)+lYalpattave_lYu_INTR
kIlYalpadkiwwaxye kIlYu(V33)+lYalpadkiwwaxye_lYu_INTR
kIlYalpadkiwwavye kIlYu(V33)+lYalpadkiwwavye_lYu_INTR
kIlYalpaduvuxe kIlYu(V33)+lYalpaduvuxe_lYu_INTR
kIlYalpaduvuve kIlYu(V33)+lYalpaduvuve_lYu_INTR
kIlYalpadaxe kIlYu(V33)+lYalpadaxe_lYu_INTR
kIlYalpadave kIlYu(V33)+lYalpadave_lYu_INTR
kIlYalpadabeke kIlYu(V33)+lYalpadabeke_lYu_INTR
kIlYalpadabArxe kIlYu(V33)+lYalpadabArxe_lYu_INTR
kIlYalpadakUdaxe kIlYu(V33)+lYalpadakUdaxe_lYu_INTR
kIlYalpadaballaxe kIlYu(V33)+lYalpadaballaxe_lYu_INTR
kIlYalpadabahuxe kIlYu(V33)+lYalpadabahuxe_lYu_INTR
kIlYalpadalebeke kIlYu(V33)+lYalpadalebeke_lYu_INTR
kIlYalpadalAraxe kIlYu(V33)+lYalpadalAraxe_lYu_INTR
kIlYalpadalArave kIlYu(V33)+lYalpadalArave_lYu_INTR
kiwwano kIlYu(V33)+iwwano_IlYu_INDF
kiwwalYo kIlYu(V33)+iwwalYo_IlYu_INDF
kiwwiwo kIlYu(V33)+iwwiwo_IlYu_INDF
kiwwaro kIlYu(V33)+iwwaro_IlYu_INDF
kiwwavo kIlYu(V33)+iwwavo_IlYu_INDF
kIlYuwwAno kIlYu(V33)+uwwAno_u_INDF
kIlYuwwAlYo kIlYu(V33)+uwwAlYo_u_INDF
kIlYuwwadeVyo kIlYu(V33)+uwwadeVyo_u_INDF
kIlYuvano kIlYu(V33)+lYuvano_lYu_INDF
kIlYuvalYo kIlYu(V33)+lYuvalYo_lYu_INDF
kIlYuvuxo kIlYu(V33)+lYuvuxo_lYu_INDF
kIlYuvaro kIlYu(V33)+lYuvaro_lYu_INDF
kIlYuvuvo kIlYu(V33)+lYuvuvo_lYu_INDF
kIlYuvuxo kIlYu(V33)+lYuvuxo_lYu_INDF
kIlYalo kIlYu(V33)+lYalo_lYu_INDF
kIlYalikko kIlYu(V33)+lYalikko_lYu_INDF
kIlYabeko kIlYu(V33)+lYabeko_lYu_INDF
kIlYakUdaxo kIlYu(V33)+lYakUdaxo_lYu_INDF
kIlYabAraxo kIlYu(V33)+lYabAraxo_lYu_INDF
kIlYano kIlYu(V33)+lYano_lYu_INDF
kIlYalYo kIlYu(V33)+lYalYo_lYu_INDF
kIlYaxo kIlYu(V33)+lYaxo_lYu_INDF
kIlYaro kIlYu(V33)+lYaro_lYu_INDF
kIlYavo kIlYu(V33)+lYavo_lYu_INDF
kIlYalArano kIlYu(V33)+lYalArano_lYu_INDF
kIlYalAralYo kIlYu(V33)+lYalAralYo_lYu_INDF
kIlYalAraxo kIlYu(V33)+lYalAraxo_lYu_INDF
kIlYalAraro kIlYu(V33)+lYalAraro_lYu_INDF
kIlYalAravo kIlYu(V33)+lYalAravo_lYu_INDF
kIlYaballano kIlYu(V33)+lYaballano_lYu_INDF
kIlYaballalYo kIlYu(V33)+lYaballalYo_lYu_INDF
kIlYaballaxo kIlYu(V33)+lYaballaxo_lYu_INDF
kIlYaballaro kIlYu(V33)+lYaballaro_lYu_INDF
kIlYaballavo kIlYu(V33)+lYaballavo_lYu_INDF
kIlYalpattiwo kIlYu(V33)+lYalpattiwo_lYu_INDF
kIlYalpattavo kIlYu(V33)+lYalpattavo_lYu_INDF
kIlYalpadkiwwaxo kIlYu(V33)+lYalpadkiwwaxo_lYu_INDF
kIlYalpadkiwwaveyo kIlYu(V33)+lYalpadkiwwaveyo_lYu_INDF
kIlYalpaduvuxo kIlYu(V33)+lYalpaduvuxo_lYu_INDF
kIlYalpaduvuvo kIlYu(V33)+lYalpaduvuvo_lYu_INDF
kIlYalpadaxo kIlYu(V33)+lYalpadaxo_lYu_INDF
kIlYalpadavo kIlYu(V33)+lYalpadavo_lYu_INDF
kIlYalpadabeko kIlYu(V33)+lYalpadabeko_lYu_INDF
kIlYalpadabAraxo kIlYu(V33)+lYalpadabAraxo_lYu_INDF
kIlYalpadakUdaxo kIlYu(V33)+lYalpadakUdaxo_lYu_INDF
kIlYalpadalo kIlYu(V33)+lYalpadalo_lYu_INDF
kIlYalpadaballaxo kIlYu(V33)+lYalpadaballaxo_lYu_INDF
kIlYalpadabahuxo kIlYu(V33)+lYalpadabahuxo_lYu_INDF
kIlYalpadalebeko kIlYu(V33)+lYalpadalebeko_lYu_INDF
kIlYalpadalAraxo kIlYu(V33)+lYalpadalAraxo_lYu_INDF
kIlYalpadalAravo kIlYu(V33)+lYalpadalAravo_lYu_INDF
kIlYalpadkiwwaxo kIlYu(V33)+lYalpadkiwwaxo_lYu_INDF
kIlYalpadaxeVyo kIlYu(V33)+lYalpadaxeVyo_lYu_INDF
kIlYalpatto kIlYu(V33)+lYalpatto_lYu_INDF
