koVMdanu koVlYlYu(V20)+Mda_lYlYu_PAST+anu_a_3SM   
koVlYlYalAraru koVlYlYu(V20)+alu_u_FUTNEG+Araru_u_3SH
koVlYlYalAravu koVlYlYu(V20)+alu_u_FUTNEG+Aravu_u_3PN
koVlYlYalArxa koVlYlYu(V20)+alu_u_NEG+Arxa_u_3
koVlYlYaxa koVlYlYu(V20)+axa_u_NFV_#_NEG
koVlYlYaxeV koVlYlYu(V20)+axeV_u_NFV_#_NEG
koVMdarU koVlYlYu(V20)+MdarU_lYlYu_NFV_#_CONS
koVlYlYuwwA koVlYlYu(V20)+uwwa_u_NFV+A_a_PRESCONT
koVMdu koVlYlYu(V20)+Mdu_lYlYu_NFV_#_PASTPERF
koVlYlYali koVlYlYu(V20)+ali_u_FUTOPT_#_3SM
koVlYlYali koVlYlYu(V20)+ali_u_FUTOPT_#_3SF
koVlYlYali koVlYlYu(V20)+ali_u_FUTOPT_#_3P
koVlYlYali koVlYlYu(V20)+ali_u_FUTOPT_#_3SH
koVlYlYali koVlYlYu(V20)+ali_u_FUTOPT_#_3SN
koVlYlYali koVlYlYu(V20)+ali_u_FUTOPT_#_3SM

koVlYlYaballa koVlYlYu(V20)+koVlYlYa_koVlYlYu_AVY+balla_#_FUTINF_#_CAP
koVlYlYaballanu koVlYlYu(V20)+koVlYlYa_koVlYlYu_AVY+balla_#_FUTCAP+anu_a_3SM
koVlYlYaballalYu koVlYlYu(V20)+koVlYlYa_koVlYlYu_AVY+balla_#_FUTCAP+alYu_a_3SF
koVlYlYaballaxu koVlYlYu(V20)+koVlYlYa_koVlYlYu_AVY+balla_#_FUTCAP+axu_a_3SN
koVlYlYaballaru koVlYlYu(V20)+koVlYlYa_koVlYlYu_AVY+balla_#_FUTCAP+aru_a_3P
koVlYlYaballaru koVlYlYu(V20)+koVlYlYa_koVlYlYu_AVY+balla_#_FUTCAP+aru_a_3SH
koVlYlYaballavu koVlYlYu(V20)+koVlYlYa_koVlYlYu_AVY+balla_#_FUTCAP+avu_a_3PN
koVMdAnu koVlYlYu(V20)+Mda_lYlYu_FUTDUB+Anu_a_3SM
koVMdAlYu koVlYlYu(V20)+Mda_lYlYu_FUTDUB+AlYu_a_3SF
koVMdAru koVlYlYu(V20)+Mda_lYlYu_FUTDUB+Aru_a_3P
koVMdAru koVlYlYu(V20)+Mda_lYlYu_FUTDUB+Aru_a_3SH
koVMdIwu koVlYlYu(V20)+Mda_lYlYu_FUTDUB+Iwu_a_3SN
koVMdAvu koVlYlYu(V20)+Mda_lYlYu_FUTDUB+Avu_a_3PN
koVMdenu koVlYlYu(V20)+Mda_lYlYu_FUTDUB+enu_a_1S
koVMdevu koVlYlYu(V20)+Mda_lYlYu_FUTDUB+evu_a_1P
koVMdIyeV koVlYlYu(V20)+Mda_lYlYu_FUTDUB+IyeV_a_2S
koVMdIri koVlYlYu(V20)+Mda_lYlYu_FUTDUB+Iri_a_2P
koVMdIri koVlYlYu(V20)+Mda_lYlYu_FUTDUB+Iri_a_2SH
koVMdareV koVlYlYu(V20)+Mda_lYlYu_NFV+areV_a_COND
koVMdalli koVlYlYu(V20)+Mda_lYlYu_NFV+alli_a_COND
koVlYlYuvuxilla koVlYlYu(V20)+vuxu_#_AVY+illa_u_NEG
koVlYlYabahuxu koVlYlYu(V20)+a_u_AVY+bahuxu_#_FUTPOTEN
koVlYlYalebeku koVlYlYu(V20)+alu_u_COMP+e_u_AVY+beku_#_FUT
koVlYlYuvavanu koVlYlYu(V20)+va_#_PRP+avanu_a_3SM
koVlYlYuvavalYu koVlYlYu(V20)+va_#_PRP+avalYu_a_3FM
koVlYlYuvavaru koVlYlYu(V20)+va_#_PRP+avaru_a_3P
koVlYlYaxavanu koVlYlYu(V20)+axa_u_PRP+avanu_a_3SM
koVlYlYaxavalYu koVlYlYu(V20)+axa_u_PRP+avalYu_a_3FM
koVlYlYaxavaru koVlYlYu(V20)+axa_u_PRP+avaru_a_3P
koVMdavanu koVlYlYu(V20)+Mda_lYlYu_PRP+avanu_a_3SM 
koVMdavalYu koVlYlYu(V20)+Mda_lYlYu_PRP+avalYu_a_3FM 
koVMdavaru koVlYlYu(V20)+Mda_lYlYu_PRP+avaru_a_3P 
koVlYlYalAraxavanu koVlYlYu(V20)+alu_u_AVY+Araxa_u_PRP+avanu_a_3SM 
koVlYlYalAraxavalYu koVlYlYu(V20)+alu_u_AVY+Araxa_u_PRP+avalYu_a_3SF
koVlYlYalAraxavaru koVlYlYu(V20)+alu_u_AVY+Araxa_u_PRP+avaru_a_3P 
koVlYlYuwwiruvavanu koVlYlYu(V20)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM
koVlYlYuwwiruvavalYu koVlYlYu(V20)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avalYu_a_3SF
koVlYlYuwwiruvavaru koVlYlYu(V20)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avaru_a_3P
koVlYlYuwwiruvuxu koVlYlYu(V20)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uxu_a_3SN
koVlYlYuwwiruvuvu koVlYlYu(V20)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uvu_a_3PN
koVlYlYuwwiruva koVlYlYu(V20)+uwwa_u_AUX+wwiru_wwa_RP+va_#_FUTPROG
koVlYlYuwwiruvavanu koVlYlYu(V20)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM 
koVlYlYuwwiruvavalYu koVlYlYu(V20)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avalYu_a_3FM 
koVlYlYuwwiruvavaru koVlYlYu(V20)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avaru_a_3P 
koVlYlYuwwixxu koVlYlYu(V20)+uwwa_u_AUX+wwixxu_wwa_PRESPROG
koVlYlYuwwixxavu koVlYlYu(V20)+uwwa_u_AUX+wwiru_wwa_RP+xxa_ru_PRP+avu_a_3PN
koVlYlYaliruvavanu koVlYlYu(V20)+alu_u_AUX+liru_lu_RP+va_#_PRP+avanu_a_3SM
koVlYlYaliruvavalYu koVlYlYu(V20)+alu_u_AUX+liru_lu_RP+va_#_PRP+avalYu_a_3FM
koVlYlYaliruvavaru koVlYlYu(V20)+alu_u_AUX+liru_lu_RP+va_#_PRP+avaru_a_3P
koVlYlYaliruvanu koVlYlYu(V20)+alu_u_AUX+liruvanu_lu_3SM
koVlYlYaliruvalYu koVlYlYu(V20)+alu_u_AUX+liruvalYu_lu_3SF
koVlYlYaliruvaru koVlYlYu(V20)+alu_u_AUX+liruvaru_lu_3P
koVlYlYaliruvaxu koVlYlYu(V20)+alu_u_AUX+liruvaxu_lu_3SN
koVlYlYaliruvavu koVlYlYu(V20)+alu_u_AUX+liruvavu_lu_3PN
koVlYlYaballavanu koVlYlYu(V20)+a_u_AVY+ballavanu_#_3SM
koVlYlYaballavalYu koVlYlYu(V20)+a_u_#_AVY+ballavalYu_#_3SF
koVlYlYaballavaru koVlYlYu(V20)+a_u_AVY+ballavaru_#_3P
koVlYlYaballaxu koVlYlYu(V20)+a_u_AVY+ballaxu_#_3SN
koVlYlYaballavu koVlYlYu(V20)+a_u_AVY+ballavu_#_3PN
koVlYlYuwwixxAneV koVlYlYu(V20)+uwwa_u_AUX+wwixxAneV_wwa_3SM
koVlYlYuwwixxAlYeV koVlYlYu(V20)+uwwa_u_AUX+wwixxAlYeV_wwa_3FM
koVlYlYuwwixxAreV koVlYlYu(V20)+uwwa_u_AUX+wwixxAreV_wwa_3P
koVlYlYuwwixeV koVlYlYu(V20)+uwwa_u_AUX+wwixeV_wwa_3SN
koVlYlYuwwiveV koVlYlYu(V20)+uwwa_u_AUX+wwiveV_wwa_3PN
koVlYlYalpattanu koVlYlYu(V20)+alpadu_u_PAST+pattanu_padu_3SM
koVlYlYalpattalYu koVlYlYu(V20)+alpadu_u_PAST+pattalYu_padu_3SF
koVlYlYalpattkoVlYlYu koVlYlYu(V20)+alpadu_u_PAST+pattkoVlYlYu_padu_3P
koVlYlYalpattaru koVlYlYu(V20)+alpadu_u_PAST+pattaru_padu_3SH
koVlYlYalpattiwu koVlYlYu(V20)+alpadu_u_PAST+pattiwu_padu_3SN
koVlYlYalpattavu koVlYlYu(V20)+alpadu_u_PAST+pattavu_padu_3PN
koVlYlYalpaduwwaxeV koVlYlYu(V20)+alpadu_u_FUT+duwwaxeV_du_3SN
koVlYlYalpaduwwaveV koVlYlYu(V20)+alpadu_u_FUT+duwwaveV_du_3PN
koVlYlYalpaduvuxu koVlYlYu(V20)+alpadu_u_FUT+vuxu_#_3SN
koVlYlYalpaduvuvu koVlYlYu(V20)+alpadu_u_FUT+vuvu_#_3PN
koVlYlYalpadanu koVlYlYu(V20)+alpadu_u_FUTNEG+danu_du_3SM
koVlYlYalpadalYu koVlYlYu(V20)+alpadu_u_FUTNEG+dalYu_du_3SF
koVlYlYalpadaru koVlYlYu(V20)+alpadu_u_FUTNEG+daru_du_3P
koVlYlYalpadaru koVlYlYu(V20)+alpadu_u_FUTNEG+daru_du_3SH
koVlYlYalpadaxu koVlYlYu(V20)+alpadu_u_FUTNEG+daxu_du_3SN
koVlYlYalpadavu koVlYlYu(V20)+alpadu_u_FUTNEG+davu_du_3PN
koVlYlYalpattAnu koVlYlYu(V20)+alpadu_u_FUTDUB+ttAnu_du_3SM
koVlYlYalpattAlYu koVlYlYu(V20)+alpadu_u_FUTDUB+ttAlYu_du_3PF
koVlYlYalpattAru koVlYlYu(V20)+alpadu_u_FUTDUB+ttAru_du_3P
koVlYlYalpattAru koVlYlYu(V20)+alpadu_u_FUTDUB+ttAru_du_3SH
koVlYlYalpattIwu koVlYlYu(V20)+alpadu_u_FUTDUB+ttIwu_du_3SN
koVlYlYalpattAvu koVlYlYu(V20)+alpadu_u_FUTDUB+ttAvu_du_3PN
koVlYlYalpadabeku koVlYlYu(V20)+alpada_u_#_AVY+beku_#_FUTIMP
koVlYlYalpadabAraxu koVlYlYu(V20)+alpada_u_#_AVY+bAraxu_#_NEGIMPR
koVlYlYalpadakUdaxu koVlYlYu(V20)+alpada_u_#_AVY+kUdaxu_#_NEGIMPR
koVlYlYalpadali koVlYlYu(V20)+alpadu_u_FUTOPT+dali_du_3SN
koVlYlYalpadali koVlYlYu(V20)+alpadu_u_FUTOPT+dali_du_3PN
koVlYlYalpadakoVlYlYa koVlYlYu(V20)+alpada_u_AVY+koVlYlYa_#_FUTCAP
koVlYlYalpadakoVlYlYaxu koVlYlYu(V20)+alpada_u_AVY+koVlYlYaxu_#_FUTCAP
koVlYlYalpadakoVlYlYavu koVlYlYu(V20)+alpada_u_AVY+koVlYlYavu_#_FUTCAP
koVlYlYalpadabahuxu koVlYlYu(V20)+alpada_u_AVY+bahuxu_#_FUTPOTEN_#_3SN
koVlYlYalpadabahuxu koVlYlYu(V20)+alpada_u_AVY+bahuxu_#_FUTPOTEN_#_3PN
koVlYlYalpadabeku koVlYlYu(V20)+alpada_u_AVY+beku_#_FUTCOMP
koVlYlYalpadalebeku koVlYlYu(V20)+alpada_u_AVY+lebeku_#_FUTCOMP
koVlYlYalpadalAraxu koVlYlYu(V20)+alpadu_u_FUTNEG+alAraxu_u_3SN
koVlYlYalpadalAravu koVlYlYu(V20)+alpadu_u_FUTNEG+alAravu_u_3PN
koVlYlYalpadalAraxa koVlYlYu(V20)+alpadu_u_NEG+alAraxa_u_3SN
koVlYlYalpattarU koVlYlYu(V20)+alpadu_u_FUTCOND+ttarU_du_NFV
koVlYlYalpaduwwa koVlYlYu(V20)+alpadu_u_PRESCONT+uwwa_u_NFV
koVlYlYalpatta koVlYlYu(V20)+alpadu_u_RP+tta_du_PAST
koVlYlYalpadaxeV koVlYlYu(V20)+alpadu_u_NEG+axeV_u_NFV	
koVlYlYalpadaxa koVlYlYu(V20)+alpadu_u_NEG+axa_u_NFV
koVlYlYalpattu koVlYlYu(V20)+alpadu_u_PAST+pattu_padu_NFV
koVlYlYalpaduva koVlYlYu(V20)+alpadu_u_FUT+va_#_RP
koVlYlYalpadalu koVlYlYu(V20)+alpadu_u_INFN+alu_u_FUTINCH
koVlYlYalpadalikkeV koVlYlYu(V20)+alpadu_u_INFN+alikkeV_u_FUTINCH
koVlYlYalpattareV koVlYlYu(V20)+alpadu_u_FUTCOND+pattareV_padu_NFV
koVlYlYalpattalli koVlYlYu(V20)+alpadu_u_FUTCOND+pattalli_padu_NFV
koVlYlYalpaduwwiruva koVlYlYu(V20)+alpadu_u_AUX+uwwiruva_u_RP
koVlYlYalpaduwwixxa koVlYlYu(V20)+alpadu_u_AUX+uwwixxa_u_RP
koVlYlYalpaduwwaliruva koVlYlYu(V20)+alpadu_u_AUX+uwwaliruva_u_RP
koVlYlYalpaduwwirabekaxa koVlYlYu(V20)+alpadu_u_AUX+uwwiru_u_AVY+abekaxa_u_3SN
koVMdanA koVlYlYu(V20)+MdanA_lYlYu_INTR
koVMdalYA koVlYlYu(V20)+MdalYA_lYlYu_INTR
koVMdIwA koVlYlYu(V20)+MdIwA_lYlYu_INTR
koVMdarA koVlYlYu(V20)+MdarA_lYlYu_INTR
koVMdavA koVlYlYu(V20)+MdavA_lYlYu_INTR
koVlYlYuwwAnA koVlYlYu(V20)+uwwAnA_u_INTR
koVlYlYuwwAlYA koVlYlYu(V20)+uwwAlYA_u_INTR
koVlYlYuwwkoVMda koVlYlYu(V20)+uwwkoVMda_u_INTR
koVlYlYuvanA koVlYlYu(V20)+vanA_#_INTR
koVlYlYuvalYA koVlYlYu(V20)+valYA_#_INTR
koVlYlYuvuxa koVlYlYu(V20)+vuxa_#_INTR
koVlYlYuvarA koVlYlYu(V20)+varA_#_INTR
koVlYlYuvuvA koVlYlYu(V20)+vuvA_#_INTR
koVlYlYuwwiyA koVlYlYu(V20)+uwwiyA_u_INTR
koVlYlYuwwiriyA koVlYlYu(V20)+uwwiriyA_u_INTR
koVlYlYuwwIrA koVlYlYu(V20)+uwwIrA_u_INTR
koVlYlYuviyA koVlYlYu(V20)+viyA_#_INTR
koVlYlYuvirA koVlYlYu(V20)+virA_#_INTR
koVlYlYuvuxa koVlYlYu(V20)+vuxa_#_INTR
koVlYlYalA koVlYlYu(V20)+alA_u_INTR
koVlYlYalikkA koVlYlYu(V20)+alikkA_u_INTR
koVlYlYokA koVlYlYu(V20)+okA_u_INTR
koVlYlYabekA koVlYlYu(V20)+abekA_u_INTR
koVlYlYakUdaxA koVlYlYu(V20)+akUdaxA_u_INTR
koVlYlYaballaxa koVlYlYu(V20)+aballaxa_u_INTR
koVlYlYanA koVlYlYu(V20)+anA_u_INTR
koVlYlYalYA koVlYlYu(V20)+alYA_u_INTR
koVlYlYaxa koVlYlYu(V20)+axa_u_INTR
koVlYlYarA koVlYlYu(V20)+arA_u_INTR
koVlYlYavA koVlYlYu(V20)+avA_u_INTR
koVlYlYalAreVvA koVlYlYu(V20)+alAreVvA_u_INTR
koVlYlYalAreVnA koVlYlYu(V20)+alAreVnA_u_INTR
koVlYlYalAririyA koVlYlYu(V20)+alAririyA_u_INTR
koVlYlYalAranA koVlYlYu(V20)+alAranA_u_INTR
koVlYlYalAralYA koVlYlYu(V20)+alAralYA_u_INTR
koVlYlYalAraxa koVlYlYu(V20)+alAraxa_u_INTR
koVlYlYalArarA koVlYlYu(V20)+alArarA_u_INTR
koVlYlYalAravA koVlYlYu(V20)+alAravA_u_INTR
koVlYlYaballanA koVlYlYu(V20)+aballanA_u_INTR
koVlYlYaballalYA koVlYlYu(V20)+aballalYA_u_INTR
koVlYlYaballaxa koVlYlYu(V20)+aballaxa_u_INTR
koVlYlYaballarA koVlYlYu(V20)+aballarA_u_INTR
koVlYlYaballavA koVlYlYu(V20)+aballavA_u_INTR
koVlYlYabahuxa koVlYlYu(V20)+abahuxa_u_INTR
koVlYlYalebekA koVlYlYu(V20)+alebekA_u_INTR
koVlYlYalpattiwA koVlYlYu(V20)+alpattiwA_u_INTR
koVlYlYalpattavA koVlYlYu(V20)+alpattavA_u_INTR
koVlYlYalpaduwwaxa koVlYlYu(V20)+alpaduwwaxa_u_INTR
koVlYlYalpaduwwavA koVlYlYu(V20)+alpaduwwavA_u_INTR
koVlYlYalpaduvuMda koVlYlYu(V20)+alpaduvuMda_u_INTR
koVlYlYalpaduvuvA koVlYlYu(V20)+alpaduvuvA_u_INTR
koVlYlYalpadaxa koVlYlYu(V20)+alpadaxa_u_INTR
koVlYlYalpadavA koVlYlYu(V20)+alpadavA_u_INTR
koVlYlYalpadabekA koVlYlYu(V20)+alpadabekA_u_INTR
koVlYlYalpadabarAxA koVlYlYu(V20)+alpadabarAxA_u_INTR
koVlYlYalpadakUdaxA koVlYlYu(V20)+alpadakUdaxA_u_INTR
koVlYlYalpadabahuxdA koVlYlYu(V20)+alpadabahuxdA_u_INTR
koVlYlYalpadalebekA koVlYlYu(V20)+alpadalebekA_u_INTR
koVlYlYalpadalAraxA koVlYlYu(V20)+alpadalAraxA_u_INTR
koVlYlYalpadalAravA koVlYlYu(V20)+alpadalAravA_u_INTR
koVMdane koVlYlYu(V20)+Mdane_lYlYu_INTR
koVMdalYe koVlYlYu(V20)+MdalYe_lYlYu_INTR
koVlYlYuwwiwe koVlYlYu(V20)+wwiwe_#_INTR
koVMdare koVlYlYu(V20)+Mdare_lYlYu_INTR
koVMdave koVlYlYu(V20)+Mdave_lYlYu_INTR
koVlYlYuwwAnye koVlYlYu(V20)+uwwAnye_u_INTR
koVlYlYuwwAlYe koVlYlYu(V20)+uwwAlYe_u_INTR
koVlYlYuwwaxeVye koVlYlYu(V20)+uwwaxeVye_u_INTR
koVlYlYuvane koVlYlYu(V20)+vane_#_INTR
koVlYlYuvalYe koVlYlYu(V20)+valYe_#_INTR
koVlYlYuvuxe koVlYlYu(V20)+vuxe_#_INTR
koVlYlYuvare koVlYlYu(V20)+vare_#_INTR
koVlYlYuvuve koVlYlYu(V20)+vuve_#_INTR
koVlYlYuwwiriye koVlYlYu(V20)+wwiriye_#_INTR
koVlYlYuwwiye koVlYlYu(V20)+uwwiye_u_INTR
koVlYlYuwwIre koVlYlYu(V20)+uwwIre_u_INTR
koVlYlYuviye koVlYlYu(V20)+viye_#_INTR
koVlYlYuvire koVlYlYu(V20)+vire_#_INTR
koVlYlYuvuxe koVlYlYu(V20)+vuxe_#_INTR
koVlYlYale koVlYlYu(V20)+ale_u_INTR
koVlYlYalikke koVlYlYu(V20)+alikke_u_INTR
koVlYlYabeke koVlYlYu(V20)+abeke_u_INTR
koVlYlYakUdaxe koVlYlYu(V20)+akUdaxe_u_INTR
koVlYlYakoVlYlYaxe koVlYlYu(V20)+akoVlYlYaxe_u_INTR
koVlYlYane koVlYlYu(V20)+ane_u_INTR
koVlYlYalYe koVlYlYu(V20)+alYe_u_INTR
koVlYlYaxe koVlYlYu(V20)+axe_u_INTR
koVlYlYare koVlYlYu(V20)+are_u_INTR
koVlYlYave koVlYlYu(V20)+ave_u_INTR
koVlYlYalAreVve koVlYlYu(V20)+alAreVve_u_INTR
koVlYlYalAreVne koVlYlYu(V20)+alAreVne_u_INTR
koVlYlYalAririye koVlYlYu(V20)+alAririye_u_INTR
koVlYlYalArane koVlYlYu(V20)+alArane_u_INTR
koVlYlYalAralYe koVlYlYu(V20)+alAralYe_u_INTR
koVlYlYalAraxe koVlYlYu(V20)+alAraxe_u_INTR
koVlYlYalArare koVlYlYu(V20)+alArare_u_INTR
koVlYlYalArave koVlYlYu(V20)+alArave_u_INTR
koVlYlYakoVlYlYane koVlYlYu(V20)+akoVlYlYane_u_INTR
koVlYlYakoVlYlYalYe koVlYlYu(V20)+akoVlYlYalYe_u_INTR
koVlYlYakoVlYlYaxe koVlYlYu(V20)+akoVlYlYaxe_u_INTR
koVlYlYakoVlYlYare koVlYlYu(V20)+akoVlYlYare_u_INTR
koVlYlYakoVlYlYave koVlYlYu(V20)+akoVlYlYave_u_INTR
koVlYlYabahuxe koVlYlYu(V20)+abahuxe_u_INTR
koVlYlYalebeke koVlYlYu(V20)+alebeke_u_INTR
koVlYlYalpattiwe koVlYlYu(V20)+alpattiwe_u_INTR
koVlYlYalpattave koVlYlYu(V20)+alpattave_u_INTR
koVlYlYalpadaxe koVlYlYu(V20)+alpadaxe_u_INTR
koVlYlYalpadave koVlYlYu(V20)+alpadave_u_INTR
koVlYlYalpaduvuxe koVlYlYu(V20)+alpaduvuxe_u_INTR
koVlYlYalpaduvuve koVlYlYu(V20)+alpaduvuve_u_INTR
koVlYlYalpadaxe koVlYlYu(V20)+alpadaxe_u_INTR
koVlYlYalpadave koVlYlYu(V20)+alpadave_u_INTR
koVlYlYalpadabeke koVlYlYu(V20)+alpadabeke_u_INTR
koVlYlYalpadabAraxe koVlYlYu(V20)+alpadabAraxe_u_INTR
koVlYlYalpadakUdaxe koVlYlYu(V20)+alpadakUdaxe_u_INTR

koVlYlYalpadabahuxe koVlYlYu(V20)+alpadabahuxe_u_INTR
koVlYlYalpadalebeke koVlYlYu(V20)+alpadalebeke_u_INTR
koVlYlYalpadalAraxe koVlYlYu(V20)+alpadalAraxe_u_INTR
koVlYlYalpadalArave koVlYlYu(V20)+alpadalArave_u_INTR
koVMdano koVlYlYu(V20)+Mdano_lYlYu_INDF
koVMdalYo koVlYlYu(V20)+MdalYo_lYlYu_INDF
koVMdiwo koVlYlYu(V20)+Mdiwo_lYlYu_INDF
koVMdaro koVlYlYu(V20)+Mdaro_lYlYu_INDF
koVMdavo koVlYlYu(V20)+Mdavo_lYlYu_INDF
koVlYlYuwwAno koVlYlYu(V20)+wwAno_#_INDF
koVlYlYuwwAlYo koVlYlYu(V20)+wwAlYo_#_INDF
koVlYlYuwwaxeVyo koVlYlYu(V20)+uwwaxeVyo_u_INDF
koVlYlYuvano koVlYlYu(V20)+vano_#_INDF
koVlYlYuvalYo koVlYlYu(V20)+valYo_#_INDF
koVlYlYuvuxo koVlYlYu(V20)+vuxo_#_INDF
koVlYlYuvaro koVlYlYu(V20)+varo_#_INDF
koVlYlYuvuvo koVlYlYu(V20)+vuvo_#_INDF
koVlYlYuvuxo koVlYlYu(V20)+vuxo_#_INDF
koVlYlYalo koVlYlYu(V20)+alo_u_INDF
koVlYlYalikko koVlYlYu(V20)+alikko_u_INDF
koVlYlYabeko koVlYlYu(V20)+abeko_u_INDF
koVlYlYakUdaxo koVlYlYu(V20)+akUdaxo_u_INDF
koVlYlYaballaxo koVlYlYu(V20)+aballaxo_u_INDF
koVlYlYano koVlYlYu(V20)+ano_u_INDF
koVlYlYalYo koVlYlYu(V20)+alYo_u_INDF
koVlYlYaxo koVlYlYu(V20)+axo_u_INDF
koVlYlYaro koVlYlYu(V20)+aro_u_INDF
koVlYlYavo koVlYlYu(V20)+avo_u_INDF
koVlYlYalArano koVlYlYu(V20)+alArano_u_INDF
koVlYlYalAralYo koVlYlYu(V20)+alAralYo_u_INDF
koVlYlYalAraxo koVlYlYu(V20)+alAraxo_u_INDF
