uwwanu ulYu(V1)+wwa_lYu_PAST+anu_a_3SM     
ulYuviri ulYu(V1)+lYuva_lYu_FUT+viri_va_2P
ulYuviri ulYu(V1)+lYuva_lYu_FUT+viri_va_2SH
ulYuva ulYu(V1)+va_#_FUT_#_RP
uwwa   ulYu(V1)+wwa_lYu_PAST_#_RP
ulYalu ulYu(V1)+alu_u_INFN_#_INCH
ulYalikkeV ulYu(V1)+alikkeV_u_INFN_#_INCH
ulYokeV ulYu(V1)+okeV_u_INFN_#_INCH
ulYabeku ulYu(V1)+a_u_AVY+beku_#_FUT_#_IMPR
ulYakUdaxu ulYu(V1)+a_u_AVY+kUdaxu_#_FUT_#_NEGIMPR
ulYabAraxu ulYu(V1)+a_u_AVY+bAraxu_#_FUT_#_NEGIMPR
ulYanu ulYu(V1)+anu_u_FUTNEG_#_3SM
ulYalYu ulYu(V1)+alYu_u_FUTNEG_#_3SF
ulYaxu ulYu(V1)+axu_u_FUTNEG_#_3SN
ulYaru ulYu(V1)+aru_u_FUTNEG_#_3P
ulYaru ulYu(V1)+aru_u_FUTNEG_#_3SH
ulYavu ulYu(V1)+avu_u_FUTNEG_#_3PN
ulYalAreV ulYu(V1)+alu_u_FUTNEG+AreV_u_1S
ulYalAreVvu ulYu(V1)+alu_u_FUTNEG+AreVvu_u_1P
ulYalAreV ulYu(V1)+alu_u_FUTNEG+AreV_u_2S
ulYalAriri ulYu(V1)+alu_u_FUTNEG+Ariri_u_2P
ulYalAriri ulYu(V1)+alu_u_FUTNEG+Ariri_u_2SH
ulYalAranu ulYu(V1)+alu_u_FUTNEG+Aranu_u_3SM
ulYalAralYu ulYu(V1)+alu_u_FUTNEG+AralYu_u_3SF
ulYalAraxu ulYu(V1)+alu_u_FUTNEG+Araxu_u_3SN
ulYalAraru ulYu(V1)+alu_u_FUTNEG+Araru_u_3P
ulYalAraru ulYu(V1)+alu_u_FUTNEG+Araru_u_3SH
ulYalAravu ulYu(V1)+alu_u_FUTNEG+Aravu_u_3PN
ulYalAraxa ulYu(V1)+alu_u_NEG+Araxa_u_3
ulYaxa ulYu(V1)+axa_u_NFV_#_NEG
ulYaxeV ulYu(V1)+axeV_u_NFV_#_NEG
uwwarU ulYu(V1)+uwwarU_ulYu_NFV_#_CONS
ulYuwwA ulYu(V1)+uwwa_u_NFV+A_a_PRESCONT
uwwu ulYu(V1)+wwu_lYu_NFV_#_PERF
ulYali ulYu(V1)+ali_u_FUTOPT_#_3SM
ulYali ulYu(V1)+ali_u_FUTOPT_#_3SF
ulYali ulYu(V1)+ali_u_FUTOPT_#_3P
ulYali ulYu(V1)+ali_u_FUTOPT_#_3SH
ulYali ulYu(V1)+ali_u_FUTOPT_#_3SN
ulYali ulYu(V1)+ali_u_FUTOPT_#_3SM
ulYi ulYu(V1)+i_u_FUTPERM_2P
ulYi ulYu(V1)+i_u_FUTPERM_2SH
ulYaballa ulYu(V1)+ulYa_ulYu_AVY+balla_#_FUTINF_#_CAP
ulYaballanu ulYu(V1)+ulYa_ulYu_AVY+balla_#_FUTCAP+anu_a_3SM
ulYaballalYu ulYu(V1)+ulYa_ulYu_AVY+balla_#_FUTCAP+alYu_a_3SF
ulYaballaxu ulYu(V1)+ulYa_ulYu_AVY+balla_#_FUTCAP+axu_a_3SN
ulYaballaru ulYu(V1)+ulYa_ulYu_AVY+balla_#_FUTCAP+aru_a_3P
ulYaballaru ulYu(V1)+ulYa_ulYu_AVY+balla_#_FUTCAP+aru_a_3SH
ulYaballavu ulYu(V1)+ulYa_ulYu_AVY+balla_#_FUTCAP+avu_a_3PN
uwwAnu ulYu(V1)+wwa_lYu_FUTDUB+Anu_a_3SM  
uwwAlYu ulYu(V1)+wwa_lYu_FUTDUB+AlYu_a_3SF
uwwAru ulYu(V1)+wwa_lYu_FUTDUB+Aru_a_3P
uwwAru ulYu(V1)+wwa_lYu_FUTDUB+Aru_a_3SH
uwwIwu ulYu(V1)+wwa_lYu_FUTDUB+Iwu_a_3SN
uwwAvu ulYu(V1)+wwa_lYu_FUTDUB+Avu_a_3PN
uwwenu ulYu(V1)+wwa_lYu_FUTDUB+enu_a_1S
uwwevu ulYu(V1)+wwa_lYu_FUTDUB+evu_a_1P
uwwIyeV ulYu(V1)+wwa_lYu_FUTDUB+IyeV_a_2S
uwwIri ulYu(V1)+wwa_lYu_FUTDUB+Iri_a_2P
uwwIri ulYu(V1)+wwa_lYu_FUTDUB+Iri_a_2SH
uwwareV ulYu(V1)+wwa_lYu_NFV+areV_a_COND
uwwalli ulYu(V1)+wwa_lYu_NFV+alli_a_COND
ulYuvuxilla ulYu(V1)+lYuvuxu_lYu_AVY+illa_u_NEG
ulYabahuxu ulYu(V1)+lYa_lYu_AVY+bahuxu_#_FUTPOTEN
ulYalebeku ulYu(V1)+alu_u_COMP+e_u_AVY+beku_#_FUT
ulYuvavanu ulYu(V1)+va_#_PRP+avanu_a_3SM
ulYuvavalYu ulYu(V1)+va_#_PRP+avalYu_a_3FM
ulYuvavaru ulYu(V1)+va_#_PRP+avaru_a_3P
ulYaxavanu ulYu(V1)+axa_u_PRP+avanu_a_3SM
ulYaxavalYu ulYu(V1)+axa_u_PRP+avalYu_a_3FM
ulYaxavaru ulYu(V1)+axa_u_PRP+avaru_a_3P
uwwavanu ulYu(V1)+wwa_lYu_PRP+avanu_a_3SM 
uwwavalYu ulYu(V1)+wwa_lYu_PRP+avalYu_a_3FM 
uwwavaru ulYu(V1)+wwa_lYu_PRP+avaru_a_3P 
ulYalAraxavanu ulYu(V1)+lYalu_lYu_AVY+Araxa_u_PRP+avanu_a_3SM 
ulYalAraxavalYu ulYu(V1)+lYalu_lYu_AVY+Araxa_u_PRP+avalYu_a_3SF
ulYalAraxavaru ulYu(V1)+lYalu_lYu_AVY+Araxa_u_PRP+avaru_a_3P 
ulYuwwiruvavanu ulYu(V1)+lYuwwa_lYu_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM 
ulYuwwiruvavalYu ulYu(V1)+lYuwwa_lYu_AUX+wwiru_wwa_RP+va_#_PRP+avalYu_a_3FM
ulYuwwiruvavaru ulYu(V1)+lYuwwa_lYu_AUX+wwiru_wwa_RP+va_#_PRP+avaru_a_3P
ulYuwwiruvuxu ulYu(V1)+lYuwwa_lYu_AUX+wwiru_wwa_RP+va_#_PRP+uxu_a_3SN
ulYuwwiruvuvu ulYu(V1)+lYuwwa_lYu_AUX+wwiru_wwa_RP+va_#_PRP+uvu_a_3PN
ulYuwwiruva ulYu(V1)+lYuwwa_lYu_AUX+wwiru_wwa_RP+va_#_FUTPROG
ulYuwwixxavanu ulYu(V1)+lYuwwa_lYu_AUX+wwiru_wwa_RP+xxa_ru_PRP+avanu_a_3SM 
ulYuwwixxavalYu ulYu(V1)+lYuwwa_lYu_AUX+wwiru_wwa_RP+xxa_ru_PRP+avalYu_a_3FM 
ulYuwwixxavaru ulYu(V1)+lYuwwa_lYu_AUX+wwiru_wwa_RP+xxa_ru_PRP+avaru_a_3P 
ulYuwwixxu ulYu(V1)+lYuwwa_lYu_AUX+wwixxu_wwa_PRESPROG
ulYuwwixxavu ulYu(V1)+lYuwwa_lYu_AUX+wwiru_wwa_RP+xxa_ru_PRP+avu_a_3PN
ulYaliruvavanu ulYu(V1)+lYalu_lYu_AUX+liru_lu_RP+va_#_PRP+avanu_a_3SM
ulYaliruvavalYu ulYu(V1)+lYalu_lYu_AUX+liru_lu_RP+va_#_PRP+avalYu_a_3FM
ulYaliruvavaru ulYu(V1)+lYalu_lYu_AUX+liru_lu_RP+va_#_PRP+avaru_a_3P
ulYaliruvanu ulYu(V1)+lYalu_lYu_AUX+liruvanu_lu_3SM
ulYaliruvalYu ulYu(V1)+lYalu_lYu_AUX+liruvalYu_lu_3SF
ulYaliruvaru ulYu(V1)+lYalu_lYu_AUX+liruvaru_lu_3P
ulYaliruvaxu ulYu(V1)+lYalu_lYu_AUX+liruvaxu_lu_3SN
ulYaliruvavu ulYu(V1)+lYalu_lYu_AUX+liruvavu_lu_3PN
ulYaballavanu ulYu(V1)+lYa_lYu_#_AVY+ballavanu_#_3SM
ulYaballavalYu ulYu(V1)+lYa_lYu_#_AVY+ballavalYu_#_3SF
ulYaballavaru ulYu(V1)+lYa_lYu_#_AVY+ballavaru_#_3P
ulYaballaxu ulYu(V1)+lYa_lYu_#_AVY+ballaxu_#_3SN
ulYaballavu ulYu(V1)+lYa_lYu_#_AVY+ballavu_#_3PN
ulYuwwixxAneV ulYu(V1)+lYuwwa_lYu_AUX+wwixxAneV_wwa_3SM
ulYuwwixxAlYeV ulYu(V1)+lYuwwa_lYu_AUX+wwixxAlYeV_wwa_3FM
ulYuwwixxAreV ulYu(V1)+lYuwwa_lYu_AUX+wwixxAreV_wwa_3FM
ulYuwwixeV ulYu(V1)+lYuwwa_lYu_AUX+wwixeV_wwa_#_3SN
ulYuwwiveV ulYu(V1)+lYuwwa_lYu_AUX+wwiveV_wwa_#_3PN
ulYalpattiwu ulYu(V1)+lYalpadu_lYu_PAST+pattiwu_padu_3SN
ulYalpattavu ulYu(V1)+lYalpadu_lYu_PAST+pattavu_padu_3PN
ulYalpaduwwaxeV ulYu(V1)+lYalpadu_lYu_FUT+duwwaxeV_du_3SN
ulYalpaduwwaveV ulYu(V1)+lYalpadu_lYu_FUT+duwwaveV_du_3PN
ulYalpaduvuxu ulYu(V1)+lYalpadu_lYu_FUT+vuxu_#_3SN
ulYalpaduvuvu ulYu(V1)+lYalpadu_lYu_FUT+vuvu_#_3PN
ulYalpadaxu ulYu(V1)+lYalpadu_lYu_FUTNEG+daxu_du_3SN
ulYalpadavu ulYu(V1)+lYalpadu_lYu_FUTNEG+davu_du_3PN
ulYalpattIwu ulYu(V1)+lYalpadu_lYu_FUTDUB+ttIwu_du_3SN
ulYalpattAvu ulYu(V1)+lYalpadu_lYu_FUTDUB+ttAvu_du_3PN
ulYalpadabeku ulYu(V1)+lYalpada_lYu_#_AVY+beku_#_FUTIMP
ulYalpadabAraxu ulYu(V1)+lYalpada_lYu_#_AVY+bAraxu_#_NEGIMPR
ulYalpadakUdaxu ulYu(V1)+lYalpada_lYu_#_AVY+kUdaxu_#_NEGIMPR
ulYalpadali ulYu(V1)+lYalpadu_lYu_FUTOPT+dali_du_3SN
ulYalpadali ulYu(V1)+lYalpadu_lYu_FUTOPT+dali_du_3PN
ulYalpadaballa ulYu(V1)+lYalpada_lYu_#_AVY+balla_#_FUTCAP
ulYalpadaballaxu ulYu(V1)+lYalpada_lYu_#_AVY+ballaxu_#_FUTCAP
ulYalpadaballavu ulYu(V1)+lYalpada_lYu_#_AVY+ballavu_#_FUTCAP
ulYalpadabahuxu ulYu(V1)+lYalpada_lYu_#_AVY+bahuxu_#_FUTPOTEN|_#_3SN
ulYalpadabahuxu ulYu(V1)+lYalpada_lYu_#_AVY+bahuxu_#_FUTPOTEN|_#_3PN
ulYalpadabeku ulYu(V1)+lYalpada_lYu_#_AVY+beku_#_FUTCOMP
ulYalpadalebeku ulYu(V1)+lYalpada_lYu_#_AVY+lebeku_#_FUTCOMP
ulYalpadalAraxu ulYu(V1)+lYalpadu_lYu_FUTNEG+alAraxu_u_3SN
ulYalpadalAravu ulYu(V1)+lYalpadu_lYu_FUTNEG+alAravu_u_3PN
ulYalpadalAraxa ulYu(V1)+lYalpadu_lYu_NEG+alAraxa_u_3SN
ulYalpattarU ulYu(V1)+lYalpadu_lYu_FUTCOND+ttarU_du_NFV
ulYalpaduwwa ulYu(V1)+lYalpadu_lYu_PRESCONT+uwwa_u_NFV
ulYalpatta ulYu(V1)+lYalpadu_lYu_RP+tta_du_PAST
ulYalpadaxeV ulYu(V1)+lYalpadu_lYu_NEG+axeV_u_NFV		
ulYalpadaxa ulYu(V1)+lYalpadu_lYu_NEG+axa_u_NFV
ulYalpattu ulYu(V1)+lYalpadu_lYu_PAST+pattu_padu_NFV
ulYalpaduva ulYu(V1)+lYalpadu_lYu_FUT+va_#_RP
ulYalpadalu ulYu(V1)+lYalpadu_lYu_INFN+alu_u_FUTINCH
ulYalpadalikkeV ulYu(V1)+lYalpadu_lYu_INFN+alikkeV_u_FUTINCH
ulYalpattareV ulYu(V1)+lYalpadu_lYu_FUTCOND+pattareV_padu_NFV
ulYalpattalli ulYu(V1)+lYalpadu_lYu_FUTCOND+pattalli_padu_NFV
ulYalpaduwwiruva ulYu(V1)+lYalpadu_lYu_AUX+uwwiruva_u_RP
ulYalpaduwwixxa ulYu(V1)+lYalpadu_lYu_AUX+uwwixxa_u_RP
ulYalpaduwwaliruva ulYu(V1)+lYalpadu_lYu_AUX+uwwaliruva_u_RP
ulYalpaduwwirabekAxa ulYu(V1)+lYalpadu_lYu_AUX+uwwiru_u_AVY+abekAxa_u_3SN
uwwanA ulYu(V1)+wwanA_lYu_INTR
uwwalYA ulYu(V1)+wwalYA_lYu_INTR
uwwiwA ulYu(V1)+wwiwA_lYu_INTR
uwwarA ulYu(V1)+wwarA_lYu_INTR
uwwavA ulYu(V1)+wwavA_lYu_INTR
ulYuwwAnA ulYu(V1)+lYuwwAnA_lYu_INTR
ulYuwwAlYA ulYu(V1)+lYuwwAlYA_lYu_INTR
ulYuwwaxA ulYu(V1)+lYuwwaxA_lYu_INTR
ulYuvanA ulYu(V1)+lYuvanA_lYu_INTR
ulYuvalYA ulYu(V1)+lYuvalYA_lYu_INTR
ulYuvuxA ulYu(V1)+lYuvuxA_lYu_INTR
ulYuvarA ulYu(V1)+lYuvarA_lYu_INTR
ulYuvuvA ulYu(V1)+lYuvuvA_lYu_INTR
uwwiyA ulYu(V1)+wwiyA_lYu_INTR
uwwiriyA ulYu(V1)+wwiriyA_lYu_INTR
ulYuwwiyA ulYu(V1)+lYuwwiyA_lYu_INTR
ulYuwwIrA ulYu(V1)+lYuwwIrA_lYu_INTR
ulYuV1A ulYu(V1)+lYuV1A_lYu_INTR
ulYuV1rA ulYu(V1)+lYuV1rA_lYu_INTR
ulYuvuxuA ulYu(V1)+lYuvuxuA_lYu_INTR
ulYaluA ulYu(V1)+lYaluA_lYu_INTR
ulYalikkA ulYu(V1)+lYalikkA_lYu_INTR
ulYokA ulYu(V1)+lYokA_lYu_INTR
ulYabekA ulYu(V1)+lYabekA_lYu_INTR
ulYakUdaxA ulYu(V1)+lYakUdaxA_lYu_INTR
ulYabAraxA ulYu(V1)+lYabAraxA_lYu_INTR
ulYanA ulYu(V1)+lYanA_lYu_INTR
ulYalYA ulYu(V1)+lYalYA_lYu_INTR
ulYaxA ulYu(V1)+lYaxA_lYu_INTR
ulYarA ulYu(V1)+lYarA_lYu_INTR
ulYavA ulYu(V1)+lYavA_lYu_INTR
ulYalAreVvA ulYu(V1)+lYalAreVvA_lYu_INTR
ulYalAreVnA ulYu(V1)+lYalAreVnA_lYu_INTR
ulYalAririyA ulYu(V1)+lYalAririyA_lYu_INTR
ulYalAranA ulYu(V1)+lYalAranA_lYu_INTR
ulYalAralYA ulYu(V1)+lYalAralYA_lYu_INTR
ulYalAraxA ulYu(V1)+lYalAraxA_lYu_INTR
ulYalArarA ulYu(V1)+lYalArarA_lYu_INTR
ulYalAravA ulYu(V1)+lYalAravA_lYu_INTR
ulYaballanA ulYu(V1)+lYaballanA_lYu_INTR
ulYaballalYA ulYu(V1)+lYaballalYA_lYu_INTR
ulYaballaxA ulYu(V1)+lYaballaxA_lYu_INTR
ulYaballarA ulYu(V1)+lYaballarA_lYu_INTR
ulYaballavA ulYu(V1)+lYaballavA_lYu_INTR
ulYabahuxA ulYu(V1)+lYabahuxA_lYu_INTR
ulYalebekA ulYu(V1)+lYalebekA_lYu_INTR
ulYalpattiwA ulYu(V1)+lYalpattiwA_lYu_INTR
ulYalpattavA ulYu(V1)+lYalpattavA_lYu_INTR
ulYalpaduwwaxA ulYu(V1)+lYalpaduwwaxA_lYu_INTR
ulYalpaduwwavA ulYu(V1)+lYalpaduwwavA_lYu_INTR
ulYalpaduvuxA ulYu(V1)+lYalpaduvuxA_lYu_INTR
ulYalpaduvuvA ulYu(V1)+lYalpaduvuvA_lYu_INTR
ulYalpadaxA ulYu(V1)+lYalpadaxA_lYu_INTR
ulYalpadavA ulYu(V1)+lYalpadavA_lYu_INTR
ulYalpadabekA ulYu(V1)+lYalpadabekA_lYu_INTR
ulYalpadabArxA ulYu(V1)+lYalpadabArxA_lYu_INTR
ulYalpadakUdaxA ulYu(V1)+lYalpadakUdaxA_lYu_INTR
ulYalpadabahuxA ulYu(V1)+lYalpadabahuxA_lYu_INTR
ulYalpadalebekA ulYu(V1)+lYalpadalebekA_lYu_INTR
ulYalpadalAraxA ulYu(V1)+lYalpadalAraxA_lYu_INTR
ulYalpadalAravA ulYu(V1)+lYalpadalAravA_lYu_INTR
uwwane ulYu(V1)+wwane_lYu_INTR
uwwalYe ulYu(V1)+wwalYe_lYu_INTR
uwwiwe ulYu(V1)+wwiwe_lYu_INTR
uwware ulYu(V1)+wware_lYu_INTR
uwwave ulYu(V1)+wwave_lYu_INTR
ulYuwwAnye ulYu(V1)+lYuwwAnye_lYu_INTR
ulYuwwAlYe ulYu(V1)+lYuwwAlYe_lYu_INTR
ulYuwwaxeVye ulYu(V1)+lYuwwaxeVye_lYu_INTR
ulYuvane ulYu(V1)+lYuvane_lYu_INTR
ulYuvalYe ulYu(V1)+lYuvalYe_lYu_INTR
ulYuvuxe ulYu(V1)+lYuvuxe_lYu_INTR
ulYuvare ulYu(V1)+lYuvare_lYu_INTR
ulYuvuve ulYu(V1)+lYuvuve_lYu_INTR
uwwiye ulYu(V1)+wwiye_lYu_INTR
uwwiriye ulYu(V1)+wwiriye_lYu_INTR
ulYuwwiye ulYu(V1)+lYuwwiye_lYu_INTR
ulYuwwIre ulYu(V1)+lYuwwIre_lYu_INTR
ulYuV1ye ulYu(V1)+lYuV1ye_lYu_INTR
ulYuV1re ulYu(V1)+lYuV1re_lYu_INTR
ulYuvuxe ulYu(V1)+lYuvuxe_lYu_INTR
ulYale ulYu(V1)+lYale_lYu_INTR
ulYalikke ulYu(V1)+lYalikke_lYu_INTR
ulYabeke ulYu(V1)+lYabeke_lYu_INTR
ulYakUdaxe ulYu(V1)+lYakUdaxe_lYu_INTR
ulYabAraxe ulYu(V1)+lYabAraxe_lYu_INTR
ulYane ulYu(V1)+lYane_lYu_INTR
ulYalYe ulYu(V1)+lYalYe_lYu_INTR
ulYaxe ulYu(V1)+lYaxe_lYu_INTR
ulYare ulYu(V1)+lYare_lYu_INTR
ulYave ulYu(V1)+lYave_lYu_INTR
ulYalAreVve ulYu(V1)+lYalAreVve_lYu_INTR
ulYalAreVne ulYu(V1)+lYalAreVne_lYu_INTR
ulYalAririye ulYu(V1)+lYalAririye_lYu_INTR
ulYalArane ulYu(V1)+lYalArane_lYu_INTR
ulYalAralYe ulYu(V1)+lYalAralYe_lYu_INTR
ulYalAraxe ulYu(V1)+lYalAraxe_lYu_INTR
ulYalArare ulYu(V1)+lYalArare_lYu_INTR
ulYalArave ulYu(V1)+lYalArave_lYu_INTR
ulYaballane ulYu(V1)+lYaballane_lYu_INTR
ulYaballalYe ulYu(V1)+lYaballalYe_lYu_INTR
ulYaballaxe ulYu(V1)+lYaballaxe_lYu_INTR
ulYaballare ulYu(V1)+lYaballare_lYu_INTR
ulYaballave ulYu(V1)+lYaballave_lYu_INTR
ulYabahuxe ulYu(V1)+lYabahuxe_lYu_INTR
ulYalebeke ulYu(V1)+lYalebeke_lYu_INTR
ulYalpattiwe ulYu(V1)+lYalpattiwe_lYu_INTR
ulYalpattave ulYu(V1)+lYalpattave_lYu_INTR
ulYalpaduwwaxye ulYu(V1)+lYalpaduwwaxye_lYu_INTR
ulYalpaduwwavye ulYu(V1)+lYalpaduwwavye_lYu_INTR
ulYalpaduvuxe ulYu(V1)+lYalpaduvuxe_lYu_INTR
ulYalpaduvuve ulYu(V1)+lYalpaduvuve_lYu_INTR
ulYalpadaxe ulYu(V1)+lYalpadaxe_lYu_INTR
ulYalpadave ulYu(V1)+lYalpadave_lYu_INTR
ulYalpadabeke ulYu(V1)+lYalpadabeke_lYu_INTR
ulYalpadabArxe ulYu(V1)+lYalpadabArxe_lYu_INTR
ulYalpadakUdaxe ulYu(V1)+lYalpadakUdaxe_lYu_INTR
ulYalpadaballaxe ulYu(V1)+lYalpadaballaxe_lYu_INTR
ulYalpadabahuxe ulYu(V1)+lYalpadabahuxe_lYu_INTR
ulYalpadalebeke ulYu(V1)+lYalpadalebeke_lYu_INTR
ulYalpadalAraxe ulYu(V1)+lYalpadalAraxe_lYu_INTR
ulYalpadalArave ulYu(V1)+lYalpadalArave_lYu_INTR
uwwano ulYu(V1)+wwano_lYu_INDF
uwwalYo ulYu(V1)+wwalYo_lYu_INDF
uwwiwo ulYu(V1)+wwiwo_lYu_INDF
uwwaro ulYu(V1)+wwaro_lYu_INDF
uwwavo ulYu(V1)+wwavo_lYu_INDF
ulYuwwAno ulYu(V1)+lYuwwAno_lYu_INDF
ulYuwwAlYo ulYu(V1)+lYuwwAlYo_lYu_INDF
ulYuwwadeVyo ulYu(V1)+lYuwwadeVyo_lYu_INDF
ulYuvano ulYu(V1)+lYuvano_lYu_INDF
ulYuvalYo ulYu(V1)+lYuvalYo_lYu_INDF
ulYuvuxo ulYu(V1)+lYuvuxo_lYu_INDF
ulYuvaro ulYu(V1)+lYuvaro_lYu_INDF
ulYuvuvo ulYu(V1)+lYuvuvo_lYu_INDF
ulYuvuxo ulYu(V1)+lYuvuxo_lYu_INDF
ulYalo ulYu(V1)+lYalo_lYu_INDF
ulYalikko ulYu(V1)+lYalikko_lYu_INDF
ulYabeko ulYu(V1)+lYabeko_lYu_INDF
ulYakUdaxo ulYu(V1)+lYakUdaxo_lYu_INDF
ulYabAraxo ulYu(V1)+lYabAraxo_lYu_INDF
ulYano ulYu(V1)+lYano_lYu_INDF
ulYalYo ulYu(V1)+lYalYo_lYu_INDF
ulYaxo ulYu(V1)+lYaxo_lYu_INDF
ulYaro ulYu(V1)+lYaro_lYu_INDF
ulYavo ulYu(V1)+lYavo_lYu_INDF
ulYalArano ulYu(V1)+lYalArano_lYu_INDF
ulYalAralYo ulYu(V1)+lYalAralYo_lYu_INDF
ulYalAraxo ulYu(V1)+lYalAraxo_lYu_INDF
ulYalAraro ulYu(V1)+lYalAraro_lYu_INDF
ulYalAravo ulYu(V1)+lYalAravo_lYu_INDF
ulYaballano ulYu(V1)+lYaballano_lYu_INDF
ulYaballalYo ulYu(V1)+lYaballalYo_lYu_INDF
ulYaballaxo ulYu(V1)+lYaballaxo_lYu_INDF
ulYaballaro ulYu(V1)+lYaballaro_lYu_INDF
ulYaballavo ulYu(V1)+lYaballavo_lYu_INDF
ulYalpattiwo ulYu(V1)+lYalpattiwo_lYu_INDF
ulYalpattavo ulYu(V1)+lYalpattavo_lYu_INDF
ulYalpaduwwaxo ulYu(V1)+lYalpaduwwaxo_lYu_INDF
ulYalpaduwwaveyo ulYu(V1)+lYalpaduwwaveyo_lYu_INDF
ulYalpaduvuxo ulYu(V1)+lYalpaduvuxo_lYu_INDF
ulYalpaduvuvo ulYu(V1)+lYalpaduvuvo_lYu_INDF
ulYalpadaxo ulYu(V1)+lYalpadaxo_lYu_INDF
ulYalpadavo ulYu(V1)+lYalpadavo_lYu_INDF
ulYalpadabeko ulYu(V1)+lYalpadabeko_lYu_INDF
ulYalpadabAraxo ulYu(V1)+lYalpadabAraxo_lYu_INDF
ulYalpadakUdaxo ulYu(V1)+lYalpadakUdaxo_lYu_INDF
ulYalpadalo ulYu(V1)+lYalpadalo_lYu_INDF
ulYalpadaballaxo ulYu(V1)+lYalpadaballaxo_lYu_INDF
ulYalpadabahuxo ulYu(V1)+lYalpadabahuxo_lYu_INDF
ulYalpadalebeko ulYu(V1)+lYalpadalebeko_lYu_INDF
ulYalpadalAraxo ulYu(V1)+lYalpadalAraxo_lYu_INDF
ulYalpadalAravo ulYu(V1)+lYalpadalAravo_lYu_INDF
ulYalpaduwwaxo ulYu(V1)+lYalpaduwwaxo_lYu_INDF
ulYalpadaxeVyo ulYu(V1)+lYalpadaxeVyo_lYu_INDF
ulYalpatto ulYu(V1)+lYalpatto_lYu_INDF
ulYalpadalo ulYu(V1)+lYalpadalo_lYu_INDF
ulYalpadalikko ulYu(V1)+lYalpadalikko_lYu_INDF
ulYalpattaro ulYu(V1)+lYalpattaro_lYu_INDF
ulYalpattalliyo ulYu(V1)+lYalpattalliyo_lYu_INDF
ulYuvuxe ulYu(V1)+lYuvuxe_lYu_IMP
ulYuvuxakkeVye ulYu(V1)+lYuvuxakkeVye_lYu_IMP
ulYale ulYu(V1)+lYale_lYu_IMPH
ulYalikke ulYu(V1)+lYalikke_lYu_IMP
ulYalikkye ulYu(V1)+lYalikkye_lYu_IMP
ulYuwwale ulYu(V1)+lYuwwale_lYu_IMP
uwwe ulYu(V1)+wwe_lYu_IMP
ulYalpaduvuxe ulYu(V1)+lYalpaduvuxe_lYu_IMP
ulYalpaduvuxakkeye ulYu(V1)+lYalpaduvuxakkeye_lYu_IMP
ulYalpatte ulYu(V1)+lYalpatte_lYu_IMP
ulYalpaduwwale ulYu(V1)+lYalpaduwwale_lYu_IMP
ulYuvuxU ulYu(V1)+lYuvuxU_lYu_INCL
uwwU ulYu(V1)+wwU_lYu_INCL
ulYalU ulYu(V1)+lYalU_lYu_INCL
ulYalikkyU ulYu(V1)+lYalikkyU_lYu_INCL
ulYalikkU ulYu(V1)+lYalikkU_lYu_INCL
