oVNagisixanu oVNagisu(V34)+ixa_u_PAST+anu_a_3SM   
oVNagisixiri oVNagisu(V34)+ixa_u_PAST+iri_a_2P
oVNagisixiri oVNagisu(V34)+ixa_u_PAST+iri_a_2SH
oVNagisuwwi  oVNagisu(V34)+uwwa_u_FUT+wwi_wwa_2S
oVNagisuwwIri oVNagisu(V34)+uwwa_u_FUT+wwIri_wwa_2P
oVNagisuwwIri oVNagisu(V34)+uwwa_u_FUT+wwIri_wwa_2SH
oVNagisuviri oVNagisu(V34)+va_#_FUT+viri_va_2P
oVNagisuviri oVNagisu(V34)+va_#_FUT+viri_va_2SH
oVNagisuva oVNagisu(V34)+va_#_FUT_#_RP
oVNagisixa oVNagisu(V34)+ixa_u_PAST_#_RP
oVNagisalu oVNagisu(V34)+alu_u_INFN_#_INCH
oVNagisalikkeV oVNagisu(V34)+alikkeV_u_INFN_#_INCH
oVNagisokeV oVNagisu(V34)+okeV_u_INFN_#_INCH
oVNagisabeku oVNagisu(V34)+a_u_AVY+beku_#_FUT_#_IMPR
oVNagisakUdaxu oVNagisu(V34)+a_u_AVY+kUdaxu_#_FUT_#_NEGIMPR
oVNagisabaraxu oVNagisu(V34)+a_u_AVY+baraxu_#_FUT_#_NEGIMPR
oVNagisanu oVNagisu(V34)+anu_u_FUTNEG_#_3SM
oVNagisalYu oVNagisu(V34)+alYu_u_FUTNEG_#_3SF
oVNagisaxu oVNagisu(V34)+axu_u_FUTNEG_#_3SN
oVNagisaru oVNagisu(V34)+aru_u_FUTNEG_#_3P
oVNagisaru oVNagisu(V34)+aru_u_FUTNEG_#_3SH
oVNagisavu oVNagisu(V34)+avu_u_FUTNEG_#_3PN
oVNagisalAreV oVNagisu(V34)+alu_u_FUTNEG+AreV_u_1S
oVNagisalAreVvu oVNagisu(V34)+alu_u_FUTNEG+AreVvu_u_1P
oVNagisalAreVnu oVNagisu(V34)+alu_u_FUTNEG+AreVnu_u_2S
oVNagisalAriri oVNagisu(V34)+alu_u_FUTNEG+Ariri_u_2P
oVNagisalAriri oVNagisu(V34)+alu_u_FUTNEG+Ariri_u_2SH
oVNagisalAranu oVNagisu(V34)+alu_u_FUTNEG+Aranu_u_3SM
oVNagisalAralYu oVNagisu(V34)+alu_u_FUTNEG+AralYu_u_3SF
oVNagisalAraxu oVNagisu(V34)+alu_u_FUTNEG+Araxu_u_3SN
oVNagisalAraru oVNagisu(V34)+alu_u_FUTNEG+Araru_u_3P
oVNagisalAraru oVNagisu(V34)+alu_u_FUTNEG+Araru_u_3SH
oVNagisalAravu oVNagisu(V34)+alu_u_FUTNEG+Aravu_u_3PN
oVNagisalArxa oVNagisu(V34)+alu_u_NEG+Arxa_u_3
oVNagisaxa oVNagisu(V34)+axa_u_NFV_#_NEG
oVNagisaxeV oVNagisu(V34)+axeV_u_NFV_#_NEG
oVNagisixarU oVNagisu(V34)+ixarU_u_NFV_#_CONS
oVNagisuwwA oVNagisu(V34)+uwwa_u_NFV+A_a_PRESCONT
oVNagisi oVNagisu(V34)+i_u_NFV_#_PASTPERF
oVNagisali oVNagisu(V34)+ali_u_FUTOPT_#_3SM
oVNagisali oVNagisu(V34)+ali_u_FUTOPT_#_3SF
oVNagisali oVNagisu(V34)+ali_u_FUTOPT_#_3P
oVNagisali oVNagisu(V34)+ali_u_FUTOPT_#_3SH
oVNagisali oVNagisu(V34)+ali_u_FUTOPT_#_3SN
oVNagisali oVNagisu(V34)+ali_u_FUTOPT_#_3SM
oVNagisaballa oVNagisu(V34)+oVNagisa_oVNagisu_AVY+balla_#_FUTINF_#_CAP
oVNagisaballanu oVNagisu(V34)+oVNagisa_oVNagisu_AVY+balla_#_FUTCAP+anu_a_3SM
oVNagisaballalYu oVNagisu(V34)+oVNagisa_oVNagisu_AVY+balla_#_FUTCAP+alYu_a_3SF
oVNagisaballaxu oVNagisu(V34)+oVNagisa_oVNagisu_AVY+balla_#_FUTCAP+axu_a_3SN
oVNagisaballaru oVNagisu(V34)+oVNagisa_oVNagisu_AVY+balla_#_FUTCAP+aru_a_3P
oVNagisaballaru oVNagisu(V34)+oVNagisa_oVNagisu_AVY+balla_#_FUTCAP+aru_a_3SH
oVNagisaballavu oVNagisu(V34)+oVNagisa_oVNagisu_AVY+balla_#_FUTCAP+avu_a_3PN
oVNagisiyAnu oVNagisu(V34)+iya_u_FUTDUB+Anu_a_3SM
oVNagisiyAlYu oVNagisu(V34)+iya_u_FUTDUB+AlYu_a_3SF
oVNagisiyAru oVNagisu(V34)+iya_u_FUTDUB+Aru_a_3P
oVNagisiyAru oVNagisu(V34)+iya_u_FUTDUB+Aru_a_3SH
oVNagisIwu oVNagisu(V34)+iya_u_FUTDUB+Iwu_iya_3SN
oVNagisiyAvu oVNagisu(V34)+iya_u_FUTDUB+Avu_a_3PN
oVNagisiyenu oVNagisu(V34)+iya_u_FUTDUB+enu_a_1S
oVNagisiyevu oVNagisu(V34)+iya_u_FUTDUB+evu_a_1P
oVNagisuvIyeV oVNagisu(V34)+iya_#_FUTDUB+vIyeV_iya_2S
oVNagisIri oVNagisu(V34)+iya_u_FUTDUB+Iri_iya_2P
oVNagisIri oVNagisu(V34)+iya_u_FUTDUB+Iri_iya_2SH
oVNagisixareV oVNagisu(V34)+ixa_u_NFV+areV_a_COND
oVNagisixalli oVNagisu(V34)+ixa_u_NFV+alli_a_COND
oVNagisuvuxilla oVNagisu(V34)+vuxu_#_AVY+illa_u_NEG
oVNagisabahuxu oVNagisu(V34)+a_u_AVY+bahuxu_#_FUTPOTEN
oVNagisalebeku oVNagisu(V34)+alu_u_COMP+e_u_AVY+beku_#_FUT
oVNagisuvavanu oVNagisu(V34)+va_#_PRP+avanu_a_3SM
oVNagisuvavalYu oVNagisu(V34)+va_#_PRP+avalYu_a_3FM
oVNagisuvavaru oVNagisu(V34)+va_#_PRP+avaru_a_3P
oVNagisaxavanu oVNagisu(V34)+axa_u_PRP+avanu_a_3SM
oVNagisaxavalYu oVNagisu(V34)+axa_u_PRP+avalYu_a_3FM
oVNagisaxavaru oVNagisu(V34)+axa_u_PRP+avaru_a_3P
oVNagisixavanu oVNagisu(V34)+ixa_u_PRP+avanu_a_3SM 
oVNagisixavalYu oVNagisu(V34)+ixa_u_PRP+avalYu_a_3FM 
oVNagisixavaru oVNagisu(V34)+ixa_u_PRP+avaru_a_3P 
oVNagisalAraxavanu oVNagisu(V34)+alu_u_AVY+Araxa_u_PRP+avanu_a_3SM 
oVNagisalAraxavalYu oVNagisu(V34)+alu_u_AVY+Araxa_u_PRP+avalYu_a_3SF
oVNagisalAraxavaru oVNagisu(V34)+alu_u_AVY+Araxa_u_PRP+avaru_a_3P 
oVNagisuwwiruvavanu oVNagisu(V34)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM
oVNagisuwwiruvavalYu oVNagisu(V34)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avalYu_a_3SF
oVNagisuwwiruvavaru oVNagisu(V34)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avaru_a_3P
oVNagisuwwiruvuxu oVNagisu(V34)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uxu_a_3SN
oVNagisuwwiruvuvu oVNagisu(V34)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uvu_a_3PN
oVNagisuwwiruva oVNagisu(V34)+uwwa_u_AUX+wwiru_wwa_RP+va_#_FUTPROG
oVNagisuwwiruvavanu oVNagisu(V34)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM 
oVNagisuwwiruvavalYu oVNagisu(V34)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avalYu_a_3FM 
oVNagisuwwiruvavaru oVNagisu(V34)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avaru_a_3P 
oVNagisuwwixxu oVNagisu(V34)+uwwa_u_AUX+wwixxu_wwa_PRESPROG
oVNagisuwwixxavu oVNagisu(V34)+uwwa_u_AUX+wwiru_wwa_RP+xxa_ru_PRP+avu_a_3PN
oVNagisaliruvavanu oVNagisu(V34)+alu_u_AUX+liru_lu_RP+va_#_PRP+avanu_a_3SM
oVNagisaliruvavalYu oVNagisu(V34)+alu_u_AUX+liru_lu_RP+va_#_PRP+avalYu_a_3FM
oVNagisaliruvavaru oVNagisu(V34)+alu_u_AUX+liru_lu_RP+va_#_PRP+avaru_a_3P
oVNagisaliruvanu oVNagisu(V34)+alu_u_AUX+liruvanu_lu_3SM
oVNagisaliruvalYu oVNagisu(V34)+alu_u_AUX+liruvalYu_lu_3SF
oVNagisaliruvaru oVNagisu(V34)+alu_u_AUX+liruvaru_lu_3P
oVNagisaliruvaxu oVNagisu(V34)+alu_u_AUX+liruvaxu_lu_3SN
oVNagisaliruvavu oVNagisu(V34)+alu_u_AUX+liruvavu_lu_3PN
oVNagisaballavanu oVNagisu(V34)+a_u_AVY+ballavanu_#_3SM
oVNagisaballavalYu oVNagisu(V34)+a_u_#_AVY+ballavalYu_#_3SF
oVNagisaballavaru oVNagisu(V34)+a_u_AVY+ballavaru_#_3P
oVNagisaballaxu oVNagisu(V34)+a_u_AVY+ballaxu_#_3SN
oVNagisaballavu oVNagisu(V34)+a_u_AVY+ballavu_#_3PN
oVNagisuwwixxAneV oVNagisu(V34)+uwwa_u_AUX+wwixxAneV_wwa_3SM
oVNagisuwwixxAlYeV oVNagisu(V34)+uwwa_u_AUX+wwixxAlYeV_wwa_3FM
oVNagisuwwixxAreV oVNagisu(V34)+uwwa_u_AUX+wwixxAreV_wwa_3P
oVNagisuwwixeV oVNagisu(V34)+uwwa_u_AUX+wwixeV_wwa_3SN
oVNagisuwwiveV oVNagisu(V34)+uwwa_u_AUX+wwiveV_wwa_3PN
oVNagisalpattanu oVNagisu(V34)+alpadu_u_PAST+pattanu_padu_3SM
oVNagisalpattalYu oVNagisu(V34)+alpadu_u_PAST+pattalYu_padu_3SF
oVNagisalpattiwu oVNagisu(V34)+alpadu_u_PAST+pattiwu_padu_3P
oVNagisalpattaru oVNagisu(V34)+alpadu_u_PAST+pattaru_padu_3SH
oVNagisalpattiwu oVNagisu(V34)+alpadu_u_PAST+pattiwu_padu_3SN
oVNagisalpattavu oVNagisu(V34)+alpadu_u_PAST+pattavu_padu_3PN
oVNagisalpaduwwaxeV oVNagisu(V34)+alpadu_u_FUT+duwwaxeV_du_3SN
oVNagisalpaduwwaveV oVNagisu(V34)+alpadu_u_FUT+duwwaveV_du_3PN
oVNagisalpaduvuxu oVNagisu(V34)+alpadu_u_FUT+vuxu_#_3SN
oVNagisalpaduvuvu oVNagisu(V34)+alpadu_u_FUT+vuvu_#_3PN
oVNagisalpadanu oVNagisu(V34)+alpadu_u_FUTNEG+danu_du_3SM
oVNagisalpadalYu oVNagisu(V34)+alpadu_u_FUTNEG+dalYu_du_3SF
oVNagisalpadaru oVNagisu(V34)+alpadu_u_FUTNEG+daru_du_3P
oVNagisalpadaru oVNagisu(V34)+alpadu_u_FUTNEG+daru_du_3SH
oVNagisalpadaxu oVNagisu(V34)+alpadu_u_FUTNEG+daxu_du_3SN
oVNagisalpadavu oVNagisu(V34)+alpadu_u_FUTNEG+davu_du_3PN

oVNagisalpattAnu oVNagisu(V34)+alpadu_u_FUTDUB+pattAnu_padu_3SM
oVNagisalpattAlYu oVNagisu(V34)+alpadu_u_FUTDUB+pattAlYu_padu_3SF
oVNagisalpattAru oVNagisu(V34)+alpadu_u_FUTDUB+pattAru_padu_3P
oVNagisalpattAru oVNagisu(V34)+alpadu_u_FUTDUB+pattAru_padu_3SH
oVNagisalpattIwu oVNagisu(V34)+alpadu_u_FUTDUB+ttIwu_du_3SN
oVNagisalpattAvu oVNagisu(V34)+alpadu_u_FUTDUB+pattAvu_padu_3PN

oVNagisalpadabeku oVNagisu(V34)+alpada_u_#_AVY+beku_#_FUTIMP
oVNagisalpadabAraxu oVNagisu(V34)+alpada_u_#_AVY+bAraxu_#_NEGIMPR
oVNagisalpadakUdaxu oVNagisu(V34)+alpada_u_#_AVY+kUdaxu_#_NEGIMPR
oVNagisalpadali oVNagisu(V34)+alpadu_u_FUTOPT+dali_du_3SN
oVNagisalpadali oVNagisu(V34)+alpadu_u_FUTOPT+dali_du_3PN
oVNagisalpadaballa oVNagisu(V34)+alpada_u_AVY+balla_#_FUTCAP
oVNagisalpadaballaxu oVNagisu(V34)+alpada_u_AVY+ballaxu_#_FUTCAP
oVNagisalpadaballavu oVNagisu(V34)+alpada_u_AVY+ballavu_#_FUTCAP
oVNagisalpadabahuxu oVNagisu(V34)+alpada_u_AVY+bahuxu_#_FUTPOTEN_#_3SN
oVNagisalpadabahuxu oVNagisu(V34)+alpada_u_AVY+bahuxu_#_FUTPOTEN_#_3PN
oVNagisalpadabeku oVNagisu(V34)+alpada_u_AVY+beku_#_FUTCOMP
oVNagisalpadalebeku oVNagisu(V34)+alpada_u_AVY+lebeku_#_FUTCOMP
oVNagisalpadalAraxu oVNagisu(V34)+alpadu_u_FUTNEG+alAraxu_u_3SN
oVNagisalpadalAravu oVNagisu(V34)+alpadu_u_FUTNEG+alAravu_u_3PN
oVNagisalpadalAraxa oVNagisu(V34)+alpadu_u_NEG+alAraxa_u_3SN
oVNagisalpattarU oVNagisu(V34)+alpadu_u_FUTCOND+pattarU_padu_NFV
oVNagisalpaduwwa oVNagisu(V34)+alpadu_u_PRESCONT+uwwa_u_NFV
oVNagisalpatta oVNagisu(V34)+alpadu_u_RP+patta_padu_PAST
oVNagisalpadaxeV oVNagisu(V34)+alpadu_u_NEG+axeV_u_NFV	
oVNagisalpadaxa oVNagisu(V34)+alpadu_u_NEG+axa_u_NFV
oVNagisalpattu oVNagisu(V34)+alpadu_u_PAST+pattu_padu_NFV
oVNagisalpaduva oVNagisu(V34)+alpadu_u_FUT+va_#_RP
oVNagisalpadalu oVNagisu(V34)+alpadu_u_INFN+alu_u_FUTINCH
oVNagisalpadalikkeV oVNagisu(V34)+alpadu_u_INFN+alikkeV_u_FUTINCH
oVNagisalpattareV oVNagisu(V34)+alpadu_u_FUTCOND+pattareV_padu_NFV
oVNagisalpattalli oVNagisu(V34)+alpadu_u_FUTCOND+pattalli_padu_NFV
oVNagisalpaduwwiruva oVNagisu(V34)+alpadu_u_AUX+uwwiruva_u_RP
oVNagisalpaduwwixxa oVNagisu(V34)+alpadu_u_AUX+uwwixxa_u_RP
oVNagisalpaduwwaliruva oVNagisu(V34)+alpadu_u_AUX+uwwaliruva_u_RP
oVNagisalpaduwwirabekaxa oVNagisu(V34)+alpadu_u_AUX+uwwiru_u_AVY+abekaxa_u_3SN
oVNagisixanA oVNagisu(V34)+ixanA_u_INTR
oVNagisixalYA oVNagisu(V34)+ixalYA_u_INTR
oVNagisiwA oVNagisu(V34)+iwA_u_INTR
oVNagisixarA oVNagisu(V34)+ixarA_u_INTR
oVNagisixavA oVNagisu(V34)+ixavA_u_INTR
oVNagisuwwAnA oVNagisu(V34)+uwwAnA_u_INTR
oVNagisuwwAlYA oVNagisu(V34)+uwwAlYA_u_INTR
oVNagisuwwaxA oVNagisu(V34)+uwwaxA_u_INTR
oVNagisuvanA oVNagisu(V34)+vanA_#_INTR
oVNagisuvalYA oVNagisu(V34)+valYA_#_INTR
oVNagisuvuxA oVNagisu(V34)+vuxA_#_INTR
oVNagisuvarA oVNagisu(V34)+varA_#_INTR
oVNagisuvuvA oVNagisu(V34)+vuvA_#_INTR
oVNagisuwwiyA oVNagisu(V34)+uwwiyA_u_INTR
oVNagisuwwiriyA oVNagisu(V34)+uwwiriyA_u_INTR
oVNagisuwwIrA oVNagisu(V34)+uwwIrA_u_INTR
oVNagisuviyA oVNagisu(V34)+viyA_#_INTR
oVNagisuvirA oVNagisu(V34)+virA_#_INTR
oVNagisuvuxa oVNagisu(V34)+vuxa_#_INTR
oVNagisalA oVNagisu(V34)+alA_u_INTR
oVNagisokA oVNagisu(V34)+okA_u_INTR
oVNagisabekA oVNagisu(V34)+abekA_u_INTR
oVNagisakUdaxA oVNagisu(V34)+akUdaxA_u_INTR
oVNagisaballaxa oVNagisu(V34)+aballaxa_u_INTR
oVNagisanA oVNagisu(V34)+anA_u_INTR
oVNagisalYA oVNagisu(V34)+alYA_u_INTR
oVNagisaxa oVNagisu(V34)+axa_u_INTR
oVNagisarA oVNagisu(V34)+arA_u_INTR
oVNagisavA oVNagisu(V34)+avA_u_INTR
oVNagisalAreVvA oVNagisu(V34)+alAreVvA_u_INTR
oVNagisalAreVnA oVNagisu(V34)+alAreVnA_u_INTR
oVNagisalAririyA oVNagisu(V34)+alAririyA_u_INTR
oVNagisalAranA oVNagisu(V34)+alAranA_u_INTR
oVNagisalAralYA oVNagisu(V34)+alAralYA_u_INTR
oVNagisalAraxa oVNagisu(V34)+alAraxa_u_INTR
oVNagisalArarA oVNagisu(V34)+alArarA_u_INTR
oVNagisalAravA oVNagisu(V34)+alAravA_u_INTR
oVNagisaballanA oVNagisu(V34)+aballanA_u_INTR
oVNagisaballalYA oVNagisu(V34)+aballalYA_u_INTR
oVNagisaballaxa oVNagisu(V34)+aballaxa_u_INTR
oVNagisaballarA oVNagisu(V34)+aballarA_u_INTR
oVNagisaballavA oVNagisu(V34)+aballavA_u_INTR
oVNagisabahuxa oVNagisu(V34)+abahuxa_u_INTR
oVNagisalebekA oVNagisu(V34)+alebekA_u_INTR
oVNagisalpattiwA oVNagisu(V34)+alpattiwA_u_INTR
oVNagisalpattavA oVNagisu(V34)+alpattavA_u_INTR
oVNagisalpaduwwaxa oVNagisu(V34)+alpaduwwaxa_u_INTR
oVNagisalpaduwwavA oVNagisu(V34)+alpaduwwavA_u_INTR
oVNagisalpaduvuxa oVNagisu(V34)+alpaduvuxa_u_INTR
oVNagisalpaduvuvA oVNagisu(V34)+alpaduvuvA_u_INTR
oVNagisalpadaxa oVNagisu(V34)+alpadaxa_u_INTR
oVNagisalpadavA oVNagisu(V34)+alpadavA_u_INTR
oVNagisalpadabekA oVNagisu(V34)+alpadabekA_u_INTR
oVNagisalpadabarAxA oVNagisu(V34)+alpadabarAxA_u_INTR
oVNagisalpadakUdaxA oVNagisu(V34)+alpadakUdaxA_u_INTR
oVNagisalpadabahuxdA oVNagisu(V34)+alpadabahuxdA_u_INTR
oVNagisalpadalebekA oVNagisu(V34)+alpadalebekA_u_INTR
oVNagisalpadalAraxA oVNagisu(V34)+alpadalAraxA_u_INTR
oVNagisalpadalAravA oVNagisu(V34)+alpadalAravA_u_INTR
oVNagisixane oVNagisu(V34)+ixane_u_INTR
oVNagisixalYe oVNagisu(V34)+ixalYe_u_INTR
oVNagisuwwiwe oVNagisu(V34)+wwiwe_#_INTR
oVNagisixare oVNagisu(V34)+ixare_u_INTR
oVNagisixave oVNagisu(V34)+ixave_u_INTR
oVNagisuwwAnye oVNagisu(V34)+uwwAnye_u_INTR
oVNagisuwwAlYe oVNagisu(V34)+uwwAlYe_u_INTR
oVNagisuwwaxeVye oVNagisu(V34)+uwwaxeVye_u_INTR
oVNagisuvane oVNagisu(V34)+vane_#_INTR
oVNagisuvalYe oVNagisu(V34)+valYe_#_INTR
oVNagisuvuxe oVNagisu(V34)+vuxe_#_INTR
oVNagisuvare oVNagisu(V34)+vare_#_INTR
oVNagisuvuve oVNagisu(V34)+vuve_#_INTR
oVNagisuwwiriye oVNagisu(V34)+wwiriye_#_INTR
oVNagisuwwiye oVNagisu(V34)+uwwiye_u_INTR
oVNagisuwwIre oVNagisu(V34)+uwwIre_u_INTR
oVNagisuviye oVNagisu(V34)+viye_#_INTR
oVNagisuvire oVNagisu(V34)+vire_#_INTR
oVNagisuvuxe oVNagisu(V34)+vuxe_#_INTR
oVNagisale oVNagisu(V34)+ale_u_INTR
oVNagisalikke oVNagisu(V34)+alikke_u_INTR
oVNagisabeke oVNagisu(V34)+abeke_u_INTR
oVNagisakUdaxe oVNagisu(V34)+akUdaxe_u_INTR
oVNagisaoVNagisaxe oVNagisu(V34)+aoVNagisaxe_u_INTR
oVNagisane oVNagisu(V34)+ane_u_INTR
oVNagisalYe oVNagisu(V34)+alYe_u_INTR
oVNagisaxe oVNagisu(V34)+axe_u_INTR
oVNagisare oVNagisu(V34)+are_u_INTR
oVNagisave oVNagisu(V34)+ave_u_INTR
oVNagisalAreVve oVNagisu(V34)+alAreVve_u_INTR
oVNagisalAreVne oVNagisu(V34)+alAreVne_u_INTR
oVNagisalAririye oVNagisu(V34)+alAririye_u_INTR
oVNagisalArane oVNagisu(V34)+alArane_u_INTR
oVNagisalAralYe oVNagisu(V34)+alAralYe_u_INTR
oVNagisalAraxe oVNagisu(V34)+alAraxe_u_INTR
oVNagisalArare oVNagisu(V34)+alArare_u_INTR
oVNagisalArave oVNagisu(V34)+alArave_u_INTR
oVNagisaoVNagisane oVNagisu(V34)+aoVNagisane_u_INTR
oVNagisaoVNagisalYe oVNagisu(V34)+aoVNagisalYe_u_INTR
oVNagisaoVNagisaxe oVNagisu(V34)+aoVNagisaxe_u_INTR
oVNagisaoVNagisare oVNagisu(V34)+aoVNagisare_u_INTR
oVNagisaoVNagisave oVNagisu(V34)+aoVNagisave_u_INTR
oVNagisabahuxe oVNagisu(V34)+abahuxe_u_INTR
oVNagisalebeke oVNagisu(V34)+alebeke_u_INTR
oVNagisalpattiwe oVNagisu(V34)+alpattiwe_u_INTR
oVNagisalpattave oVNagisu(V34)+alpattave_u_INTR
oVNagisalpadaxe oVNagisu(V34)+alpadaxe_u_INTR
oVNagisalpadave oVNagisu(V34)+alpadave_u_INTR
oVNagisalpaduvuxe oVNagisu(V34)+alpaduvuxe_u_INTR
oVNagisalpaduvuve oVNagisu(V34)+alpaduvuve_u_INTR
oVNagisalpadaxe oVNagisu(V34)+alpadaxe_u_INTR
oVNagisalpadave oVNagisu(V34)+alpadave_u_INTR
oVNagisalpadabeke oVNagisu(V34)+alpadabeke_u_INTR
oVNagisalpadabAraxe oVNagisu(V34)+alpadabAraxe_u_INTR
oVNagisalpadakUdaxe oVNagisu(V34)+alpadakUdaxe_u_INTR

oVNagisalpadabahuxe oVNagisu(V34)+alpadabahuxe_u_INTR
oVNagisalpadalebeke oVNagisu(V34)+alpadalebeke_u_INTR
oVNagisalpadalAraxe oVNagisu(V34)+alpadalAraxe_u_INTR
oVNagisalpadalArave oVNagisu(V34)+alpadalArave_u_INTR
oVNagisixano oVNagisu(V34)+ixano_u_INDF
oVNagisixalYo oVNagisu(V34)+ixalYo_u_INDF
oVNagisiwo oVNagisu(V34)+iwo_u_INDF
oVNagisixaro oVNagisu(V34)+ixaro_u_INDF
oVNagisixavo oVNagisu(V34)+ixavo_u_INDF
oVNagisuwwAno oVNagisu(V34)+wwAno_#_INDF
oVNagisuwwAlYo oVNagisu(V34)+wwAlYo_#_INDF
oVNagisuwwaxeVyo oVNagisu(V34)+uwwaxeVyo_u_INDF
oVNagisuvano oVNagisu(V34)+vano_#_INDF
oVNagisuvalYo oVNagisu(V34)+valYo_#_INDF
oVNagisuvuxo oVNagisu(V34)+vuxo_#_INDF
oVNagisuvaro oVNagisu(V34)+varo_#_INDF
oVNagisuvuvo oVNagisu(V34)+vuvo_#_INDF
oVNagisuvuxo oVNagisu(V34)+vuxo_#_INDF
oVNagisalo oVNagisu(V34)+alo_u_INDF
oVNagisalikko oVNagisu(V34)+alikko_u_INDF
oVNagisabeko oVNagisu(V34)+abeko_u_INDF
oVNagisakUdaxo oVNagisu(V34)+akUdaxo_u_INDF
oVNagisaballaxo oVNagisu(V34)+aballaxo_u_INDF
oVNagisano oVNagisu(V34)+ano_u_INDF
oVNagisalYo oVNagisu(V34)+alYo_u_INDF
oVNagisaxo oVNagisu(V34)+axo_u_INDF
oVNagisaro oVNagisu(V34)+aro_u_INDF
oVNagisavo oVNagisu(V34)+avo_u_INDF
oVNagisalArano oVNagisu(V34)+alArano_u_INDF
oVNagisalAralYo oVNagisu(V34)+alAralYo_u_INDF
oVNagisalAraxo oVNagisu(V34)+alAraxo_u_INDF
oVNagisalAraro oVNagisu(V34)+alAraro_u_INDF
oVNagisalAravo oVNagisu(V34)+alAravo_u_INDF
oVNagisaballano oVNagisu(V34)+aballano_u_INDF
oVNagisaballalYo oVNagisu(V34)+aballalYo_u_INDF
oVNagisaballaxo oVNagisu(V34)+aballaxo_u_INDF
oVNagisaballaro oVNagisu(V34)+aballaro_u_INDF
oVNagisaballavo oVNagisu(V34)+aballavo_u_INDF
oVNagisalpattiwo oVNagisu(V34)+alpattiwo_u_INDF
oVNagisalpattavo oVNagisu(V34)+alpattavo_u_INDF
oVNagisalpaduwwaxo oVNagisu(V34)+alpaduwwaxo_u_INDF
oVNagisalpaduwwaveyo oVNagisu(V34)+alpaduwwaveyo_u_INDF
oVNagisalpaduvuxo oVNagisu(V34)+alpaduvuxo_u_INDF
oVNagisalpaduvuvo oVNagisu(V34)+alpaduvuvo_u_INDF
oVNagisalpadaxo oVNagisu(V34)+alpadaxo_u_INDF
oVNagisalpadavo oVNagisu(V34)+alpadavo_u_INDF
oVNagisalpadabeko oVNagisu(V34)+alpadabeko_u_INDF

oVNagisalpadaballaxo oVNagisu(V34)+alpadaballaxo_u_INDF
oVNagisalpadakUdaxo oVNagisu(V34)+alpadakUdaxo_u_INDF
oVNagisalpadalo oVNagisu(V34)+alpadalo_u_INDF
oVNagisalpadaoVNagisaxo oVNagisu(V34)+alpadaoVNagisaxo_u_INDF
oVNagisalpadabahuxo oVNagisu(V34)+alpadabahuxo_u_INDF
oVNagisalpadalebeko oVNagisu(V34)+alpadalebeko_u_INDF
oVNagisalpadalAraxo oVNagisu(V34)+alpadalAraxo_u_INDF
