kEgoVMdanu kEgoVlYlYu(V32)+Mda_lYlYu_PAST+anu_a_3SM   
kEgoVlYlYuwwiruva kEgoVlYlYu(V32)+uwwa_u_AUX+wwiru_wwa_RP+va_#_FUTPROG
kEgoVlYlYuwwiruvavanu kEgoVlYlYu(V32)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM 
kEgoVlYlYuwwiruvavalYu kEgoVlYlYu(V32)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avalYu_a_3FM 
kEgoVlYlYuwwiruvavaru kEgoVlYlYu(V32)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avaru_a_3P 
kEgoVlYlYuwwixxu kEgoVlYlYu(V32)+uwwa_u_AUX+wwixxu_wwa_PRESPROG
kEgoVlYlYuwwixxavu kEgoVlYlYu(V32)+uwwa_u_AUX+wwiru_wwa_RP+xxa_ru_PRP+avu_a_3PN
kEgoVlYlYaliruvavanu kEgoVlYlYu(V32)+alu_u_AUX+liru_lu_RP+va_#_PRP+avanu_a_3SM
kEgoVlYlYaliruvavalYu kEgoVlYlYu(V32)+alu_u_AUX+liru_lu_RP+va_#_PRP+avalYu_a_3FM
kEgoVlYlYaliruvavaru kEgoVlYlYu(V32)+alu_u_AUX+liru_lu_RP+va_#_PRP+avaru_a_3P
kEgoVlYlYaliruvanu kEgoVlYlYu(V32)+alu_u_AUX+liruvanu_lu_3SM
kEgoVlYlYaliruvalYu kEgoVlYlYu(V32)+alu_u_AUX+liruvalYu_lu_3SF
kEgoVlYlYaliruvaru kEgoVlYlYu(V32)+alu_u_AUX+liruvaru_lu_3P
kEgoVlYlYaliruvaxu kEgoVlYlYu(V32)+alu_u_AUX+liruvaxu_lu_3SN
kEgoVlYlYaliruvavu kEgoVlYlYu(V32)+alu_u_AUX+liruvavu_lu_3PN
kEgoVlYlYaballavanu kEgoVlYlYu(V32)+a_u_AVY+ballavanu_#_3SM
kEgoVlYlYaballavalYu kEgoVlYlYu(V32)+a_u_#_AVY+ballavalYu_#_3SF
kEgoVlYlYaballavaru kEgoVlYlYu(V32)+a_u_AVY+ballavaru_#_3P
kEgoVlYlYaballaxu kEgoVlYlYu(V32)+a_u_AVY+ballaxu_#_3SN
kEgoVlYlYaballavu kEgoVlYlYu(V32)+a_u_AVY+ballavu_#_3PN
kEgoVlYlYuwwixxAneV kEgoVlYlYu(V32)+uwwa_u_AUX+wwixxAneV_wwa_3SM
kEgoVlYlYuwwixxAlYeV kEgoVlYlYu(V32)+uwwa_u_AUX+wwixxAlYeV_wwa_3FM
kEgoVlYlYuwwixxAreV kEgoVlYlYu(V32)+uwwa_u_AUX+wwixxAreV_wwa_3P
kEgoVlYlYuwwixeV kEgoVlYlYu(V32)+uwwa_u_AUX+wwixeV_wwa_3SN
kEgoVlYlYuwwiveV kEgoVlYlYu(V32)+uwwa_u_AUX+wwiveV_wwa_3PN
kEgoVlYlYalpattanu kEgoVlYlYu(V32)+alpadu_u_PAST+pattanu_padu_3SM
kEgoVlYlYalpattalYu kEgoVlYlYu(V32)+alpadu_u_PAST+pattalYu_padu_3SF
kEgoVlYlYalpattkEgoVlYlYu kEgoVlYlYu(V32)+alpadu_u_PAST+pattkEgoVlYlYu_padu_3P
kEgoVlYlYalpattaru kEgoVlYlYu(V32)+alpadu_u_PAST+pattaru_padu_3SH
kEgoVlYlYalpattiwu kEgoVlYlYu(V32)+alpadu_u_PAST+pattiwu_padu_3SN
kEgoVlYlYalpattavu kEgoVlYlYu(V32)+alpadu_u_PAST+pattavu_padu_3PN
kEgoVlYlYalpaduwwaxeV kEgoVlYlYu(V32)+alpadu_u_FUT+duwwaxeV_du_3SN
kEgoVlYlYalpaduwwaveV kEgoVlYlYu(V32)+alpadu_u_FUT+duwwaveV_du_3PN
kEgoVlYlYalpaduvuxu kEgoVlYlYu(V32)+alpadu_u_FUT+vuxu_#_3SN
kEgoVlYlYalpaduvuvu kEgoVlYlYu(V32)+alpadu_u_FUT+vuvu_#_3PN
kEgoVlYlYalpadanu kEgoVlYlYu(V32)+alpadu_u_FUTNEG+danu_du_3SM
kEgoVlYlYalpadalYu kEgoVlYlYu(V32)+alpadu_u_FUTNEG+dalYu_du_3SF
kEgoVlYlYalpadaru kEgoVlYlYu(V32)+alpadu_u_FUTNEG+daru_du_3P
kEgoVlYlYalpadaru kEgoVlYlYu(V32)+alpadu_u_FUTNEG+daru_du_3SH
kEgoVlYlYalpadaxu kEgoVlYlYu(V32)+alpadu_u_FUTNEG+daxu_du_3SN
kEgoVlYlYalpadavu kEgoVlYlYu(V32)+alpadu_u_FUTNEG+davu_du_3PN
kEgoVlYlYalpattAnu kEgoVlYlYu(V32)+alpadu_u_FUTDUB+ttAnu_du_3SM
kEgoVlYlYalpattAlYu kEgoVlYlYu(V32)+alpadu_u_FUTDUB+ttAlYu_du_3PF
kEgoVlYlYalpattAru kEgoVlYlYu(V32)+alpadu_u_FUTDUB+ttAru_du_3P
kEgoVlYlYalpattAru kEgoVlYlYu(V32)+alpadu_u_FUTDUB+ttAru_du_3SH
kEgoVlYlYalpattIwu kEgoVlYlYu(V32)+alpadu_u_FUTDUB+ttIwu_du_3SN
kEgoVlYlYalpattAvu kEgoVlYlYu(V32)+alpadu_u_FUTDUB+ttAvu_du_3PN
kEgoVlYlYalpadabeku kEgoVlYlYu(V32)+alpada_u_#_AVY+beku_#_FUTIMP
kEgoVlYlYalpadabAraxu kEgoVlYlYu(V32)+alpada_u_#_AVY+bAraxu_#_NEGIMPR
kEgoVlYlYalpadakUdaxu kEgoVlYlYu(V32)+alpada_u_#_AVY+kUdaxu_#_NEGIMPR
kEgoVlYlYalpadali kEgoVlYlYu(V32)+alpadu_u_FUTOPT+dali_du_3SN
kEgoVlYlYalpadali kEgoVlYlYu(V32)+alpadu_u_FUTOPT+dali_du_3PN
kEgoVlYlYalpadakEgoVlYlYa kEgoVlYlYu(V32)+alpada_u_AVY+kEgoVlYlYa_#_FUTCAP
kEgoVlYlYalpadakEgoVlYlYaxu kEgoVlYlYu(V32)+alpada_u_AVY+kEgoVlYlYaxu_#_FUTCAP
kEgoVlYlYalpadakEgoVlYlYavu kEgoVlYlYu(V32)+alpada_u_AVY+kEgoVlYlYavu_#_FUTCAP
kEgoVlYlYalpadabahuxu kEgoVlYlYu(V32)+alpada_u_AVY+bahuxu_#_FUTPOTEN_#_3SN
kEgoVlYlYalpadabahuxu kEgoVlYlYu(V32)+alpada_u_AVY+bahuxu_#_FUTPOTEN_#_3PN
kEgoVlYlYalpadabeku kEgoVlYlYu(V32)+alpada_u_AVY+beku_#_FUTCOMP
kEgoVlYlYalpadalebeku kEgoVlYlYu(V32)+alpada_u_AVY+lebeku_#_FUTCOMP
kEgoVlYlYalpadalAraxu kEgoVlYlYu(V32)+alpadu_u_FUTNEG+alAraxu_u_3SN
kEgoVlYlYalpadalAravu kEgoVlYlYu(V32)+alpadu_u_FUTNEG+alAravu_u_3PN
kEgoVlYlYalpadalAraxa kEgoVlYlYu(V32)+alpadu_u_NEG+alAraxa_u_3SN
kEgoVlYlYalpattarU kEgoVlYlYu(V32)+alpadu_u_FUTCOND+ttarU_du_NFV
kEgoVlYlYalpaduwwa kEgoVlYlYu(V32)+alpadu_u_PRESCONT+uwwa_u_NFV
kEgoVlYlYalpatta kEgoVlYlYu(V32)+alpadu_u_RP+tta_du_PAST
kEgoVlYlYalpadaxeV kEgoVlYlYu(V32)+alpadu_u_NEG+axeV_u_NFV	
kEgoVlYlYalpadaxa kEgoVlYlYu(V32)+alpadu_u_NEG+axa_u_NFV
kEgoVlYlYalpattu kEgoVlYlYu(V32)+alpadu_u_PAST+pattu_padu_NFV
kEgoVlYlYalpaduva kEgoVlYlYu(V32)+alpadu_u_FUT+va_#_RP
kEgoVlYlYalpadalu kEgoVlYlYu(V32)+alpadu_u_INFN+alu_u_FUTINCH
kEgoVlYlYalpadalikkeV kEgoVlYlYu(V32)+alpadu_u_INFN+alikkeV_u_FUTINCH
kEgoVlYlYalpattareV kEgoVlYlYu(V32)+alpadu_u_FUTCOND+pattareV_padu_NFV
kEgoVlYlYalpattalli kEgoVlYlYu(V32)+alpadu_u_FUTCOND+pattalli_padu_NFV
kEgoVlYlYalpaduwwiruva kEgoVlYlYu(V32)+alpadu_u_AUX+uwwiruva_u_RP
kEgoVlYlYalpaduwwixxa kEgoVlYlYu(V32)+alpadu_u_AUX+uwwixxa_u_RP
kEgoVlYlYalpaduwwaliruva kEgoVlYlYu(V32)+alpadu_u_AUX+uwwaliruva_u_RP
kEgoVlYlYalpaduwwirabekaxa kEgoVlYlYu(V32)+alpadu_u_AUX+uwwiru_u_AVY+abekaxa_u_3SN
kEgoVMdanA kEgoVlYlYu(V32)+MdanA_lYlYu_INTR
kEgoVMdalYA kEgoVlYlYu(V32)+MdalYA_lYlYu_INTR
kEgoVMdIwA kEgoVlYlYu(V32)+MdIwA_lYlYu_INTR
kEgoVMdarA kEgoVlYlYu(V32)+MdarA_lYlYu_INTR
kEgoVMdavA kEgoVlYlYu(V32)+MdavA_lYlYu_INTR
kEgoVlYlYuwwAnA kEgoVlYlYu(V32)+uwwAnA_u_INTR
kEgoVlYlYuwwAlYA kEgoVlYlYu(V32)+uwwAlYA_u_INTR
kEgoVlYlYuwwkEgoVMda kEgoVlYlYu(V32)+uwwkEgoVMda_u_INTR
kEgoVlYlYuvanA kEgoVlYlYu(V32)+vanA_#_INTR
kEgoVlYlYuvalYA kEgoVlYlYu(V32)+valYA_#_INTR
kEgoVlYlYuvuxa kEgoVlYlYu(V32)+vuxa_#_INTR
kEgoVlYlYuvarA kEgoVlYlYu(V32)+varA_#_INTR
kEgoVlYlYuvuvA kEgoVlYlYu(V32)+vuvA_#_INTR
kEgoVlYlYuwwiyA kEgoVlYlYu(V32)+uwwiyA_u_INTR
kEgoVlYlYuwwiriyA kEgoVlYlYu(V32)+uwwiriyA_u_INTR
kEgoVlYlYuwwIrA kEgoVlYlYu(V32)+uwwIrA_u_INTR
kEgoVlYlYuviyA kEgoVlYlYu(V32)+viyA_#_INTR
kEgoVlYlYuvirA kEgoVlYlYu(V32)+virA_#_INTR
kEgoVlYlYuvuxa kEgoVlYlYu(V32)+vuxa_#_INTR
kEgoVlYlYalA kEgoVlYlYu(V32)+alA_u_INTR
kEgoVlYlYalikkA kEgoVlYlYu(V32)+alikkA_u_INTR
kEgoVlYlYokA kEgoVlYlYu(V32)+okA_u_INTR
kEgoVlYlYabekA kEgoVlYlYu(V32)+abekA_u_INTR
kEgoVlYlYakUdaxA kEgoVlYlYu(V32)+akUdaxA_u_INTR
kEgoVlYlYaballaxa kEgoVlYlYu(V32)+aballaxa_u_INTR
kEgoVlYlYanA kEgoVlYlYu(V32)+anA_u_INTR
kEgoVlYlYalYA kEgoVlYlYu(V32)+alYA_u_INTR
kEgoVlYlYaxa kEgoVlYlYu(V32)+axa_u_INTR
kEgoVlYlYarA kEgoVlYlYu(V32)+arA_u_INTR
kEgoVlYlYavA kEgoVlYlYu(V32)+avA_u_INTR
kEgoVlYlYalAreVvA kEgoVlYlYu(V32)+alAreVvA_u_INTR
kEgoVlYlYalAreVnA kEgoVlYlYu(V32)+alAreVnA_u_INTR
kEgoVlYlYalAririyA kEgoVlYlYu(V32)+alAririyA_u_INTR
kEgoVlYlYalAranA kEgoVlYlYu(V32)+alAranA_u_INTR
kEgoVlYlYalAralYA kEgoVlYlYu(V32)+alAralYA_u_INTR
kEgoVlYlYalAraxa kEgoVlYlYu(V32)+alAraxa_u_INTR
kEgoVlYlYalArarA kEgoVlYlYu(V32)+alArarA_u_INTR
kEgoVlYlYalAravA kEgoVlYlYu(V32)+alAravA_u_INTR
kEgoVlYlYaballanA kEgoVlYlYu(V32)+aballanA_u_INTR
kEgoVlYlYaballalYA kEgoVlYlYu(V32)+aballalYA_u_INTR
kEgoVlYlYaballaxa kEgoVlYlYu(V32)+aballaxa_u_INTR
kEgoVlYlYaballarA kEgoVlYlYu(V32)+aballarA_u_INTR
kEgoVlYlYaballavA kEgoVlYlYu(V32)+aballavA_u_INTR
kEgoVlYlYabahuxa kEgoVlYlYu(V32)+abahuxa_u_INTR
kEgoVlYlYalebekA kEgoVlYlYu(V32)+alebekA_u_INTR
kEgoVlYlYalpattiwA kEgoVlYlYu(V32)+alpattiwA_u_INTR
kEgoVlYlYalpattavA kEgoVlYlYu(V32)+alpattavA_u_INTR
kEgoVlYlYalpaduwwaxa kEgoVlYlYu(V32)+alpaduwwaxa_u_INTR
kEgoVlYlYalpaduwwavA kEgoVlYlYu(V32)+alpaduwwavA_u_INTR
kEgoVlYlYalpaduvuMda kEgoVlYlYu(V32)+alpaduvuMda_u_INTR
kEgoVlYlYalpaduvuvA kEgoVlYlYu(V32)+alpaduvuvA_u_INTR
kEgoVlYlYalpadaxa kEgoVlYlYu(V32)+alpadaxa_u_INTR
kEgoVlYlYalpadavA kEgoVlYlYu(V32)+alpadavA_u_INTR
kEgoVlYlYalpadabekA kEgoVlYlYu(V32)+alpadabekA_u_INTR
kEgoVlYlYalpadabarAxA kEgoVlYlYu(V32)+alpadabarAxA_u_INTR
kEgoVlYlYalpadakUdaxA kEgoVlYlYu(V32)+alpadakUdaxA_u_INTR
kEgoVlYlYalpadabahuxdA kEgoVlYlYu(V32)+alpadabahuxdA_u_INTR
kEgoVlYlYalpadalebekA kEgoVlYlYu(V32)+alpadalebekA_u_INTR
kEgoVlYlYalpadalAraxA kEgoVlYlYu(V32)+alpadalAraxA_u_INTR
kEgoVlYlYalpadalAravA kEgoVlYlYu(V32)+alpadalAravA_u_INTR
kEgoVMdane kEgoVlYlYu(V32)+Mdane_lYlYu_INTR
kEgoVMdalYe kEgoVlYlYu(V32)+MdalYe_lYlYu_INTR
kEgoVlYlYuwwiwe kEgoVlYlYu(V32)+wwiwe_#_INTR
kEgoVMdare kEgoVlYlYu(V32)+Mdare_lYlYu_INTR
kEgoVMdave kEgoVlYlYu(V32)+Mdave_lYlYu_INTR
kEgoVlYlYuwwAnye kEgoVlYlYu(V32)+uwwAnye_u_INTR
kEgoVlYlYuwwAlYe kEgoVlYlYu(V32)+uwwAlYe_u_INTR
kEgoVlYlYuwwaxeVye kEgoVlYlYu(V32)+uwwaxeVye_u_INTR
kEgoVlYlYuvane kEgoVlYlYu(V32)+vane_#_INTR
kEgoVlYlYuvalYe kEgoVlYlYu(V32)+valYe_#_INTR
kEgoVlYlYuvuxe kEgoVlYlYu(V32)+vuxe_#_INTR
kEgoVlYlYuvare kEgoVlYlYu(V32)+vare_#_INTR
kEgoVlYlYuvuve kEgoVlYlYu(V32)+vuve_#_INTR
kEgoVlYlYuwwiriye kEgoVlYlYu(V32)+wwiriye_#_INTR
kEgoVlYlYuwwiye kEgoVlYlYu(V32)+uwwiye_u_INTR
kEgoVlYlYuwwIre kEgoVlYlYu(V32)+uwwIre_u_INTR
kEgoVlYlYuviye kEgoVlYlYu(V32)+viye_#_INTR
kEgoVlYlYuvire kEgoVlYlYu(V32)+vire_#_INTR
kEgoVlYlYuvuxe kEgoVlYlYu(V32)+vuxe_#_INTR
kEgoVlYlYale kEgoVlYlYu(V32)+ale_u_INTR
kEgoVlYlYalikke kEgoVlYlYu(V32)+alikke_u_INTR
kEgoVlYlYabeke kEgoVlYlYu(V32)+abeke_u_INTR
kEgoVlYlYakUdaxe kEgoVlYlYu(V32)+akUdaxe_u_INTR
kEgoVlYlYakEgoVlYlYaxe kEgoVlYlYu(V32)+akEgoVlYlYaxe_u_INTR
kEgoVlYlYane kEgoVlYlYu(V32)+ane_u_INTR
kEgoVlYlYalYe kEgoVlYlYu(V32)+alYe_u_INTR
kEgoVlYlYaxe kEgoVlYlYu(V32)+axe_u_INTR
kEgoVlYlYare kEgoVlYlYu(V32)+are_u_INTR
kEgoVlYlYave kEgoVlYlYu(V32)+ave_u_INTR
kEgoVlYlYalAreVve kEgoVlYlYu(V32)+alAreVve_u_INTR
kEgoVlYlYalAreVne kEgoVlYlYu(V32)+alAreVne_u_INTR
kEgoVlYlYalAririye kEgoVlYlYu(V32)+alAririye_u_INTR
kEgoVlYlYalArane kEgoVlYlYu(V32)+alArane_u_INTR
kEgoVlYlYalAralYe kEgoVlYlYu(V32)+alAralYe_u_INTR
kEgoVlYlYalAraxe kEgoVlYlYu(V32)+alAraxe_u_INTR
kEgoVlYlYalArare kEgoVlYlYu(V32)+alArare_u_INTR
