wammannu wAvu(PN10)+wammannu_wAvu_ACC 
wammaMweVyA wAvu(PN10)+wammaMweV_wAvu_SIM+yA_#_INTR

wammaMweVyU wAvu(PN10)+wammaMweV_wAvu_SIM+yU_#_INC

wammaMweVyo wAvu(PN10)+wammaMweV_wAvu_SIM+yo_#_DUB

wammaMweVyo wAvu(PN10)+wammaMweV_wAvu_SIM+yo_#_INDF

wammaMweVyo wAvu(PN10)+wammaMweV_wAvu_SIM+yo_#_PRES

wammaMweVye wAvu(PN10)+wammaMweV_wAvu_SIM+ye_#_IMPH

wammaMweVye wAvu(PN10)+wammaMweV_wAvu_SIM+ye_#_DEC
wammaMweVye wAvu(PN10)+wammaMweV_wAvu_SIM+ye_#_RIS

wammoVdaneVyA wAvu(PN10)+wammoVdaneV_wAvu_SOC+yA_#_INTR

wammoVdaneVyU wAvu(PN10)+wammoVdaneV_wAvu_SOC+yU_#_INC

wammoVdaneVyo wAvu(PN10)+wammoVdaneV_wAvu_SOC+yo_#_DUB

wammoVdaneVyo wAvu(PN10)+wammoVdaneV_wAvu_SOC+yo_#_INDF

wammoVdaneVyo wAvu(PN10)+wammoVdaneV_wAvu_SOC+yo_#_PRES

wammoVdaneVye wAvu(PN10)+wammoVdaneV_wAvu_SOC+ye_#_IMPH

wammoVdaneVye wAvu(PN10)+wammoVdaneV_wAvu_SOC+ye_#_DEC
wammoVdaneVye wAvu(PN10)+wammoVdaneV_wAvu_SOC+ye_#_RIS

wammoVMxigeVyA wAvu(PN10)+wammoVMxigeV_wAvu_SOC+yA_#_INTR

wammoVMxigeVyU wAvu(PN10)+wammoVMxigeV_wAvu_SOC+yU_#_INC

wammoVMxigeVyo wAvu(PN10)+wammoVMxigeV_wAvu_SOC+yo_#_DUB

wammoVMxigeVyo wAvu(PN10)+wammoVMxigeV_wAvu_SOC+yo_#_INDF

wammoVMxigeVyo wAvu(PN10)+wammoVMxigeV_wAvu_SOC+yo_#_PRES

wammoVMxigeVye wAvu(PN10)+wammoVMxigeV_wAvu_SOC+ye_#_IMPH

wammoVMxigeVye wAvu(PN10)+wammoVMxigeV_wAvu_SOC+ye_#_DEC

wammoVMxigeVye wAvu(PN10)+wammoVMxigeV_wAvu_SOC+ye_#_RIS

